Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2644083, 0.21, 12, 0, 0, 0, 344231, 43362, 30, 44, 0, 49152, 0, 0.125862, 0.00839, 71924, 5217, 0, 0, 96, 0, 74, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 2897993, 1.23, 19, 3, 3, 1, 1024798, 411024, 669, 253, 12288, 167936, 0, 0.191961, 0.03134, 62904, 18912, 0, 24, 240, 65, 104, 0.031597, 0.011457, 59288, 5389, 0, 0, 88, 138, 110
do_recipe_qa, 621406, 0.56, 16, 3, 1, 1, 512293, 123243, 403, 205, 0, 102400, 0, 0.163165, 0.033469, 67660, 16189, 0, 0, 168, 40, 62, 0.018127, 0.011999, 64860, 4009, 2, 0, 32, 128, 45
do_install, 2501749, 1.10, 18, 2, 11, 5, 2799488, 490723, 2364, 513, 49152, 442368, 0, 0.183743, 0.026248999999999998, 66464, 14133, 0, 0, 192, 253, 277, 0.119324, 0.057984999999999995, 64376, 20689, 0, 96, 672, 246, 566
do_patch, 675910, 0.11, 7, 1, 6, 1, 2056665, 673137, 1466, 310, 0, 708608, 4096, 0.077015, 0.015403, 67184, 12241, 0, 0, 136, 17, 4, 0.061102, 0.011821, 61048, 18905, 0, 0, 1248, 297, 14
do_unpack, 671993, 0.08, 4, 1, 6, 0, 3769566, 5628399, 991, 1197, 4096, 3162112, 0, 0.040801, 0.014837, 66408, 8673, 0, 0, 56, 10, 7, 0.063877, 0.007336, 62776, 2754, 0, 8, 6120, 512, 11
do_packagedata, 2617421, 2.73, 21, 3, 4, 1, 767256, 232974, 911, 309, 0, 200704, 0, 0.21045799999999998, 0.035738, 73164, 23867, 0, 0, 232, 88, 79, 0.045427999999999996, 0.014521, 70364, 6919, 0, 0, 160, 170, 169
do_compile, 2491981, 3.61, 12, 1, 194, 19, 14371560, 3877538, 4479, 1266, 233472, 2105344, 442368, 0.126165, 0.013517, 71492, 7909, 0, 0, 136, 38, 66, 1.940837, 0.19261199999999998, 68800, 52131, 0, 456, 3976, 638, 1016
do_configure, 2418039, 35.51, 28, 1, 402, 66, 50930155, 10860078, 28729, 12102, 823296, 10084352, 4444160, 0.28315799999999997, 0.018567, 71916, 16637, 0, 672, 328, 255, 98, 4.023006, 0.6632629999999999, 69200, 387770, 9, 936, 19368, 5007, 4945
do_fetch, 632971, 0.41, 6, 1, 0, 0, 891335, 612350, 1007, 892, 0, 614400, 0, 0.063439, 0.011894, 65796, 8082, 0, 0, 120, 142, 7, 0.0016339999999999998, 0.00567, 62348, 899, 0, 0, 1080, 334, 4
do_populate_lic, 779577, 0.44, 12, 3, 4, 0, 727351, 206069, 587, 250, 0, 135168, 0, 0.125106, 0.030198, 69668, 16232, 0, 0, 216, 52, 40, 0.040208999999999995, 0.00018199999999999998, 66568, 4990, 0, 0, 48, 86, 92
do_package, 2526355, 3.31, 71, 41, 103, 14, 9094410, 4199558, 5968, 1176, 0, 3244032, 659456, 0.713633, 0.415968, 67956, 37738, 0, 0, 592, 323, 1687, 1.032945, 0.146431, 65836, 36365, 3, 0, 5744, 1084, 1249
do_prepare_recipe_sysroot, 2346716, 0.23, 11, 5, 2, 0, 1857947, 1138889, 577, 325, 266240, 1196032, 0, 0.114825, 0.059392, 70092, 6915, 0, 512, 160, 39, 102, 0.022784, 0.003057, 64896, 1218, 0, 8, 2176, 19, 47
do_create_spdx, 2649112, 1.37, 23, 5, 4, 2, 1388188, 677478, 811, 480, 20480, 286720, 0, 0.231896, 0.055973999999999996, 75356, 26869, 0, 40, 448, 75, 202, 0.045974, 0.026199999999999998, 71732, 6836, 0, 0, 112, 320, 136
do_package_qa, 2897704, 2.04, 30, 5, 6, 1, 1452792, 232150, 1275, 264, 0, 159744, 0, 0.302883, 0.057904, 66912, 20875, 0, 0, 272, 111, 773, 0.062403999999999994, 0.019153, 64696, 13254, 2, 0, 40, 93, 141
do_package_write_rpm, 2897416, 3.36, 22, 5, 333, 17, 4779295, 1016781, 2323, 624, 344064, 688128, 0, 0.225766, 0.05241, 66752, 23575, 0, 528, 488, 300, 420, 3.33096, 0.178175, 395428, 121693, 2, 144, 856, 1862, 1180
do_deploy_source_date_epoch, 690544, 0.43, 19, 2, 2, 0, 577389, 164732, 509, 314, 0, 114688, 0, 0.197043, 0.024127, 68684, 18492, 0, 0, 184, 58, 81, 0.028433999999999997, 0.006993, 65876, 4668, 1, 0, 40, 87, 99
