Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 594533, 0.02, 15, 2, 0, 0, 567386, 49843, 43, 59, 0, 53248, 0, 0.157166, 0.025585, 66972, 7052, 0, 0, 104, 0, 731, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 407791, 0.11, 16, 2, 1, 0, 706873, 131222, 394, 227, 0, 106496, 0, 0.16541699999999998, 0.027569, 66320, 18051, 0, 0, 176, 27, 32, 0.017436, 0.005255, 63520, 4040, 0, 0, 32, 78, 22
do_install, 971714, 0.65, 19, 1, 28, 3, 9941770, 860848, 949, 209, 0, 847872, 0, 0.19346, 0.012615999999999999, 70336, 13689, 0, 0, 72, 26, 72, 0.281595, 0.033807, 67636, 7517, 0, 0, 1584, 9, 52
do_compile, 961611, 11.14, 21, 1, 1987, 118, 140677428, 25662014, 37996, 8250, 1929216, 21934080, 380928, 0.21131, 0.015368, 70188, 8710, 0, 0, 464, 122, 300, 19.874446, 1.188874, 156496, 584138, 14, 3768, 42376, 2429, 7302
do_fetch, 409090, 0.05, 16, 0, 0, 0, 506365, 54427, 38, 72, 0, 53248, 0, 0.169317, 0.0039369999999999995, 65588, 7179, 0, 0, 104, 0, 40, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 957245, 0.52, 16, 10, 2, 0, 2531629, 1513662, 601, 425, 16384, 1552384, 0, 0.160101, 0.109542, 69644, 7538, 0, 32, 144, 9, 139, 0.022754, 0.002459, 64756, 638, 0, 0, 2888, 9, 26
do_populate_lic, 750925, 0.17, 21, 2, 1, 1, 922968, 192828, 596, 274, 0, 143360, 0, 0.218463, 0.027306999999999998, 71200, 18965, 0, 0, 240, 33, 149, 0.019809, 0.016173, 68116, 5002, 5, 0, 40, 95, 80
do_create_runtime_spdx, 788110, 0.45, 16, 4, 2, 0, 994078, 358566, 419, 254, 0, 135168, 0, 0.16397199999999998, 0.040992999999999995, 71560, 16603, 0, 0, 184, 35, 430, 0.024593999999999998, 0.007735, 68736, 4248, 0, 0, 80, 74, 55
do_patch, 488383, 0.15, 12, 1, 3, 1, 937046, 138186, 724, 146, 0, 159744, 4096, 0.128403, 0.01771, 65444, 11607, 0, 0, 136, 12, 236, 0.033989, 0.011578999999999999, 59604, 9300, 0, 0, 176, 141, 51
do_configure, 957734, 5.70, 20, 3, 172, 31, 26497499, 5339048, 9701, 2741, 57344, 6053888, 536576, 0.20374099999999998, 0.031959, 70400, 11522, 0, 8, 152, 31, 70, 1.727824, 0.314697, 67476, 139541, 6, 104, 11672, 1153, 1478
do_deploy_source_date_epoch, 528223, 0.10, 13, 1, 1, 0, 760339, 161625, 483, 313, 0, 118784, 0, 0.137328, 0.012483999999999999, 67252, 19064, 0, 0, 192, 34, 6, 0.017227, 0.003191, 64452, 4696, 0, 0, 40, 147, 12
do_unpack, 428663, 0.06, 9, 1, 2, 1, 6011465, 8884719, 688, 808, 0, 4763648, 0, 0.098412, 0.015139999999999999, 65516, 12724, 0, 0, 56, 8, 52, 0.021693999999999998, 0.010194, 61884, 1543, 0, 0, 9248, 153, 24
do_write_config, 528125, 0.03, 9, 0, 0, 0, 543289, 46299, 95, 83, 0, 40960, 0, 0.09955499999999999, 0.0, 67224, 8554, 0, 0, 64, 4, 5, 0.000552, 0.0018, 64520, 574, 0, 0, 16, 5, 0
do_populate_sysroot, 972247, 1.12, 34, 6, 7, 4, 5820607, 2789138, 1869, 955, 0, 1925120, 0, 0.34641099999999997, 0.064539, 71680, 29203, 0, 0, 1784, 142, 286, 0.07184299999999999, 0.046491, 69488, 13074, 0, 0, 1976, 229, 236
do_create_spdx, 594765, 0.25, 25, 3, 2, 2, 1256879, 501266, 621, 298, 0, 212992, 0, 0.258416, 0.039154, 69548, 21195, 0, 0, 312, 41, 125, 0.029515, 0.029765, 66640, 5242, 0, 0, 104, 102, 130
