Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1457496, 0.18, 15, 0, 0, 0, 347183, 45937, 35, 49, 0, 49152, 0, 0.157486, 0.008288, 69784, 5311, 0, 0, 96, 0, 62, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 38619, 0.05, 6, 2, 1, 0, 475976, 125211, 400, 210, 0, 102400, 0, 0.064219, 0.021405999999999998, 62120, 16111, 0, 0, 168, 29, 4, 0.011112, 0.0035369999999999998, 59320, 4022, 0, 0, 32, 143, 5
do_install, 1494223, 1.45, 19, 2, 31, 6, 15010296, 6132274, 1316, 204, 0, 6139904, 0, 0.193525, 0.027646, 62976, 14580, 0, 0, 160, 146, 263, 0.316787, 0.069088, 60872, 11247, 0, 0, 11832, 35, 223
do_package_write_rpm, 1499191, 8.11, 30, 3, 602, 18, 49413481, 6447139, 3241, 878, 4096, 4288512, 0, 0.303452, 0.03958, 64016, 23558, 0, 8, 480, 176, 474, 6.022392, 0.186627, 364764, 106571, 0, 0, 7896, 1894, 1460
do_packagedata, 1498338, 1.15, 20, 3, 5, 1, 800178, 292680, 892, 322, 0, 204800, 0, 0.201923, 0.037087999999999996, 71672, 23219, 0, 0, 216, 71, 73, 0.0535, 0.011897999999999999, 68872, 6954, 0, 0, 184, 164, 91
do_compile, 1460204, 37.92, 14, 1, 3583, 206, 242216511, 98486698, 51094, 24610, 1658880, 39538688, 880640, 0.146846, 0.013765999999999999, 70188, 6306, 0, 0, 832, 155, 144, 35.834717, 2.069001, 290716, 780793, 6, 3240, 76392, 9866, 18128
do_fetch, 38726, 13.55, 6, 0, 1, 1, 1302850, 1024100, 1200, 1476, 0, 1024000, 0, 0.065782, 0.008771, 60332, 6175, 0, 0, 120, 127, 6, 0.011549, 0.010298999999999999, 56892, 904, 0, 0, 1880, 591, 3
do_populate_lic, 710559, 0.49, 16, 4, 3, 1, 718759, 186816, 594, 258, 86016, 139264, 0, 0.166714, 0.046525, 69552, 18685, 1, 168, 232, 50, 94, 0.033721, 0.010935, 66456, 5014, 1, 0, 40, 83, 104
do_write_config, 41426, 0.03, 6, 0, 0, 0, 339909, 55870, 118, 96, 0, 49152, 0, 0.060663999999999996, 0.008088, 61868, 7968, 0, 0, 64, 6, 4, 0.002565, 0.000258, 59144, 806, 0, 0, 32, 11, 0
do_prepare_recipe_sysroot, 1451378, 1.96, 22, 17, 1, 0, 2463521, 1189064, 630, 344, 245760, 1257472, 0, 0.221694, 0.172004, 70508, 7837, 0, 480, 152, 31, 76, 0.012166, 0.007682, 65620, 648, 0, 0, 2304, 18, 6
do_create_runtime_spdx, 1500398, 1.11, 21, 4, 4, 0, 1048999, 410351, 638, 255, 0, 155648, 0, 0.210529, 0.044535, 73200, 20913, 0, 0, 224, 50, 76, 0.041134, 0.00893, 69748, 5401, 1, 0, 80, 152, 99
do_patch, 290547, 0.10, 8, 2, 4, 0, 1329229, 650314, 866, 265, 0, 679936, 4096, 0.08483099999999999, 0.024236999999999998, 62976, 12935, 0, 0, 136, 13, 4, 0.040659, 0.007267999999999999, 56944, 9372, 0, 0, 1192, 143, 16
do_deploy_source_date_epoch, 302776, 0.12, 16, 2, 1, 1, 546822, 161697, 481, 289, 0, 114688, 0, 0.169465, 0.028244, 65152, 18751, 0, 0, 184, 29, 13, 0.013493, 0.010034999999999999, 62364, 4701, 0, 0, 40, 127, 25
do_configure, 1452293, 8.06, 16, 2, 197, 29, 31494881, 6036501, 10713, 3099, 90112, 6516736, 663552, 0.162855, 0.025054, 70624, 11919, 0, 24, 160, 17, 80, 1.979528, 0.298392, 67836, 131537, 2, 152, 12568, 1327, 1465
do_populate_sysroot, 1495611, 1.57, 27, 5, 6, 4, 11792725, 8757911, 1672, 762, 4096, 7917568, 716800, 0.277177, 0.052221, 71536, 24247, 0, 8, 12008, 145, 315, 0.069906, 0.042691, 68728, 11457, 0, 0, 3456, 205, 189
do_create_spdx, 1499161, 1.50, 30, 5, 6, 0, 1373409, 677293, 778, 427, 8192, 290816, 0, 0.303846, 0.052842, 73712, 25431, 0, 16, 456, 73, 121, 0.061777, 0.008798, 70092, 6623, 0, 0, 112, 326, 137
do_package, 1495617, 4.80, 78, 19, 181, 14, 73569952, 41088823, 13553, 3725, 0, 27844608, 12701696, 0.789616, 0.194486, 64584, 41684, 0, 0, 624, 489, 1891, 1.817084, 0.147179, 62456, 53777, 0, 0, 53760, 2935, 1867
do_package_qa, 1499223, 1.57, 39, 6, 6, 2, 8077182, 232359, 1604, 268, 0, 155648, 0, 0.398447, 0.064863, 68244, 22859, 0, 0, 264, 98, 933, 0.066809, 0.021078, 66040, 13409, 0, 0, 40, 191, 141
do_unpack, 40735, 0.03, 4, 0, 2, 0, 5791251, 8880212, 693, 798, 0, 4763648, 0, 0.044579, 0.007429, 60392, 8309, 0, 0, 56, 8, 2, 0.022843, 0.000802, 56748, 1516, 0, 0, 9248, 147, 2
