Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 46528, 0.02, 6, 0, 0, 0, 565736, 44811, 36, 51, 0, 53248, 0, 0.066871, 0.003933, 62212, 7033, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7878, 0.17, 20, 2, 1, 0, 698991, 142596, 388, 255, 0, 122880, 0, 0.200512, 0.024061, 59740, 18574, 0, 0, 208, 22, 28, 0.012771, 0.009937, 56944, 4407, 0, 0, 32, 76, 37
do_install, 178405, 0.21, 19, 1, 15, 3, 4527367, 866182, 3911, 575, 0, 831488, 0, 0.19186399999999998, 0.019577, 64372, 14344, 0, 0, 152, 56, 9, 0.15964699999999998, 0.035074, 61680, 37514, 4, 0, 1472, 559, 98
do_deploy_source_date_epoch, 20338, 0.09, 11, 1, 1, 0, 756955, 173026, 524, 332, 0, 135168, 0, 0.110454, 0.016363, 60984, 20965, 0, 0, 224, 36, 4, 0.012451, 0.004965, 58160, 5079, 0, 0, 40, 149, 11
do_compile, 168603, 2.35, 19, 4, 1591, 163, 128341985, 12129060, 47566, 8674, 0, 7712768, 471040, 0.199226, 0.041505, 64108, 8449, 0, 0, 696, 222, 17, 15.911904, 1.639597, 61416, 1034944, 24, 0, 14368, 11089, 12376
do_fetch, 9080, 9.71, 12, 1, 23, 5, 10866736, 8926706, 6956, 2941, 0, 3170304, 12288, 0.124053, 0.016006, 58316, 9612, 0, 0, 152, 166, 7, 0.233767, 0.051087, 54716, 13874, 0, 0, 6040, 3036, 48
do_populate_sysroot, 180260, 0.27, 25, 3, 5, 4, 8303560, 3038596, 2095, 1021, 0, 2355200, 4096, 0.256994, 0.033704, 65348, 35662, 0, 0, 1744, 85, 30, 0.059898, 0.041749, 62928, 17339, 1, 0, 2856, 240, 39
do_create_spdx, 46583, 0.09, 10, 2, 1, 0, 1230961, 517232, 654, 333, 0, 229376, 0, 0.10437199999999999, 0.022365, 64228, 23598, 0, 0, 344, 43, 5, 0.016793, 0.004256, 61232, 5631, 0, 0, 104, 164, 15
do_prepare_recipe_sysroot, 69803, 0.03, 6, 0, 1, 0, 1826615, 1337233, 459, 373, 0, 1368064, 0, 0.067969, 0.007996, 62584, 8047, 0, 0, 136, 2, 4, 0.012638, 0.0, 56752, 625, 0, 0, 2536, 9, 0
do_patch, 20028, 0.05, 7, 0, 2, 0, 938720, 145544, 716, 148, 4096, 167936, 4096, 0.072086, 0.008009, 59604, 11212, 0, 8, 136, 15, 5, 0.023631, 0.004921, 53564, 9230, 0, 0, 192, 144, 1
do_configure, 69837, 17.89, 23, 3, 1178, 262, 331695166, 42710698, 180649, 46255, 155648, 43159552, 24788992, 0.23699199999999998, 0.032688, 63848, 17063, 0, 0, 424, 630, 61, 11.782875, 2.6250809999999998, 60992, 2641397, 51, 304, 83872, 22374, 8444
do_create_runtime_spdx, 791120, 0.44, 20, 2, 1, 1, 1011628, 370446, 465, 282, 0, 151552, 0, 0.20571599999999998, 0.02717, 70884, 18784, 0, 0, 216, 53, 73, 0.01948, 0.01592, 68080, 4630, 0, 0, 80, 73, 64
do_unpack, 19725, 0.15, 5, 3, 10, 2, 4857722, 8231395, 1843, 1019, 0, 9420800, 8192, 0.054213, 0.034851, 59572, 18128, 0, 0, 72, 38, 4, 0.10291099999999999, 0.020690999999999998, 55884, 17376, 0, 0, 18328, 50, 32
do_populate_lic, 755444, 0.24, 21, 3, 2, 1, 999914, 236168, 1433, 301, 24576, 155648, 0, 0.214444, 0.031191, 70976, 21235, 1, 48, 256, 61, 77, 0.023434999999999997, 0.017183, 67884, 5375, 0, 0, 48, 82, 103
