Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 10468, 0.02, 5, 1, 1, 0, 3571329, 4731315, 446, 522, 0, 2621440, 0, 0.056844, 0.01218, 59056, 8239, 0, 0, 56, 8, 3, 0.013675, 0.002691, 55140, 1512, 0, 0, 5064, 82, 1
do_collect_spdx_deps, 49025, 0.02, 6, 0, 0, 0, 573478, 46655, 42, 54, 0, 53248, 0, 0.068005, 0.008, 62084, 6859, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7890, 0.12, 15, 2, 1, 0, 685902, 128130, 364, 222, 0, 106496, 0, 0.15504099999999998, 0.021057, 59480, 16014, 0, 0, 176, 17, 130, 0.010803, 0.009026, 56680, 4014, 0, 0, 32, 88, 37
do_install, 86037, 0.10, 10, 1, 4, 1, 1611298, 219117, 1405, 391, 0, 192512, 4096, 0.102515, 0.012301, 63368, 14250, 0, 0, 120, 39, 6, 0.041569999999999996, 0.016170999999999998, 60676, 15880, 0, 0, 256, 223, 20
do_compile, 83079, 0.64, 10, 1, 125, 15, 14819673, 668353, 9996, 1505, 0, 442368, 20480, 0.10620399999999999, 0.011379, 63352, 8376, 0, 0, 144, 39, 7, 1.253607, 0.15697999999999998, 60624, 192042, 3, 0, 720, 2104, 320
do_fetch, 9081, 3.24, 11, 1, 0, 0, 1147773, 659926, 1043, 1141, 0, 659456, 0, 0.112241, 0.016628, 58876, 8075, 0, 0, 120, 290, 11, 0.001256, 0.0069229999999999995, 54936, 806, 0, 0, 1168, 297, 2
do_configure, 70022, 4.52, 13, 4, 312, 48, 101005898, 18659455, 50532, 15983, 57344, 17281024, 8986624, 0.130663, 0.044798, 63908, 16073, 0, 0, 320, 226, 146, 3.127017, 0.48459599999999997, 61012, 646094, 5, 112, 33432, 5853, 726
do_create_spdx, 49141, 0.08, 11, 0, 1, 0, 1226549, 496260, 623, 291, 0, 212992, 0, 0.111783, 0.007984, 64292, 20934, 0, 0, 312, 35, 4, 0.011897999999999999, 0.008721999999999999, 61392, 5224, 0, 0, 104, 177, 8
do_prepare_recipe_sysroot, 70012, 0.03, 7, 0, 1, 0, 1834182, 1338399, 465, 376, 0, 1368064, 0, 0.070933, 0.008345, 62664, 8047, 0, 0, 136, 2, 85, 0.012194, 0.0, 57012, 614, 0, 0, 2536, 9, 0
do_patch, 13331, 0.03, 7, 1, 0, 0, 653373, 124009, 184, 91, 0, 126976, 4096, 0.07255199999999999, 0.012092, 58956, 9934, 0, 0, 120, 6, 5, 0.0040669999999999994, 0.000926, 52848, 946, 0, 0, 128, 13, 2
do_deploy_source_date_epoch, 13727, 0.08, 10, 1, 1, 0, 742150, 157257, 489, 299, 0, 118784, 0, 0.108222, 0.016649, 60128, 18407, 0, 0, 192, 30, 4, 0.010773999999999999, 0.006638, 57312, 4652, 0, 0, 40, 146, 1
do_populate_sysroot, 86933, 0.17, 16, 2, 3, 1, 1709534, 560429, 1593, 909, 0, 368640, 0, 0.168629, 0.02879, 63820, 29785, 0, 0, 496, 95, 31, 0.033032, 0.017422, 61600, 12326, 0, 0, 224, 247, 26
do_create_runtime_spdx, 789701, 0.50, 17, 3, 2, 0, 1000538, 355794, 422, 249, 0, 135168, 0, 0.174904, 0.038849999999999996, 71020, 16038, 0, 0, 184, 38, 36, 0.027356, 0.005389, 68232, 4248, 0, 0, 80, 80, 74
do_populate_lic, 753411, 0.23, 16, 4, 2, 0, 830612, 173677, 599, 262, 12288, 131072, 0, 0.161695, 0.049752, 71088, 18665, 1, 24, 224, 59, 220, 0.029348, 0.008373, 67996, 4969, 0, 0, 32, 98, 100
