Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1475473, 0.33, 19, 2, 0, 0, 377060, 48246, 40, 50, 327680, 53248, 0, 0.190684, 0.022171999999999997, 69552, 7023, 0, 640, 104, 28, 107, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 2536744, 16.92, 32, 4, 202, 31, 27811440, 3501059, 19639, 7434, 188416, 3235840, 1155072, 0.32985, 0.041231, 73904, 20512, 0, 120, 296, 228, 318, 2.028661, 0.31878599999999996, 71004, 193800, 6, 248, 6024, 2820, 3076
do_recipe_qa, 636250, 0.07, 8, 2, 1, 0, 546065, 128135, 400, 211, 0, 102400, 0, 0.080885, 0.02311, 67984, 16074, 0, 0, 168, 24, 3, 0.013894, 0.002585, 65184, 3975, 1, 0, 32, 127, 4
do_compile, 2570217, 1.36, 16, 1, 46, 9, 9013393, 2056300, 3027, 760, 577536, 1028096, 159744, 0.165938, 0.01475, 73340, 10491, 0, 0, 688, 19, 65, 0.46160999999999996, 0.096924, 70648, 27909, 9, 1128, 1320, 406, 466
do_install, 2574913, 1.18, 26, 3, 4, 1, 1118857, 472737, 2819, 547, 73728, 434176, 147456, 0.262192, 0.034959, 67604, 15338, 0, 0, 208, 951, 302, 0.046964, 0.013408, 65528, 7250, 3, 144, 640, 210, 376
do_packagedata, 2625189, 1.01, 22, 4, 4, 1, 820161, 251482, 3340, 318, 0, 208896, 0, 0.22278099999999998, 0.047478, 74048, 23605, 0, 0, 232, 74, 96, 0.045591, 0.016207, 71224, 6924, 0, 0, 176, 141, 90
do_patch, 677727, 0.04, 8, 1, 1, 0, 1049337, 653287, 327, 226, 0, 651264, 4096, 0.08726099999999999, 0.011899, 67072, 10733, 0, 0, 128, 6, 6, 0.010619, 0.000623, 61332, 968, 0, 0, 1144, 11, 1
do_fetch, 637951, 0.58, 10, 1, 8, 3, 3495074, 493814, 2017, 391, 0, 315392, 12288, 0.10843599999999999, 0.014955999999999999, 66472, 9986, 0, 0, 144, 52, 20, 0.089921, 0.033892, 63076, 11627, 0, 0, 472, 215, 163
do_package_qa, 3139426, 2.18, 26, 4, 5, 4, 1291097, 241502, 1225, 277, 1892352, 167936, 0, 0.262621, 0.046896, 57808, 22083, 18, 3216, 280, 252, 553, 0.050577, 0.044778, 55520, 15678, 1, 480, 48, 145, 166
do_unpack, 672628, 0.16, 6, 2, 9, 1, 4675116, 255989, 1780, 200, 0, 434176, 12288, 0.066345, 0.029486, 66576, 18219, 0, 0, 80, 39, 5, 0.096465, 0.018903, 63016, 16784, 0, 0, 768, 48, 39
do_deploy_source_date_epoch, 691716, 0.38, 16, 4, 2, 1, 609722, 163797, 503, 287, 0, 114688, 0, 0.161956, 0.045679, 69216, 18865, 0, 0, 184, 45, 94, 0.021438, 0.011881, 66416, 4669, 0, 0, 40, 73, 76
do_prepare_recipe_sysroot, 2533419, 1.35, 19, 19, 5, 1, 3595968, 2165456, 1200, 609, 8781824, 2318336, 0, 0.199709, 0.19546, 73512, 10687, 0, 8352, 152, 154, 64, 0.054535999999999994, 0.01577, 68624, 2682, 72, 8800, 4376, 116, 126
do_create_runtime_spdx, 3146705, 1.48, 19, 1, 2, 1, 1100280, 417364, 684, 259, 262144, 167936, 0, 0.197426, 0.018365, 62336, 21739, 7, 464, 240, 72, 72, 0.025831999999999997, 0.017543, 58760, 5378, 1, 48, 88, 145, 98
do_package_write_rpm, 2722750, 2.70, 26, 5, 424, 21, 3105316, 674585, 2481, 682, 12288, 454656, 0, 0.267902, 0.054356999999999996, 68648, 24288, 0, 24, 496, 246, 378, 4.24996, 0.219164, 432664, 121810, 1, 0, 392, 2796, 1451
do_populate_lic, 756631, 0.27, 16, 2, 2, 1, 708312, 200310, 626, 256, 0, 139264, 0, 0.169287, 0.024183, 69844, 18527, 0, 0, 224, 66, 83, 0.024397, 0.0169, 66780, 4977, 0, 0, 48, 85, 112
do_create_spdx, 2637556, 1.52, 26, 6, 5, 1, 1379978, 677855, 801, 479, 16384, 282624, 0, 0.264141, 0.06125, 76448, 24508, 0, 32, 440, 69, 152, 0.054158, 0.016059999999999998, 72828, 6836, 2, 0, 112, 303, 160
do_package, 2577848, 4.43, 60, 17, 173, 16, 6752108, 2341992, 6316, 961, 0, 1757184, 462848, 0.605228, 0.170601, 68812, 42061, 0, 0, 696, 458, 1232, 1.73427, 0.163373, 66628, 54112, 0, 0, 2736, 1435, 1533
