Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 703544, 0.01, 8, 0, 0, 0, 325360, 39695, 22, 40, 0, 49152, 0, 0.08227899999999999, 0.003918, 66952, 6685, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 696075, 0.05, 13, 0, 0, 0, 294419, 59288, 77, 109, 0, 65536, 0, 0.139008, 0.007943, 68832, 8448, 0, 0, 120, 3, 3, 0.0009379999999999999, 0.003457, 65956, 616, 0, 0, 8, 5, 1
do_recipe_qa, 644356, 0.10, 9, 3, 1, 0, 436077, 115016, 374, 201, 0, 94208, 0, 0.090991, 0.035605, 68148, 15961, 0, 0, 160, 26, 28, 0.013340999999999999, 0.009592999999999999, 65348, 3888, 0, 0, 24, 83, 26
do_create_spdx, 1362284, 0.80, 15, 4, 2, 3, 1026669, 505320, 642, 284, 4096, 221184, 0, 0.152795, 0.040992999999999995, 72136, 21435, 0, 8, 328, 53, 270, 0.026886, 0.030699999999999998, 68508, 6146, 1, 0, 104, 231, 208
do_install, 696490, 0.11, 13, 3, 0, 0, 363515, 68730, 424, 155, 0, 73728, 0, 0.132785, 0.03035, 59204, 13929, 0, 0, 128, 383, 24, 0.008535, 0.00669, 57120, 2127, 0, 0, 16, 74, 25
do_packagedata, 1358569, 0.63, 14, 4, 3, 1, 688160, 207367, 863, 302, 0, 180224, 0, 0.143647, 0.041041999999999995, 70584, 20433, 0, 0, 200, 68, 67, 0.037503, 0.018838999999999998, 67768, 6736, 0, 0, 152, 102, 120
do_compile, 696195, 0.03, 9, 2, 0, 0, 280367, 17998, 42, 80, 0, 20480, 0, 0.090513, 0.028798999999999998, 68552, 8030, 0, 0, 40, 2, 4, 0.0, 0.0021119999999999997, 65860, 373, 0, 0, 0, 1, 1
do_package_qa, 1369811, 0.59, 15, 2, 4, 0, 541355, 199827, 732, 247, 0, 151552, 0, 0.15254299999999998, 0.022881, 61388, 13762, 0, 0, 256, 80, 300, 0.041296, 0.002484, 59176, 6404, 0, 0, 40, 101, 76
do_package_write_rpm, 1369342, 1.64, 19, 5, 142, 13, 1226332, 393614, 1776, 457, 4096, 278528, 0, 0.19633499999999998, 0.053545999999999996, 61172, 22653, 0, 8, 440, 260, 288, 1.424002, 0.130537, 227216, 78542, 0, 0, 104, 803, 791
do_fetch, 650289, 0.00, 6, 0, 0, 0, 263412, 14135, 15, 37, 0, 20480, 0, 0.060759, 0.0, 66176, 4385, 0, 0, 40, 0, 41, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 679534, 0.05, 7, 1, 0, 0, 934380, 635437, 305, 206, 4096, 647168, 4096, 0.07683899999999999, 0.011524999999999999, 66704, 9789, 0, 8, 120, 7, 5, 0.008095999999999999, 0.002924, 60880, 937, 0, 0, 1144, 13, 1
do_unpack, 673453, 0.02, 7, 0, 0, 0, 289661, 20712, 79, 58, 0, 32768, 0, 0.073729, 0.004096, 66396, 7354, 0, 0, 56, 6, 11, 0.002905, 0.002026, 62968, 732, 0, 0, 8, 5, 1
do_prepare_recipe_sysroot, 695767, 0.01, 8, 0, 0, 0, 267824, 65709, 20, 42, 0, 69632, 0, 0.083358, 0.0, 66944, 6612, 0, 0, 136, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 1370288, 0.61, 15, 2, 3, 0, 865935, 386988, 581, 243, 0, 147456, 0, 0.155991, 0.022827999999999998, 71636, 20620, 0, 0, 208, 35, 54, 0.035384, 0.006692999999999999, 68112, 5261, 2, 0, 80, 110, 75
do_package, 1351176, 3.31, 40, 37, 63, 8, 2883034, 1851687, 2781, 800, 81920, 1851392, 0, 0.402551, 0.370978, 61768, 31605, 0, 144, 536, 389, 1086, 0.635622, 0.082384, 59648, 19543, 2, 16, 3080, 1041, 778
do_deploy_source_date_epoch, 693377, 0.19, 15, 3, 1, 1, 483456, 139579, 456, 278, 0, 106496, 0, 0.154502, 0.037580999999999996, 68836, 18188, 0, 0, 168, 28, 108, 0.017100999999999998, 0.013994, 66036, 4583, 0, 0, 40, 87, 54
do_populate_lic, 740729, 0.43, 15, 3, 2, 1, 538116, 160358, 624, 241, 0, 122880, 0, 0.150752, 0.034789, 69444, 17873, 0, 0, 208, 79, 51, 0.026705999999999997, 0.012655999999999999, 66344, 4839, 3, 0, 32, 79, 102
