Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3851640, 0.42, 38, 0, 0, 0, 334900, 41564, 27, 42, 0, 49152, 0, 0.389987, 0.0072889999999999995, 59884, 6011, 0, 0, 96, 0, 144, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 693137, 0.17, 18, 2, 1, 1, 563419, 158649, 510, 311, 0, 110592, 0, 0.186686, 0.028408, 68972, 18501, 0, 0, 176, 54, 57, 0.016123, 0.015356, 66164, 4658, 0, 0, 40, 78, 77
do_patch, 690633, 0.11, 11, 1, 1, 0, 1013105, 631556, 323, 202, 0, 647168, 4096, 0.11655199999999999, 0.016649999999999998, 67208, 10423, 0, 0, 120, 6, 43, 0.014893, 0.0032909999999999997, 61456, 954, 0, 0, 1144, 14, 10
do_compile, 3824576, 14.62, 23, 3, 11562, 612, 804663941, 188844656, 194790, 56859, 4571136, 81588224, 8470528, 0.238081, 0.030393, 60220, 7217, 0, 0, 5512, 385, 78, 115.620823, 6.123999, 131248, 2336779, 36, 8928, 153840, 28761, 51322
do_populate_lic, 739557, 0.79, 14, 3, 2, 1, 610465, 164938, 531, 243, 0, 126976, 0, 0.14735299999999998, 0.031021, 69672, 18295, 0, 0, 216, 31, 130, 0.028221999999999997, 0.01343, 66572, 4969, 0, 0, 32, 112, 36
do_recipe_qa, 614224, 0.40, 16, 1, 2, 0, 495899, 120154, 385, 203, 4096, 102400, 0, 0.161972, 0.011569, 67576, 16290, 0, 8, 168, 33, 109, 0.021845, 0.004815, 64776, 4013, 0, 0, 32, 112, 47
do_package, 3850305, 6.87, 204, 88, 267, 190, 384146817, 177407236, 72982, 19067, 176128, 120127488, 59691008, 2.041659, 0.882987, 62680, 94351, 0, 312, 952, 5810, 2566, 2.67541, 1.908177, 339736, 492441, 28, 32, 233672, 17271, 12167
do_install, 3841416, 7.62, 39, 6, 24, 10, 29895306, 26705679, 9666, 6328, 0, 26832896, 163840, 0.392123, 0.061681999999999994, 59676, 15307, 0, 0, 248, 971, 300, 0.24990199999999999, 0.10982499999999999, 57572, 37423, 3, 0, 52160, 954, 2022
do_fetch, 614891, 38.65, 17, 1, 199, 29, 81531604, 79927588, 26978, 13926, 4096, 26980352, 8192, 0.17480099999999998, 0.014875999999999999, 65936, 9769, 0, 0, 168, 357, 69, 1.9992329999999998, 0.299554, 62444, 13598, 3, 8, 52528, 23195, 976
do_packagedata, 3864257, 0.75, 17, 4, 4, 1, 909214, 294875, 881, 319, 0, 229376, 0, 0.178842, 0.040147999999999996, 61688, 24016, 0, 0, 224, 61, 118, 0.045785, 0.013484999999999999, 58808, 6953, 0, 0, 224, 114, 80
do_prepare_recipe_sysroot, 3820055, 2.21, 33, 24, 4, 0, 3018583, 1073967, 1300, 339, 430080, 1179648, 16384, 0.339618, 0.24484099999999998, 60912, 11981, 3, 576, 152, 103, 125, 0.047809, 0.00743, 56024, 4892, 0, 264, 2152, 104, 92
do_configure, 3821939, 3.86, 28, 2, 44, 15, 10055486, 3767033, 6679, 1988, 299008, 4001792, 733184, 0.28346899999999997, 0.023622, 60276, 9706, 0, 24, 144, 22, 56, 0.448105, 0.15431, 57360, 42638, 2, 560, 7672, 683, 747
do_generate_toolchain_file, 695667, 0.04, 14, 0, 0, 0, 315354, 49282, 62, 68, 0, 45056, 0, 0.144625, 0.007817, 68664, 8045, 0, 0, 64, 3, 7, 0.000611, 0.003194, 65972, 513, 0, 0, 24, 4, 1
do_create_runtime_spdx, 3870537, 0.96, 18, 4, 3, 1, 3220380, 404903, 886, 248, 0, 155648, 0, 0.186267, 0.048784, 66468, 24316, 0, 0, 224, 45, 51, 0.032758999999999996, 0.011044, 62252, 5367, 0, 0, 80, 116, 53
do_package_write_rpm, 3866500, 14.39, 42, 5, 1271, 28, 192060914, 14799936, 14916, 1210, 0, 9809920, 0, 0.42419599999999996, 0.057657, 61532, 23236, 0, 0, 480, 292, 346, 12.716209, 0.28297, 388384, 138953, 0, 0, 18680, 4730, 3442
do_create_spdx, 3866430, 3.87, 101, 14, 4, 2, 4795674, 7925922, 1183, 11367, 4096, 2600960, 0, 1.017134, 0.14981, 63760, 34687, 0, 0, 4920, 84, 4075, 0.045887, 0.028641999999999997, 59900, 7231, 1, 8, 160, 241, 159
do_package_qa, 3866769, 2.54, 72, 22, 40, 52, 36335792, 798056, 7517, 609, 12288, 167936, 0, 0.7269979999999999, 0.22457, 62012, 44110, 1, 24, 264, 179, 3518, 0.407061, 0.52356, 59684, 187578, 7, 0, 64, 1098, 1315
do_unpack, 689505, 0.59, 9, 3, 17, 5, 4561742, 5850901, 1617, 694, 0, 6725632, 12288, 0.098647, 0.032882, 66504, 14225, 0, 0, 72, 33, 42, 0.179466, 0.054154, 63436, 16953, 0, 0, 13064, 33, 126
