Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 265965, 0.04, 14, 1, 0, 0, 549834, 46550, 42, 53, 0, 53248, 0, 0.146031, 0.012169, 64720, 7014, 0, 0, 104, 0, 19, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 25225, 0.02, 6, 1, 0, 0, 628979, 121324, 184, 86, 0, 126976, 4096, 0.061599999999999995, 0.01155, 60240, 10015, 0, 0, 120, 6, 2, 0.004685, 0.0006619999999999999, 54176, 953, 0, 0, 128, 13, 2
do_recipe_qa, 23711, 0.05, 7, 2, 0, 0, 672682, 130042, 400, 221, 0, 106496, 0, 0.072808, 0.022992, 61180, 16410, 0, 0, 176, 27, 4, 0.008261, 0.00539, 58380, 4026, 0, 0, 32, 145, 6
do_fetch, 23778, 0.17, 6, 0, 0, 0, 585905, 103112, 313, 196, 0, 106496, 0, 0.066913, 0.007871999999999999, 60136, 7918, 0, 0, 120, 40, 3, 0.0031609999999999997, 0.001173, 56264, 898, 0, 0, 88, 42, 0
do_install, 943129, 0.40, 18, 3, 17, 1, 3341899, 639124, 440, 203, 0, 737280, 0, 0.18861999999999998, 0.038493, 71120, 11598, 0, 0, 72, 11, 721, 0.17932599999999999, 0.015456, 68424, 5187, 0, 0, 1368, 14, 40
do_compile, 942450, 0.79, 13, 1, 52, 3, 5446255, 3166533, 629, 295, 86016, 3391488, 12288, 0.132574, 0.011696999999999999, 70996, 8582, 0, 0, 48, 31, 49, 0.527161, 0.030546, 68268, 10446, 0, 168, 6576, 19, 121
do_unpack, 25191, 0.01, 5, 0, 0, 0, 765792, 373331, 134, 143, 0, 368640, 0, 0.050669, 0.008444, 60204, 7560, 0, 0, 56, 6, 6, 0.003088, 0.002034, 56276, 966, 0, 0, 664, 11, 2
do_prepare_recipe_sysroot, 941603, 0.35, 15, 9, 2, 0, 2378292, 1529298, 565, 425, 24576, 1576960, 0, 0.159031, 0.098857, 69496, 7419, 0, 48, 152, 8, 34, 0.024012, 0.009618999999999999, 64608, 635, 0, 0, 2928, 8, 121
do_configure, 942001, 0.11, 21, 2, 0, 0, 507761, 77097, 1303, 158, 4096, 61440, 0, 0.21140899999999999, 0.022253, 71200, 7034, 0, 8, 120, 28, 82, 0.0, 0.0037129999999999997, 68280, 364, 0, 0, 0, 1, 40
do_populate_lic, 746194, 0.31, 19, 3, 3, 0, 808761, 175870, 579, 263, 8192, 135168, 0, 0.19528099999999998, 0.036615, 70856, 18485, 1, 16, 224, 47, 45, 0.035998999999999996, 0.006457999999999999, 67728, 5000, 0, 0, 40, 90, 78
do_populate_sysroot, 943712, 0.78, 31, 3, 4, 3, 1684685, 515877, 1407, 845, 8192, 233472, 0, 0.315471, 0.039932999999999996, 71144, 28198, 0, 0, 336, 119, 100, 0.047404999999999996, 0.03941, 69056, 10299, 1, 16, 120, 192, 140
do_create_runtime_spdx, 786963, 0.49, 18, 4, 3, 0, 977800, 356978, 429, 248, 0, 135168, 0, 0.18889799999999998, 0.040478, 70956, 16112, 0, 0, 184, 39, 407, 0.030903, 0.002062, 68220, 4255, 0, 0, 80, 87, 80
do_create_spdx, 267331, 0.13, 13, 3, 2, 1, 1222911, 495464, 623, 286, 0, 212992, 0, 0.139783, 0.034000999999999997, 66684, 21064, 0, 0, 312, 36, 86, 0.022428999999999998, 0.010494, 63548, 5278, 1, 0, 104, 144, 22
do_deploy_source_date_epoch, 26767, 0.08, 10, 2, 1, 0, 729347, 160747, 489, 299, 0, 118784, 0, 0.106809, 0.02054, 61632, 18688, 0, 0, 192, 29, 11, 0.014306999999999999, 0.003907, 58832, 4701, 1, 0, 40, 142, 28
