Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2970902, 0.34, 19, 1, 0, 0, 347595, 47578, 39, 51, 0, 53248, 0, 0.199626, 0.016295999999999998, 61168, 7622, 0, 0, 104, 0, 88, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 587264, 0.19, 13, 2, 1, 0, 508543, 127999, 400, 212, 0, 102400, 0, 0.133551, 0.027495, 67736, 16655, 0, 0, 168, 37, 88, 0.019750999999999998, 0.0038659999999999996, 64936, 3997, 0, 0, 32, 77, 64
do_install, 2946429, 2.69, 26, 4, 32, 7, 11270772, 1171737, 1873, 275, 282624, 1236992, 0, 0.26787, 0.041853999999999995, 56548, 14309, 19, 168, 184, 165, 284, 0.32417799999999997, 0.07502199999999999, 54468, 18365, 0, 384, 2232, 112, 870
do_populate_lic, 779993, 0.48, 14, 3, 3, 0, 626076, 173041, 556, 252, 0, 126976, 0, 0.142094, 0.032478, 69916, 16512, 0, 0, 216, 36, 57, 0.035289, 0.006161, 66824, 4981, 1, 0, 32, 115, 51
do_prepare_recipe_sysroot, 2924309, 2.61, 23, 22, 4, 0, 3384105, 1451535, 1337, 443, 262144, 1568768, 16384, 0.235674, 0.22071, 62460, 11647, 0, 512, 152, 51, 133, 0.049303, 0.0062169999999999994, 57572, 4693, 1, 0, 2912, 104, 43
do_packagedata, 2964980, 1.14, 18, 3, 4, 1, 805763, 255727, 927, 321, 0, 208896, 0, 0.189935, 0.031009, 62572, 24503, 0, 0, 224, 88, 80, 0.040053, 0.017131999999999998, 59788, 6991, 0, 0, 184, 121, 164
do_create_spdx, 2971419, 1.73, 33, 6, 4, 1, 1555855, 829308, 815, 599, 0, 344064, 0, 0.337986, 0.06933, 65604, 26396, 0, 0, 552, 69, 228, 0.049713999999999994, 0.017943999999999998, 61888, 6673, 0, 0, 120, 335, 139
do_compile, 2940069, 4.74, 11, 0, 453, 70, 76977273, 7176372, 15910, 3112, 471040, 2969600, 937984, 0.11566799999999999, 0.008897, 61668, 6716, 0, 0, 344, 62, 59, 4.531339, 0.708343, 58964, 198319, 1, 920, 5456, 1426, 3688
do_create_runtime_spdx, 2985602, 1.31, 20, 2, 3, 0, 2771182, 417214, 1007, 259, 4096, 163840, 0, 0.203509, 0.028491, 64916, 23866, 0, 0, 232, 40, 116, 0.035124999999999997, 0.009484, 61876, 5395, 0, 8, 88, 110, 64
do_fetch, 588994, 1.97, 12, 0, 1, 0, 951484, 668224, 770, 975, 0, 667648, 0, 0.122004, 0.0073939999999999995, 66084, 8155, 0, 0, 120, 84, 160, 0.010067, 0.002424, 62724, 904, 0, 0, 1184, 329, 5
do_package_write_rpm, 2966739, 4.40, 32, 6, 358, 18, 10155920, 1551002, 3392, 669, 36864, 1015808, 0, 0.32360099999999997, 0.06292199999999999, 58612, 21813, 3, 64, 488, 304, 462, 3.58289, 0.181383, 373660, 111114, 0, 8, 1496, 2815, 1146
do_patch, 669794, 0.05, 7, 1, 0, 0, 1346660, 637738, 443, 213, 0, 647168, 4096, 0.07578399999999999, 0.013373, 66952, 10824, 0, 0, 120, 6, 50, 0.009687999999999999, 0.00039999999999999996, 61296, 963, 0, 0, 1144, 13, 1
do_configure, 2929729, 9.56, 16, 1, 176, 23, 20060282, 7236352, 6272, 2368, 208896, 7794688, 397312, 0.162112, 0.015815, 62000, 11757, 0, 24, 184, 19, 55, 1.761973, 0.235695, 59068, 112890, 2, 384, 15040, 1173, 1207
do_write_config, 684699, 0.03, 7, 2, 0, 0, 342147, 59982, 127, 101, 0, 49152, 0, 0.072184, 0.022795, 68676, 8131, 0, 0, 64, 6, 1, 0.003426, 0.001787, 65956, 798, 0, 0, 32, 10, 2
do_package, 2954337, 7.77, 227, 46, 160, 17, 17777993, 7158236, 10427, 1471, 90112, 4534272, 1552384, 2.27198, 0.46258299999999997, 58680, 41312, 10, 176, 688, 506, 2599, 1.600474, 0.179645, 292980, 61676, 1, 0, 8168, 2001, 2285
do_package_qa, 2985244, 1.64, 29, 4, 7, 1, 2760254, 240000, 2215, 276, 8192, 159744, 0, 0.29996, 0.047993, 58560, 21534, 2, 16, 272, 223, 1251, 0.073458, 0.018688, 56220, 15938, 0, 0, 40, 155, 170
do_unpack, 634627, 0.02, 4, 0, 1, 0, 3745956, 5483999, 459, 591, 0, 3158016, 0, 0.045408, 0.008256, 66204, 7691, 0, 0, 64, 6, 6, 0.013245, 0.0049429999999999995, 62600, 1050, 0, 0, 6104, 91, 4
do_deploy_source_date_epoch, 683637, 0.09, 12, 1, 1, 0, 581695, 165542, 486, 292, 0, 114688, 0, 0.122072, 0.015750999999999998, 69048, 18792, 0, 0, 184, 31, 8, 0.018927, 0.005235999999999999, 66264, 4693, 0, 0, 40, 141, 10
