Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 700561, 0.12, 15, 4, 2, 0, 1259937, 496845, 637, 286, 0, 212992, 0, 0.154776, 0.042563, 71312, 20882, 0, 0, 312, 34, 12, 0.027084, 0.009368, 68172, 5236, 1, 0, 104, 138, 18
do_collect_spdx_deps, 699638, 0.02, 10, 0, 0, 0, 642337, 110199, 139, 72, 0, 114688, 0, 0.10134399999999999, 0.008107, 68100, 8271, 0, 0, 96, 2, 3, 0.003097, 0.001771, 62364, 597, 1, 0, 128, 8, 1
do_compile, 955920, 2.89, 20, 1, 100, 8, 5047830, 5430505, 1020, 690, 94208, 5976064, 159744, 0.206819, 0.017234, 70028, 11835, 0, 0, 64, 81, 58, 1.003142, 0.086383, 67304, 9258, 0, 184, 11608, 20, 1223
do_recipe_qa, 692090, 0.27, 15, 3, 1, 1, 700892, 130388, 390, 221, 0, 106496, 0, 0.15922, 0.031844, 69624, 16332, 0, 0, 176, 32, 68, 0.014601999999999999, 0.015328, 66824, 4028, 1, 0, 32, 77, 99
do_install, 957641, 0.75, 20, 2, 12, 1, 3399770, 359767, 496, 277, 0, 438272, 0, 0.20992999999999998, 0.026718, 70048, 14231, 0, 0, 72, 40, 155, 0.12664599999999998, 0.014596, 67356, 5095, 0, 0, 784, 17, 79
do_fetch, 692595, 0.02, 13, 0, 0, 0, 489182, 47999, 37, 62, 0, 53248, 0, 0.1344, 0.007904999999999999, 67032, 6687, 0, 0, 104, 0, 63, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 958122, 1.21, 26, 5, 6, 1, 1647147, 514865, 1460, 842, 0, 229376, 0, 0.267467, 0.055191, 70548, 26397, 0, 0, 336, 192, 110, 0.0659, 0.010268, 67704, 8978, 1, 0, 112, 167, 222
do_configure, 955274, 0.28, 16, 1, 0, 0, 508188, 67093, 61, 89, 0, 61440, 0, 0.165408, 0.016965, 70164, 8606, 0, 0, 120, 2, 64, 0.0028049999999999998, 0.0, 67272, 365, 0, 0, 0, 1, 0
do_prepare_recipe_sysroot, 953734, 1.16, 17, 7, 1, 1, 2437470, 1532260, 579, 426, 4096, 1581056, 0, 0.170838, 0.072131, 69452, 7012, 0, 8, 152, 3, 317, 0.012776, 0.01354, 64564, 638, 0, 0, 2936, 21, 12
do_patch, 701374, 0.01, 8, 1, 0, 0, 536282, 58100, 87, 67, 0, 61440, 4096, 0.081606, 0.015543999999999999, 68452, 9043, 0, 0, 120, 4, 5, 0.0031409999999999997, 0.0, 62760, 350, 0, 0, 0, 4, 2
do_create_runtime_spdx, 788829, 0.48, 18, 3, 2, 0, 978123, 356922, 446, 248, 0, 135168, 0, 0.18009599999999998, 0.033506, 70792, 16180, 0, 0, 184, 47, 44, 0.028877999999999997, 0.004674, 68056, 4264, 0, 0, 80, 60, 87
do_unpack, 695536, 0.03, 14, 1, 0, 0, 723144, 318648, 138, 113, 0, 253952, 0, 0.141516, 0.016173, 67688, 9888, 0, 0, 56, 5, 6, 0.003209, 0.0073219999999999995, 64816, 994, 0, 0, 440, 13, 3
do_populate_lic, 752388, 0.20, 18, 2, 1, 2, 891334, 201937, 576, 268, 0, 139264, 0, 0.182801, 0.029845, 70872, 18677, 0, 0, 224, 31, 116, 0.018604, 0.021082999999999998, 67844, 5004, 0, 0, 48, 82, 70
do_deploy_source_date_epoch, 759819, 0.23, 20, 2, 1, 1, 757764, 161209, 470, 299, 0, 118784, 0, 0.20471199999999998, 0.026133, 70632, 19055, 0, 0, 192, 33, 344, 0.012239, 0.019931, 67828, 4697, 0, 0, 40, 75, 70
