Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2972506, 0.31, 16, 1, 0, 0, 330000, 44580, 34, 46, 0, 49152, 0, 0.167569, 0.015233, 60256, 5383, 0, 0, 96, 0, 94, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 2893809, 1.36, 15, 2, 14, 4, 3249191, 405154, 1005, 312, 0, 487424, 0, 0.15869999999999998, 0.023805, 66272, 14684, 0, 0, 160, 150, 241, 0.146986, 0.048267, 64188, 6071, 0, 0, 792, 25, 297
do_recipe_qa, 551238, 0.11, 9, 3, 1, 1, 488535, 126741, 384, 208, 0, 102400, 0, 0.094873, 0.030358999999999997, 66644, 16049, 0, 0, 168, 25, 75, 0.010426, 0.011779999999999999, 63844, 3975, 1, 0, 32, 76, 40
do_populate_lic, 748231, 0.23, 14, 2, 1, 2, 675069, 198133, 559, 254, 0, 135168, 0, 0.149997, 0.027271999999999998, 69608, 18362, 0, 0, 216, 25, 112, 0.013451, 0.025391999999999998, 66512, 5011, 0, 0, 48, 100, 76
do_packagedata, 2962443, 1.15, 17, 2, 4, 1, 758657, 234472, 4146, 311, 4096, 196608, 0, 0.174287, 0.029047, 61820, 24196, 1, 8, 224, 98, 112, 0.041005, 0.015715, 58924, 6934, 0, 0, 160, 104, 117
do_compile, 2889680, 3.31, 11, 1, 88, 4, 4842914, 5439894, 1013, 698, 147456, 5988352, 159744, 0.11451199999999999, 0.012723, 61096, 10910, 0, 0, 72, 80, 49, 0.889385, 0.045037999999999995, 58396, 8859, 0, 288, 11624, 30, 270
do_fetch, 552777, 0.23, 8, 0, 0, 0, 357828, 91933, 226, 183, 0, 98304, 0, 0.086878, 0.008687, 64864, 5848, 0, 0, 120, 11, 55, 0.004853, 0.0, 61264, 896, 0, 0, 72, 15, 3
do_unpack, 570617, 0.02, 7, 1, 0, 0, 502936, 315473, 133, 106, 0, 253952, 0, 0.072686, 0.012114, 65112, 7425, 0, 0, 56, 7, 111, 0.004693, 0.004999, 61528, 996, 0, 0, 440, 14, 34
do_populate_sysroot, 2895629, 1.39, 18, 2, 5, 1, 1203178, 457151, 1224, 571, 0, 217088, 0, 0.18653, 0.028696, 61684, 20723, 0, 0, 312, 163, 91, 0.05108, 0.016113, 58756, 7927, 0, 0, 112, 142, 186
do_prepare_recipe_sysroot, 2883853, 1.25, 18, 18, 2, 0, 2755512, 1328147, 738, 374, 131072, 1388544, 0, 0.18140599999999998, 0.18140599999999998, 61208, 10290, 0, 232, 160, 36, 148, 0.027191999999999997, 0.0, 56320, 1279, 0, 24, 2552, 22, 11
do_configure, 2887406, 0.54, 16, 1, 0, 0, 290883, 79045, 79, 136, 12288, 69632, 0, 0.16722099999999998, 0.011666, 61292, 8869, 0, 24, 136, 19, 101, 0.0, 0.002898, 58356, 373, 0, 0, 0, 1, 15
do_patch, 576293, 0.07, 8, 1, 0, 1, 1096474, 634912, 361, 208, 0, 647168, 4096, 0.084316, 0.019162, 65724, 8634, 0, 0, 120, 5, 132, 0.003391, 0.010053999999999999, 59804, 972, 0, 0, 1144, 12, 20
do_deploy_source_date_epoch, 636609, 0.09, 9, 2, 0, 0, 558855, 164020, 482, 287, 0, 118784, 0, 0.09641999999999999, 0.020087, 67872, 18624, 0, 0, 192, 30, 6, 0.009927, 0.007703, 65072, 4689, 1, 0, 40, 151, 7
do_package, 2955123, 5.41, 43, 18, 72, 9, 3287205, 1437111, 4240, 672, 110592, 1064960, 0, 0.43099, 0.180861, 57680, 34381, 12, 216, 592, 614, 1061, 0.7249359999999999, 0.099011, 234440, 31768, 0, 0, 1488, 1760, 910
do_create_runtime_spdx, 3110661, 1.62, 22, 2, 3, 0, 2390843, 412268, 943, 254, 45056, 163840, 0, 0.225761, 0.020902999999999998, 63188, 23118, 0, 88, 232, 43, 93, 0.036648, 0.007676, 60032, 5393, 0, 0, 88, 122, 45
do_package_qa, 3109748, 1.28, 26, 4, 2, 1, 891000, 211341, 1187, 254, 81920, 159744, 0, 0.269142, 0.045547, 57408, 16749, 1, 160, 272, 92, 688, 0.029934, 0.019653, 55072, 6526, 0, 0, 40, 108, 96
do_package_write_rpm, 3109349, 4.12, 34, 4, 173, 21, 2547894, 590967, 2298, 519, 172032, 405504, 0, 0.344342, 0.045634999999999995, 57280, 23739, 1, 168, 480, 274, 423, 1.735789, 0.21107599999999999, 336280, 114096, 2, 168, 312, 1996, 795
do_create_spdx, 2973170, 1.24, 25, 4, 4, 1, 1315750, 571431, 778, 297, 0, 253952, 0, 0.25725, 0.047161999999999996, 64116, 23372, 0, 0, 384, 70, 88, 0.049471, 0.01684, 60336, 6605, 0, 0, 112, 242, 93
