Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 701854, 0.01, 9, 1, 0, 0, 558827, 48039, 46, 55, 8192, 53248, 0, 0.09034199999999999, 0.011783, 68060, 7061, 0, 16, 104, 2, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 949809, 0.43, 21, 9, 2, 0, 2444394, 1545435, 581, 429, 4096, 1585152, 0, 0.21773699999999999, 0.09211899999999999, 69756, 7374, 0, 8, 144, 5, 34, 0.024485999999999997, 0.0, 64844, 626, 0, 0, 2952, 8, 4
do_create_runtime_spdx, 769517, 0.15, 18, 3, 1, 1, 986947, 358592, 428, 250, 0, 139264, 0, 0.183108, 0.039806, 70908, 18315, 0, 0, 192, 33, 36, 0.016337, 0.012603, 68084, 4271, 0, 0, 80, 75, 44
do_recipe_qa, 38420, 0.06, 8, 1, 1, 0, 691033, 131767, 409, 223, 0, 106496, 0, 0.082241, 0.018691, 62924, 16381, 0, 0, 176, 29, 32, 0.013248999999999999, 0.001189, 60124, 4030, 0, 0, 32, 143, 5
do_install, 952129, 0.66, 18, 2, 12, 1, 3382138, 299550, 443, 201, 4096, 352256, 0, 0.189207, 0.028179, 70680, 14928, 0, 0, 80, 15, 191, 0.125046, 0.013146999999999999, 67988, 4795, 0, 8, 608, 15, 72
do_compile, 950788, 3.19, 14, 1, 120, 7, 8019070, 5871748, 1869, 743, 49152, 6127616, 135168, 0.141785, 0.017723, 71092, 9025, 0, 0, 72, 62, 109, 1.205284, 0.075337, 68360, 18528, 0, 96, 11896, 102, 719
do_fetch, 38569, 0.12, 7, 1, 0, 0, 573031, 85166, 264, 185, 0, 81920, 0, 0.075393, 0.015872, 61788, 8350, 0, 0, 120, 18, 2, 0.004267, 0.002655, 57900, 899, 0, 0, 40, 21, 1
do_patch, 39807, 0.03, 6, 1, 0, 0, 639053, 125790, 188, 92, 0, 126976, 4096, 0.063596, 0.014962999999999999, 61812, 10307, 0, 0, 120, 6, 28, 0.0053609999999999994, 0.0, 55716, 954, 0, 0, 128, 13, 1
do_configure, 950312, 0.12, 17, 2, 0, 0, 517077, 67998, 62, 88, 0, 65536, 0, 0.17277099999999998, 0.021068999999999997, 71372, 7155, 0, 0, 128, 2, 36, 0.003225, 0.0, 68456, 365, 0, 0, 0, 1, 0
do_populate_sysroot, 952652, 1.34, 33, 7, 7, 2, 1620716, 503335, 1391, 831, 0, 299008, 0, 0.330884, 0.07574399999999999, 70868, 30681, 0, 0, 464, 105, 199, 0.071391, 0.023637, 68976, 11150, 0, 0, 120, 212, 221
do_deploy_source_date_epoch, 40993, 0.07, 10, 0, 1, 0, 746307, 163263, 491, 301, 0, 118784, 0, 0.109997, 0.003928, 62584, 18893, 0, 0, 192, 30, 11, 0.014922999999999999, 0.000392, 59784, 4710, 0, 0, 40, 144, 5
do_populate_lic, 709992, 0.44, 19, 5, 2, 2, 820117, 177243, 586, 263, 4096, 135168, 0, 0.190739, 0.053904, 70844, 18687, 1, 8, 224, 50, 310, 0.020562999999999998, 0.020125, 67752, 5002, 2, 0, 40, 114, 77
do_create_spdx, 702331, 0.11, 20, 3, 2, 0, 1258971, 501061, 636, 292, 0, 212992, 0, 0.20243799999999998, 0.036438, 71540, 20970, 0, 0, 312, 35, 6, 0.023351999999999998, 0.004814, 68404, 5239, 0, 0, 104, 155, 18
do_unpack, 39778, 0.02, 6, 0, 0, 0, 712359, 228489, 176, 117, 0, 192512, 0, 0.06628099999999999, 0.007796999999999999, 61780, 12335, 0, 0, 56, 8, 5, 0.006, 0.0008749999999999999, 57876, 1493, 0, 0, 320, 14, 3
