Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 253662, 0.14, 19, 6, 2, 0, 1648747, 617144, 771, 461, 0, 249856, 0, 0.19725299999999998, 0.064486, 69132, 22047, 0, 0, 384, 37, 23, 0.02785, 0.009049, 65512, 5242, 2, 0, 104, 142, 21
do_collect_spdx_deps, 252508, 0.02, 16, 1, 0, 0, 809731, 50946, 59, 57, 0, 53248, 0, 0.16019799999999998, 0.016019, 65348, 7435, 0, 0, 104, 0, 19, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 18829, 0.05, 14, 2, 1, 0, 931867, 133899, 414, 226, 0, 106496, 0, 0.142837, 0.027773, 62936, 16666, 0, 0, 176, 28, 14, 0.01333, 0.001831, 60136, 4019, 0, 0, 32, 140, 8
do_install, 910168, 22.68, 53, 4, 1526, 121, 297133633, 300478598, 94383, 22719, 43397120, 313176064, 158666752, 0.538021, 0.046116, 75016, 17535, 0, 0, 7904, 2991, 90, 15.261034, 1.214497, 70884, 537533, 20, 84760, 603768, 80321, 3938
do_compile, 897114, 12.18, 19, 1, 11274, 757, 1236953653, 474362941, 215656, 102802, 29356032, 245809152, 331776, 0.193688, 0.012105, 72948, 7686, 0, 0, 2320, 433, 17, 112.742234, 7.577519, 256896, 3448917, 81, 57336, 477776, 40916, 55189
do_populate_sysroot, 933393, 7.03, 83, 82, 311, 120, 365294569, 161350530, 67258, 13465, 524288, 77131776, 4096, 0.839286, 0.82283, 72772, 182791, 0, 0, 88696, 1114, 519, 3.112043, 1.20784, 178916, 350925, 60, 1024, 61952, 3477, 3075
do_fetch, 18949, 9.35, 35, 2, 6, 5, 20914477, 20246151, 19664, 28366, 0, 20148224, 0, 0.350588, 0.020867999999999998, 78088, 11581, 0, 0, 176, 1270, 30, 0.061064999999999994, 0.05943, 58252, 901, 0, 0, 39176, 12600, 32
do_prepare_recipe_sysroot, 842841, 0.78, 23, 6, 2, 0, 2517709, 1485727, 584, 424, 45056, 1560576, 0, 0.238445, 0.067559, 70920, 7494, 0, 88, 176, 7, 120, 0.020182, 0.0078049999999999994, 66032, 613, 1, 0, 2872, 41, 133
do_configure, 843744, 61.54, 53, 3, 1981, 473, 468568884, 32500138, 233484, 51310, 1449984, 37085184, 24199168, 0.53014, 0.033132999999999996, 72668, 19979, 0, 48, 448, 853, 206, 19.811827, 4.735596, 69976, 3297622, 92, 2784, 71984, 18896, 14689
do_patch, 155350, 1.18, 14, 5, 74, 12, 10645219, 2399766, 14980, 1795, 0, 2297856, 4096, 0.14174499999999998, 0.052648, 64648, 25462, 0, 0, 192, 105, 26, 0.744756, 0.12242499999999999, 59476, 229960, 3, 0, 4296, 3714, 465
do_deploy_source_date_epoch, 163141, 0.21, 32, 2, 2, 0, 1002698, 160784, 520, 293, 0, 118784, 0, 0.320131, 0.026057, 66736, 19585, 0, 0, 192, 46, 160, 0.02076, 0.009505999999999999, 63976, 4693, 0, 0, 40, 112, 112
do_unpack, 145439, 1.32, 17, 6, 106, 24, 121757122, 196831583, 22653, 26346, 57344, 107745280, 0, 0.179205, 0.061006, 64480, 25899, 0, 0, 200, 68, 75, 1.067655, 0.248474, 61564, 18945, 1, 112, 210240, 11305, 3371
do_create_runtime_spdx, 789765, 0.43, 20, 2, 2, 0, 1239551, 361313, 424, 253, 0, 135168, 0, 0.210006, 0.02827, 73168, 17626, 0, 0, 184, 29, 132, 0.026511, 0.0057209999999999995, 70016, 4257, 0, 0, 80, 66, 30
do_populate_lic, 753972, 0.15, 24, 5, 1, 1, 1145211, 203169, 680, 269, 20480, 139264, 0, 0.248501, 0.051278, 72724, 19858, 1, 40, 224, 85, 254, 0.019591, 0.016019, 69628, 4993, 0, 0, 48, 124, 163
