Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 940352, 0.65, 18, 1, 18, 0, 3446211, 907096, 454, 214, 0, 1048576, 0, 0.18182299999999998, 0.019763, 70940, 11719, 0, 0, 72, 10, 61, 0.18265599999999999, 0.007383, 68244, 5314, 0, 0, 1976, 14, 54
do_collect_spdx_deps, 702177, 0.01, 9, 0, 0, 0, 549531, 46436, 42, 53, 12288, 53248, 0, 0.09318399999999999, 0.007764999999999999, 68056, 7085, 0, 24, 104, 3, 57, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 785201, 0.42, 15, 3, 2, 1, 977446, 356968, 451, 248, 0, 135168, 0, 0.157549, 0.031508999999999995, 71248, 16248, 0, 0, 184, 49, 125, 0.022188, 0.010627, 68448, 4255, 0, 0, 80, 88, 93
do_recipe_qa, 24032, 0.05, 8, 1, 0, 0, 672869, 130471, 405, 221, 0, 106496, 0, 0.082943, 0.013823, 61216, 16427, 0, 0, 176, 26, 39, 0.008269, 0.005797999999999999, 58416, 4006, 0, 0, 32, 107, 5
do_unpack, 25202, 0.02, 5, 0, 0, 0, 3142455, 4855602, 415, 440, 0, 2576384, 0, 0.051584, 0.007936, 60244, 7602, 0, 0, 56, 6, 1, 0.009566999999999999, 0.0013779999999999999, 56296, 989, 0, 0, 4976, 83, 3
do_fetch, 24086, 0.27, 6, 0, 0, 0, 678743, 197208, 306, 317, 0, 200704, 0, 0.066551, 0.008317999999999999, 60144, 7932, 0, 0, 120, 19, 3, 0.00295, 0.0016029999999999998, 56296, 905, 0, 0, 272, 92, 0
do_compile, 939746, 1.16, 14, 2, 42, 1, 2822507, 2667545, 401, 269, 274432, 2818048, 0, 0.14660199999999998, 0.025870999999999998, 70860, 8548, 0, 0, 48, 27, 51, 0.420156, 0.010669999999999999, 68164, 6145, 0, 536, 5456, 26, 59
do_configure, 939486, 0.17, 15, 1, 0, 0, 507658, 77028, 4235, 158, 0, 61440, 0, 0.152325, 0.015623, 71184, 7021, 0, 0, 120, 27, 61, 0.003096, 0.0, 68260, 368, 0, 0, 0, 1, 27
do_prepare_recipe_sysroot, 939190, 0.39, 14, 8, 0, 1, 2374332, 1536737, 563, 426, 16384, 1581056, 0, 0.143419, 0.080145, 69580, 7012, 0, 32, 144, 6, 65, 0.009375999999999999, 0.016278, 64692, 636, 0, 0, 2944, 8, 8
do_deploy_source_date_epoch, 26690, 0.09, 12, 0, 1, 0, 729545, 161485, 478, 299, 0, 118784, 0, 0.122788, 0.007921, 61624, 18667, 0, 0, 192, 26, 12, 0.010928, 0.007157999999999999, 58820, 4705, 1, 0, 40, 130, 27
do_patch, 25213, 0.02, 6, 0, 0, 0, 628712, 121453, 184, 86, 0, 126976, 4096, 0.06554, 0.00771, 60268, 10011, 0, 0, 120, 6, 6, 0.004262, 0.001006, 54168, 948, 0, 0, 128, 13, 3
do_populate_sysroot, 940780, 1.00, 25, 3, 5, 1, 2589387, 801513, 1387, 840, 0, 290816, 0, 0.25571, 0.032993999999999996, 71104, 26390, 0, 0, 344, 99, 206, 0.055763, 0.019962999999999998, 68344, 8603, 1, 0, 224, 199, 134
do_populate_lic, 734806, 0.50, 18, 2, 3, 0, 850054, 190822, 563, 265, 4096, 139264, 0, 0.18423499999999998, 0.028898999999999998, 70924, 18521, 1, 8, 224, 34, 161, 0.032954, 0.006568999999999999, 67840, 5010, 0, 0, 48, 74, 59
do_create_spdx, 702697, 0.10, 12, 3, 1, 1, 1226941, 495500, 616, 285, 0, 208896, 0, 0.125728, 0.032445, 71272, 21043, 0, 0, 304, 35, 12, 0.013418, 0.016607999999999998, 68136, 5230, 1, 0, 104, 144, 14
