Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 3662626, 3.62, 82, 38, 145, 18, 15839243, 6816166, 7812, 1283, 24576, 4435968, 1626112, 0.8222349999999999, 0.387399, 60080, 41783, 2, 48, 632, 367, 1787, 1.450784, 0.180446, 67468, 48998, 2, 0, 8032, 1994, 1270
do_compile, 3655280, 2.48, 11, 1, 430, 53, 58112096, 7115758, 11719, 2626, 1183744, 2809856, 704512, 0.110551, 0.01005, 58716, 6518, 0, 0, 304, 25, 24, 4.308752, 0.538829, 64640, 163167, 0, 2312, 5184, 1438, 2072
do_collect_spdx_deps, 3653532, 0.26, 25, 2, 0, 0, 346865, 47411, 39, 51, 0, 49152, 0, 0.25526499999999996, 0.020259, 58360, 5919, 0, 0, 96, 0, 150, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 560592, 0.02, 4, 0, 0, 0, 2091940, 2589626, 285, 350, 0, 1548288, 0, 0.048596999999999994, 0.008099, 65484, 7781, 0, 0, 64, 6, 1, 0.004711, 0.006963, 61848, 1041, 0, 0, 2960, 48, 4
do_package_write_rpm, 3671412, 4.32, 42, 5, 353, 18, 9202665, 1372934, 2470, 641, 143360, 913408, 0, 0.424739, 0.050463999999999995, 60116, 24346, 2, 280, 480, 231, 436, 3.530596, 0.18545499999999998, 360100, 104294, 0, 0, 1304, 1369, 1253
do_recipe_qa, 534668, 0.07, 8, 1, 1, 0, 501425, 127900, 400, 212, 106496, 102400, 0, 0.083558, 0.015915, 66784, 16471, 0, 8, 168, 30, 38, 0.012381, 0.003763, 64104, 4020, 5, 200, 32, 129, 9
do_packagedata, 3668854, 1.75, 21, 4, 4, 1, 791348, 237524, 910, 317, 0, 200704, 0, 0.218221, 0.048492999999999994, 59656, 24190, 0, 0, 224, 80, 78, 0.044191, 0.017932999999999998, 56728, 6933, 2, 0, 168, 134, 127
do_install, 3659339, 1.68, 27, 3, 37, 8, 11220673, 1102996, 3252, 317, 45056, 1101824, 0, 0.277432, 0.031706, 58520, 15273, 1, 8, 160, 1010, 309, 0.37277699999999997, 0.081815, 56440, 18073, 0, 80, 1992, 25, 293
do_create_spdx, 3671380, 1.81, 36, 4, 3, 3, 1392576, 674981, 764, 452, 159744, 282624, 0, 0.36353599999999997, 0.044931, 62208, 26825, 4, 312, 440, 64, 255, 0.03863, 0.032278, 58396, 6593, 0, 0, 112, 246, 121
do_fetch, 535018, 1.07, 5, 1, 0, 0, 746660, 412304, 564, 626, 225280, 413696, 0, 0.052308999999999994, 0.012071, 65128, 6173, 0, 0, 120, 42, 4, 0.007877, 0.0, 61660, 942, 4, 440, 688, 209, 1
do_package_qa, 3671448, 2.07, 40, 3, 5, 2, 2232879, 226558, 1425, 267, 8192, 159744, 0, 0.405255, 0.035239, 59960, 21446, 1, 16, 272, 142, 765, 0.051351999999999995, 0.02157, 57632, 10937, 0, 0, 40, 92, 121
do_populate_sysroot, 3662694, 0.97, 39, 4, 5, 4, 4229243, 1974992, 1428, 677, 20480, 1425408, 217088, 0.394192, 0.046710999999999996, 59628, 25773, 4, 40, 1688, 99, 156, 0.054211999999999996, 0.049186, 57116, 12478, 0, 0, 1096, 177, 151
do_deploy_source_date_epoch, 595716, 0.22, 16, 3, 1, 1, 566019, 164014, 491, 288, 139264, 118784, 0, 0.167205, 0.031848, 67800, 18917, 0, 0, 192, 32, 14, 0.016212999999999998, 0.010171, 65000, 4708, 0, 272, 40, 137, 9
do_prepare_recipe_sysroot, 3647491, 3.30, 27, 24, 2, 0, 3201978, 1437777, 911, 411, 1003520, 1515520, 0, 0.272103, 0.2428, 59492, 11465, 5, 1152, 152, 63, 107, 0.020635999999999998, 0.009689999999999999, 54604, 1272, 0, 808, 2808, 55, 7
do_patch, 566631, 0.11, 11, 1, 1, 0, 1029806, 637939, 330, 213, 0, 647168, 4096, 0.117952, 0.011795, 65628, 12198, 0, 0, 120, 6, 158, 0.012829, 0.0037519999999999997, 59860, 971, 1, 0, 1144, 13, 3
do_configure, 3650317, 9.13, 18, 2, 187, 27, 19930154, 7386539, 5623, 2031, 3629056, 7970816, 315392, 0.189028, 0.022683, 59104, 9727, 0, 24, 168, 53, 40, 1.871395, 0.270633, 56152, 95528, 61, 7064, 15400, 1059, 930
do_write_config, 596138, 0.04, 7, 0, 0, 0, 341424, 59872, 122, 98, 0, 49152, 0, 0.073417, 0.008157, 67396, 8172, 0, 0, 64, 6, 2, 0.00313, 0.000227, 64680, 798, 0, 0, 32, 10, 2
do_create_runtime_spdx, 3673886, 0.98, 18, 4, 2, 1, 1035800, 413450, 670, 258, 135168, 163840, 0, 0.184451, 0.047185, 61700, 21931, 0, 264, 232, 68, 141, 0.027815, 0.017247, 58020, 5380, 0, 0, 88, 71, 94
do_populate_lic, 772511, 0.19, 14, 5, 2, 1, 978062, 297020, 604, 268, 0, 151552, 0, 0.146505, 0.051474, 69616, 18565, 0, 0, 216, 29, 85, 0.020638999999999998, 0.017863999999999998, 66520, 5076, 2, 0, 80, 92, 64
