Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 274470, 0.03, 9, 0, 0, 0, 550664, 46655, 42, 53, 0, 53248, 0, 0.09834599999999999, 0.007866999999999999, 64460, 6891, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 948730, 0.46, 22, 1, 14, 2, 4129359, 2977128, 598, 442, 0, 3551232, 0, 0.225462, 0.012078, 71088, 14766, 0, 0, 80, 23, 43, 0.143089, 0.028284, 68396, 4892, 0, 0, 6856, 13, 105
do_recipe_qa, 26617, 0.06, 8, 1, 1, 0, 678017, 131209, 401, 221, 0, 106496, 0, 0.084198, 0.016037, 61604, 16390, 0, 0, 176, 26, 8, 0.010355999999999999, 0.005371, 58804, 4031, 0, 0, 32, 133, 12
do_compile, 947101, 3.07, 21, 3, 174, 19, 21799425, 12445842, 5267, 4512, 3821568, 13651968, 3391488, 0.211638, 0.037128999999999995, 71084, 8742, 0, 0, 288, 723, 60, 1.746292, 0.194969, 68296, 18290, 0, 7464, 26376, 343, 1327
do_fetch, 26744, 0.43, 11, 0, 0, 0, 2754966, 2280504, 2040, 3292, 0, 2269184, 0, 0.11788699999999999, 0.0, 60464, 8443, 0, 0, 120, 163, 19, 0.005078, 0.007332999999999999, 56940, 906, 0, 0, 4312, 1020, 4
do_configure, 946858, 0.08, 19, 1, 0, 0, 508989, 77867, 2076, 158, 4096, 65536, 0, 0.190333, 0.018300999999999998, 71244, 7108, 0, 8, 128, 28, 342, 0.0, 0.003322, 68324, 368, 0, 0, 0, 1, 31
do_prepare_recipe_sysroot, 946589, 0.26, 15, 7, 1, 0, 2395513, 1550619, 571, 430, 114688, 1597440, 0, 0.159307, 0.077711, 69592, 7273, 0, 224, 152, 9, 245, 0.018369999999999997, 0.00658, 64704, 632, 0, 0, 2968, 8, 5
do_create_spdx, 275919, 0.29, 21, 3, 2, 1, 1230981, 505098, 603, 298, 0, 217088, 0, 0.212061, 0.032624, 66760, 20972, 0, 0, 320, 33, 35, 0.024766, 0.010055, 63924, 5227, 0, 0, 104, 88, 59
do_patch, 27674, 0.11, 6, 2, 8, 1, 1335853, 240236, 1346, 215, 0, 262144, 4096, 0.061988999999999995, 0.025525, 60676, 11791, 0, 0, 136, 17, 4, 0.08236199999999999, 0.010143, 54952, 18900, 0, 0, 376, 298, 10
do_populate_sysroot, 949150, 0.93, 31, 6, 11, 2, 13897194, 4062426, 4158, 1256, 0, 790528, 0, 0.316658, 0.064085, 71220, 27487, 0, 0, 520, 150, 91, 0.11309, 0.025412999999999998, 68452, 9848, 0, 0, 1024, 304, 150
do_create_runtime_spdx, 787327, 0.44, 16, 2, 2, 0, 978889, 357506, 451, 248, 0, 135168, 0, 0.16635, 0.026463999999999998, 70988, 16162, 0, 0, 184, 50, 112, 0.024766, 0.006013999999999999, 68252, 4281, 1, 0, 80, 71, 84
do_populate_lic, 746715, 0.34, 19, 4, 2, 1, 809916, 176978, 559, 263, 8192, 135168, 0, 0.19830199999999998, 0.041312999999999996, 70952, 18528, 1, 16, 224, 40, 90, 0.029094, 0.011536, 67860, 5006, 0, 0, 40, 102, 53
do_deploy_source_date_epoch, 28649, 0.08, 8, 3, 1, 0, 732442, 162259, 498, 299, 0, 118784, 0, 0.087521, 0.031826, 62036, 18589, 0, 0, 192, 33, 4, 0.015432999999999999, 0.002157, 59232, 4716, 0, 0, 40, 158, 11
do_unpack, 27660, 0.05, 5, 1, 2, 1, 10453255, 14385585, 1130, 1415, 0, 7847936, 0, 0.053845, 0.011538, 60660, 8862, 0, 0, 56, 10, 4, 0.029054, 0.016353, 57016, 2067, 0, 0, 15272, 240, 4
