Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 697212, 0.02, 9, 1, 0, 0, 642256, 110563, 141, 73, 0, 114688, 0, 0.09371499999999999, 0.012223, 67348, 8098, 0, 0, 96, 2, 7, 0.004275999999999999, 0.0, 62108, 596, 0, 0, 128, 7, 3
do_fetch, 682877, 0.01, 8, 1, 0, 0, 489111, 48545, 39, 63, 0, 53248, 0, 0.08344, 0.01192, 68136, 6945, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 682564, 0.08, 12, 2, 1, 0, 698641, 130685, 395, 222, 0, 106496, 0, 0.120858, 0.020142999999999998, 69212, 16232, 0, 0, 176, 26, 8, 0.012085, 0.008966, 66412, 4025, 0, 0, 32, 136, 18
do_install, 952250, 0.59, 23, 1, 11, 1, 3369632, 296745, 496, 279, 0, 327680, 0, 0.231407, 0.015688, 70608, 14909, 0, 0, 72, 45, 201, 0.118252, 0.014582999999999999, 67916, 5224, 0, 0, 568, 14, 60
do_create_spdx, 697356, 0.13, 14, 4, 2, 1, 1247573, 496324, 629, 287, 0, 212992, 0, 0.140964, 0.04146, 71308, 21006, 0, 0, 312, 34, 13, 0.022515, 0.013850999999999999, 68172, 5253, 0, 0, 104, 167, 11
do_compile, 950953, 3.15, 13, 2, 96, 8, 5037270, 5372635, 901, 498, 57344, 5881856, 73728, 0.137766, 0.020873, 71108, 8926, 0, 0, 56, 45, 86, 0.969621, 0.082424, 68404, 8860, 0, 112, 11432, 14, 1307
do_configure, 950579, 0.13, 16, 0, 0, 0, 507987, 66744, 60, 87, 0, 61440, 0, 0.166121, 0.008306, 71336, 7070, 0, 0, 120, 2, 156, 0.002848, 0.0, 68412, 369, 0, 0, 0, 1, 0
do_prepare_recipe_sysroot, 949964, 0.41, 15, 14, 1, 1, 2435576, 1525023, 579, 425, 4096, 1572864, 0, 0.15764999999999998, 0.146114, 69584, 7363, 0, 8, 144, 3, 40, 0.011793, 0.014927, 64696, 632, 0, 0, 2928, 9, 55
do_patch, 697671, 0.02, 9, 1, 0, 0, 536214, 58648, 89, 68, 0, 61440, 4096, 0.09116199999999999, 0.012431, 68416, 9070, 0, 0, 120, 4, 5, 0.000428, 0.0022429999999999998, 62504, 354, 0, 0, 0, 4, 3
do_populate_sysroot, 952777, 1.23, 30, 3, 6, 1, 1373298, 439056, 1115, 805, 0, 212992, 0, 0.30688699999999997, 0.033631, 70516, 27091, 0, 0, 328, 109, 206, 0.063966, 0.012046, 67804, 8545, 0, 0, 88, 206, 224
do_create_runtime_spdx, 786563, 0.41, 17, 2, 2, 0, 977682, 356950, 455, 249, 0, 135168, 0, 0.175009, 0.022437, 70984, 16122, 0, 0, 184, 50, 163, 0.024932, 0.005347, 68248, 4272, 0, 0, 80, 75, 74
do_deploy_source_date_epoch, 703231, 0.11, 21, 1, 2, 0, 756917, 160825, 476, 297, 0, 118784, 0, 0.211751, 0.015399999999999999, 69764, 18994, 0, 0, 192, 26, 23, 0.021193999999999998, 0.004314, 66960, 4717, 2, 0, 40, 141, 15
do_populate_lic, 736556, 0.43, 20, 2, 2, 1, 808784, 176219, 608, 264, 0, 135168, 0, 0.207953, 0.029706999999999997, 70936, 18603, 0, 0, 224, 58, 82, 0.027967, 0.011354, 67844, 4997, 0, 0, 40, 78, 113
do_unpack, 683052, 0.02, 8, 1, 0, 0, 735123, 331563, 142, 102, 0, 208896, 0, 0.08288, 0.011301, 68096, 9898, 0, 0, 56, 6, 1, 0.006777, 0.001648, 64652, 1000, 0, 0, 352, 15, 1
