Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 530270, 0.02, 4, 0, 0, 0, 514916, 328400, 135, 95, 0, 208896, 0, 0.045723, 0.008313, 64972, 7511, 0, 0, 56, 6, 1, 0.003244, 0.002118, 61380, 988, 0, 0, 352, 17, 3
do_collect_spdx_deps, 2970834, 0.16, 14, 1, 0, 0, 329930, 45017, 36, 47, 0, 49152, 0, 0.141527, 0.014896999999999999, 59836, 7315, 0, 0, 96, 0, 68, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 498869, 0.16, 4, 0, 0, 0, 359492, 94033, 232, 185, 0, 102400, 0, 0.046067, 0.008374999999999999, 64600, 5777, 0, 0, 120, 21, 1, 0.001348, 0.004491, 61012, 907, 0, 0, 80, 25, 0
do_recipe_qa, 498734, 0.07, 8, 1, 0, 0, 482840, 127022, 395, 209, 0, 102400, 0, 0.084938, 0.016987, 66412, 16077, 0, 0, 168, 26, 27, 0.008407999999999999, 0.006314999999999999, 63612, 4004, 0, 0, 32, 138, 10
do_install, 2880017, 0.96, 17, 1, 10, 3, 3211831, 345506, 924, 335, 143360, 376832, 0, 0.17232, 0.015316999999999999, 68212, 14686, 0, 0, 160, 217, 267, 0.103146, 0.033125, 66140, 6143, 0, 280, 576, 29, 175
do_populate_sysroot, 2881297, 1.49, 19, 2, 3, 2, 1009989, 387560, 927, 538, 8192, 204800, 0, 0.1949, 0.023864999999999997, 61948, 22717, 2, 16, 312, 83, 57, 0.037125, 0.021974999999999998, 59004, 7401, 1, 0, 88, 135, 101
do_packagedata, 2952875, 1.13, 18, 3, 5, 0, 752439, 231267, 898, 311, 0, 192512, 0, 0.187138, 0.031853, 61680, 23957, 0, 0, 216, 81, 151, 0.054334, 0.0047139999999999994, 58900, 6956, 0, 0, 160, 164, 110
do_compile, 2872617, 4.88, 11, 1, 83, 3, 4832419, 5400397, 972, 623, 716800, 5894144, 73728, 0.11963199999999999, 0.014074, 73256, 11273, 0, 0, 64, 83, 47, 0.834623, 0.039925999999999996, 70564, 8731, 3, 1400, 11448, 235, 398
do_patch, 534122, 0.03, 5, 0, 0, 0, 1026370, 635392, 328, 209, 0, 647168, 4096, 0.054025, 0.007717, 65060, 8643, 0, 0, 120, 6, 5, 0.006979, 0.002789, 59472, 969, 0, 0, 1144, 12, 2
do_package_write_rpm, 3046428, 2.78, 24, 3, 137, 12, 2002694, 489630, 2018, 470, 4096, 356352, 0, 0.245853, 0.030730999999999998, 57104, 23483, 1, 8, 472, 307, 352, 1.376487, 0.126943, 219448, 84170, 1, 0, 224, 820, 851
do_deploy_source_date_epoch, 570491, 0.18, 15, 3, 1, 1, 548929, 163576, 1540, 285, 0, 118784, 0, 0.15565099999999998, 0.035577, 67072, 18648, 0, 0, 192, 54, 104, 0.013602, 0.016420999999999998, 64272, 4690, 0, 0, 40, 78, 62
do_prepare_recipe_sysroot, 2869802, 2.11, 24, 20, 1, 0, 2753685, 1320737, 738, 373, 139264, 1380352, 0, 0.243883, 0.20183399999999999, 73592, 8234, 0, 264, 152, 39, 124, 0.019077999999999998, 0.0, 68704, 1277, 0, 8, 2544, 18, 14
do_configure, 2870971, 0.39, 19, 1, 0, 0, 290624, 90919, 2666, 212, 12288, 69632, 0, 0.19592299999999999, 0.019592, 73476, 8847, 0, 24, 136, 45, 61, 0.00327, 0.0, 70556, 378, 0, 0, 0, 1, 44
do_create_runtime_spdx, 3048094, 1.77, 19, 3, 3, 1, 2432999, 399569, 941, 251, 0, 151552, 0, 0.198121, 0.031699, 63944, 20037, 0, 0, 216, 41, 141, 0.031021, 0.011215, 60860, 5382, 0, 0, 80, 92, 68
do_create_spdx, 2971128, 1.41, 21, 4, 4, 1, 1243926, 533278, 748, 289, 286720, 229376, 0, 0.21609399999999998, 0.043218, 63916, 24344, 0, 560, 344, 88, 94, 0.041519, 0.017318, 60168, 6320, 0, 0, 104, 199, 89
do_package_qa, 3046840, 1.27, 18, 3, 3, 1, 765182, 211145, 964, 255, 8192, 159744, 0, 0.184979, 0.033631999999999995, 57128, 16675, 1, 16, 272, 88, 538, 0.031466, 0.011722, 54788, 6567, 0, 0, 40, 87, 105
do_populate_lic, 735094, 0.43, 14, 3, 3, 0, 608519, 172414, 575, 250, 0, 131072, 0, 0.142185, 0.034469, 69612, 18280, 0, 0, 216, 48, 61, 0.034581, 0.006973999999999999, 66516, 4976, 0, 0, 40, 141, 67
do_package, 2945788, 3.28, 48, 17, 78, 6, 2583599, 1150448, 3150, 624, 196608, 929792, 0, 0.482465, 0.174003, 57568, 33088, 28, 384, 576, 609, 820, 0.785354, 0.068257, 101560, 25138, 0, 0, 1240, 804, 848
