Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 945059, 1.18, 15, 1, 78, 5, 9638423, 3629826, 1045, 283, 303104, 3887104, 20480, 0.15162799999999999, 0.017838, 70884, 8514, 0, 0, 48, 8, 29, 0.78596, 0.059662, 68184, 14675, 0, 592, 7544, 46, 143
do_fetch, 26165, 0.21, 7, 0, 0, 0, 642756, 160654, 301, 258, 0, 163840, 0, 0.073355, 0.0, 60432, 7986, 0, 0, 120, 27, 10, 0.0049499999999999995, 0.0, 56600, 906, 0, 0, 200, 80, 1
do_collect_spdx_deps, 269924, 0.03, 9, 0, 0, 0, 549596, 46538, 42, 53, 0, 53248, 0, 0.097326, 0.00811, 64344, 6860, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 26093, 0.05, 8, 0, 1, 0, 676119, 130204, 402, 221, 0, 106496, 0, 0.08648399999999999, 0.008236, 61520, 16477, 0, 0, 176, 29, 18, 0.010329, 0.0034159999999999998, 58720, 4035, 0, 0, 32, 135, 7
do_install, 945673, 0.42, 21, 1, 11, 1, 3366627, 570411, 466, 253, 0, 679936, 0, 0.219965, 0.01245, 70972, 14759, 0, 0, 72, 28, 115, 0.11822099999999999, 0.01575, 68272, 5186, 0, 0, 1256, 14, 33
do_create_spdx, 271533, 0.14, 15, 2, 1, 1, 1223271, 495624, 618, 286, 0, 212992, 0, 0.159411, 0.023910999999999998, 66576, 20909, 0, 0, 312, 36, 62, 0.018881, 0.014591, 63676, 5249, 1, 0, 104, 129, 26
do_configure, 944854, 0.16, 17, 2, 0, 0, 507590, 77317, 2058, 158, 4096, 61440, 0, 0.17429699999999998, 0.021786999999999997, 71208, 7019, 0, 8, 120, 28, 34, 0.003495, 0.0, 68288, 369, 0, 0, 0, 1, 28
do_create_runtime_spdx, 787211, 0.44, 15, 3, 2, 0, 977194, 356491, 417, 248, 0, 135168, 0, 0.15328, 0.036302999999999995, 71044, 16056, 0, 0, 184, 33, 330, 0.026212, 0.006815, 68224, 4268, 1, 0, 80, 104, 51
do_prepare_recipe_sysroot, 944487, 0.48, 22, 7, 2, 0, 2388300, 1536488, 569, 427, 86016, 1585152, 0, 0.222579, 0.078314, 69552, 7136, 0, 168, 160, 11, 63, 0.020902, 0.0042049999999999995, 64664, 636, 0, 0, 2936, 9, 8
do_populate_sysroot, 945966, 1.01, 30, 3, 6, 1, 2093852, 630272, 1509, 863, 0, 249856, 0, 0.305186, 0.039237999999999995, 71076, 28114, 0, 0, 352, 97, 114, 0.06718199999999999, 0.019756, 68996, 10209, 0, 0, 136, 250, 90
do_patch, 26696, 0.03, 7, 0, 0, 0, 628752, 121367, 184, 86, 0, 126976, 4096, 0.07812999999999999, 0.008224, 60520, 9988, 0, 0, 120, 6, 8, 0.004249, 0.0022559999999999998, 54484, 957, 1, 0, 128, 12, 7
do_populate_lic, 746600, 0.33, 17, 3, 2, 1, 808592, 176001, 575, 263, 8192, 135168, 0, 0.17277199999999998, 0.03676, 70920, 18483, 1, 16, 224, 46, 108, 0.027745, 0.013066999999999999, 67828, 4994, 0, 0, 40, 117, 90
do_unpack, 26609, 0.01, 4, 1, 0, 0, 1252889, 1113548, 188, 217, 0, 733184, 0, 0.047163, 0.012862, 60500, 7582, 0, 0, 56, 6, 7, 0.004347, 0.0022559999999999998, 56600, 986, 0, 0, 1376, 23, 3
do_deploy_source_date_epoch, 28473, 0.08, 8, 3, 1, 0, 730543, 160990, 497, 299, 0, 118784, 0, 0.086533, 0.03386, 61972, 18653, 0, 0, 192, 34, 5, 0.015496999999999999, 0.001535, 59172, 4717, 0, 0, 40, 145, 9
