Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 2232002, 0.40, 20, 14, 2, 1, 3306494, 1980171, 899, 546, 483328, 2076672, 0, 0.20460799999999998, 0.141652, 73568, 8263, 0, 936, 184, 49, 91, 0.020109, 0.012332, 68680, 1236, 0, 8, 3872, 18, 10
do_collect_spdx_deps, 2244919, 0.05, 18, 1, 0, 0, 490527, 48336, 47, 49, 0, 49152, 0, 0.18195599999999998, 0.016173, 73312, 7649, 0, 0, 96, 0, 143, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 172453, 1.45, 16, 5, 114, 22, 121390791, 196824453, 22648, 26407, 4096, 107737088, 0, 0.167532, 0.057312999999999996, 64312, 24366, 0, 0, 208, 62, 90, 1.142316, 0.227047, 61596, 17376, 2, 8, 210216, 11533, 7556
do_compile_ptest_base, 2673727, 0.14, 14, 2, 0, 0, 449713, 37427, 4810, 131, 0, 28672, 0, 0.148942, 0.024822999999999998, 73836, 6566, 0, 0, 56, 27, 40, 0.0, 0.003029, 71116, 365, 0, 0, 0, 1, 26
do_recipe_qa, 28052, 0.05, 9, 1, 1, 0, 610356, 129006, 417, 211, 0, 102400, 0, 0.096477, 0.012059, 63140, 16657, 0, 0, 168, 30, 1, 0.01227, 0.0017339999999999999, 60332, 4012, 0, 0, 32, 136, 10
do_package_qa, 3803558, 14.98, 305, 183, 66, 132, 216999036, 1278036, 86058, 1043, 137474048, 200704, 0, 3.052899, 1.8366699999999998, 95660, 147249, 3972, 268160, 288, 77337, 24585, 0.6603, 1.321428, 66924, 379481, 161, 344, 104, 2969, 2264
do_compile, 2635250, 31.19, 24, 2, 14571, 922, 1026728353, 387732021, 201042, 81474, 28336128, 160866304, 32256000, 0.244724, 0.024071, 74368, 7521, 0, 0, 4576, 473, 100, 145.7159, 9.227995, 251216, 3288433, 42, 55344, 309616, 47427, 76907
do_install, 2675044, 129.10, 94, 12, 2343, 387, 277082699, 265660358, 212458, 22454, 44957696, 280158208, 39604224, 0.940392, 0.12483, 69600, 15588, 0, 0, 4912, 7266, 520, 23.439933, 3.8733459999999997, 67088, 850047, 41, 87808, 542272, 51987, 103777
do_fetch, 28154, 0.02, 8, 0, 0, 0, 429495, 140288, 42, 166, 0, 86016, 0, 0.08532, 0.008125, 61752, 6994, 0, 0, 168, 1, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2942595, 1.72, 24, 2, 5, 3, 3203804, 1696303, 2128, 588, 0, 1347584, 0, 0.245921, 0.028512, 62972, 25464, 0, 0, 352, 75, 235, 0.056006999999999994, 0.032553, 60056, 7589, 0, 0, 2280, 134, 254
