Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 3997857, 0.05, 6, 1, 0, 0, 354595, 52183, 150, 105, 0, 53248, 0, 0.06346199999999999, 0.011899, 70444, 13579, 0, 0, 64, 9, 2, 0.005123, 0.0018679999999999999, 67736, 1321, 0, 0, 40, 9, 3
do_populate_lic, 796001, 0.24, 11, 3, 2, 1, 656855, 192674, 557, 254, 0, 135168, 0, 0.115422, 0.033509, 69156, 15693, 0, 0, 224, 39, 91, 0.028589999999999997, 0.011203999999999999, 66140, 4926, 0, 0, 40, 82, 77
do_addto_recipe_sysroot, 3997961, 0.03, 7, 0, 0, 0, 273469, 72681, 24, 45, 0, 73728, 0, 0.072425, 0.0, 69644, 4995, 0, 0, 144, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 794030, 0.32, 10, 2, 1, 1, 484983, 121163, 386, 210, 0, 106496, 0, 0.101005, 0.021041999999999998, 68900, 13548, 0, 0, 176, 32, 58, 0.017679999999999998, 0.011014, 66100, 3988, 1, 0, 32, 144, 55
do_compile, 3997842, 0.51, 4, 0, 2, 1, 1442407, 39861, 482, 133, 4096, 45056, 0, 0.048943, 0.008157, 70372, 7975, 0, 0, 40, 3, 1, 0.020827, 0.015477, 67652, 5466, 0, 8, 48, 19, 2
do_deploy_source_date_epoch, 795990, 0.26, 13, 3, 2, 0, 535297, 153431, 458, 317, 0, 114688, 0, 0.134165, 0.033541, 69140, 16082, 0, 0, 184, 34, 69, 0.025885, 0.0060929999999999995, 66340, 4633, 0, 0, 40, 78, 63
do_fetch, 794708, 0.01, 5, 0, 0, 0, 269904, 14080, 19, 39, 0, 20480, 0, 0.057179999999999995, 0.006353, 67680, 4470, 0, 0, 40, 0, 124, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 3997872, 0.31, 18, 5, 4, 2, 967094, 320603, 1141, 762, 4096, 225280, 0, 0.18210199999999999, 0.052607, 71424, 28922, 0, 8, 360, 76, 10, 0.044919, 0.025025, 68824, 10580, 0, 0, 80, 170, 11
do_prepare_recipe_sysroot, 3997817, 0.92, 15, 10, 3, 1, 3084219, 1750983, 893, 494, 98304, 1908736, 0, 0.156502, 0.109552, 70876, 7525, 2, 192, 176, 26, 3, 0.039158, 0.01633, 65980, 631, 0, 0, 3552, 15, 5
do_configure, 3997830, 0.06, 9, 0, 0, 0, 303764, 67946, 83, 111, 4096, 69632, 0, 0.095263, 0.00433, 70756, 8517, 0, 8, 128, 5, 1, 0.00079, 0.001952, 67872, 600, 0, 0, 8, 5, 1
do_patch, 795546, 0.10, 5, 2, 1, 0, 411928, 118421, 168, 79, 0, 126976, 4096, 0.051403, 0.029373, 67288, 7685, 0, 0, 120, 6, 15, 0.010426, 0.001723, 61816, 936, 0, 0, 128, 14, 10
do_unpack, 795214, 0.05, 5, 1, 0, 0, 296650, 21111, 83, 60, 0, 32768, 0, 0.05903, 0.012648999999999999, 67052, 7352, 0, 0, 56, 6, 101, 0.0031379999999999997, 0.004731, 63632, 746, 0, 0, 8, 5, 4
