Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 704111, 0.01, 8, 1, 0, 0, 364264, 44674, 42, 50, 4096, 53248, 0, 0.08294699999999999, 0.011849, 66932, 6478, 0, 8, 104, 2, 17, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 9784, 0.45, 9, 1, 23, 16, 4016397, 762863, 5949, 3501, 450560, 741376, 495616, 0.091475, 0.019885, 59500, 14932, 0, 0, 264, 119, 25, 0.23698699999999998, 0.16318, 56808, 65899, 15, 880, 1184, 1027, 99
do_recipe_qa, 7868, 0.14, 11, 1, 1, 0, 474654, 127323, 388, 218, 45056, 106496, 0, 0.11867899999999999, 0.019778999999999998, 59156, 15307, 0, 0, 176, 29, 51, 0.016706, 0.00411, 56356, 3993, 1, 88, 32, 81, 71
do_install, 10633, 0.09, 7, 1, 2, 1, 1959153, 651093, 1447, 334, 0, 708608, 20480, 0.076697, 0.01211, 59200, 13150, 0, 0, 120, 30, 4, 0.02725, 0.011904, 56508, 9536, 0, 0, 1264, 94, 2
do_compile, 10232, 0.12, 4, 2, 18, 2, 3829965, 331816, 6379, 1485, 0, 368640, 0, 0.04466, 0.0203, 59200, 7790, 0, 0, 72, 27, 2, 0.18106699999999998, 0.026154999999999998, 56508, 55307, 6, 0, 648, 850, 70
do_populate_lic, 759480, 0.25, 13, 2, 2, 1, 780067, 220937, 576, 263, 20480, 139264, 0, 0.135518, 0.029300999999999997, 70012, 18103, 1, 40, 224, 41, 42, 0.027545999999999998, 0.011165999999999999, 66908, 5031, 0, 0, 48, 87, 62
do_fetch, 8467, 2.50, 8, 1, 1, 0, 910363, 622474, 611, 924, 0, 610304, 0, 0.082508, 0.018751, 57328, 5452, 0, 0, 128, 45, 9, 0.014988, 0.003245, 53776, 918, 0, 0, 1064, 281, 2
do_populate_sysroot, 10796, 0.16, 11, 4, 12, 6, 2529985, 681373, 2703, 949, 221184, 339968, 4096, 0.118379, 0.043405, 59328, 36531, 0, 0, 392, 85, 10, 0.124347, 0.067644, 56928, 52833, 7, 432, 272, 443, 55
do_unpack, 9590, 0.03, 3, 0, 1, 0, 2474009, 2783666, 525, 407, 0, 1630208, 0, 0.037267999999999996, 0.008281, 57676, 10104, 0, 0, 64, 18, 31, 0.016169, 0.0029579999999999997, 54032, 4071, 0, 0, 3120, 73, 6
do_prepare_recipe_sysroot, 9594, 0.01, 3, 0, 0, 0, 305382, 71118, 36, 52, 0, 69632, 0, 0.035204, 0.0039109999999999995, 57676, 4224, 0, 0, 136, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 9621, 0.03, 3, 1, 1, 0, 695716, 209323, 752, 186, 0, 241664, 151552, 0.031583, 0.019739, 57844, 10746, 0, 0, 144, 41, 2, 0.016819, 0.002275, 52112, 4348, 1, 0, 328, 79, 4
do_deploy_source_date_epoch, 9682, 0.07, 8, 0, 1, 0, 531825, 156601, 493, 298, 0, 118784, 0, 0.085336, 0.004266, 59644, 17812, 0, 0, 192, 33, 4, 0.012877, 0.0028139999999999997, 56828, 4702, 0, 0, 40, 129, 7
do_create_runtime_spdx, 792647, 0.43, 12, 1, 2, 0, 792747, 356299, 427, 247, 0, 135168, 0, 0.12936599999999998, 0.01568, 69488, 15570, 1, 0, 184, 41, 106, 0.026101, 0.006018, 66688, 4267, 0, 0, 80, 65, 67
do_create_spdx, 704955, 0.43, 15, 5, 3, 1, 1008872, 510114, 583, 314, 0, 212992, 0, 0.154572, 0.052879999999999996, 70476, 20530, 0, 0, 312, 29, 76, 0.032014, 0.012593, 66876, 5213, 0, 0, 104, 161, 36
