Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_runtime_spdx, 783043, 0.43, 14, 2, 2, 0, 990967, 354306, 440, 247, 0, 135168, 0, 0.144259, 0.02805, 71192, 16188, 0, 0, 184, 47, 114, 0.029616999999999997, 0.0027099999999999997, 68380, 4269, 1, 0, 80, 73, 67
do_collect_spdx_deps, 179787, 0.03, 9, 0, 0, 0, 564046, 45760, 38, 52, 0, 53248, 0, 0.090559, 0.007873999999999999, 63812, 7015, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 197984, 0.23, 18, 5, 8, 3, 15979238, 6614040, 2681, 1095, 0, 4558848, 0, 0.18087399999999998, 0.052252, 65240, 33212, 0, 0, 4608, 87, 10, 0.083441, 0.030303999999999998, 63000, 19604, 2, 0, 4296, 241, 46
do_recipe_qa, 16769, 0.05, 8, 0, 1, 0, 681747, 126802, 381, 220, 0, 110592, 0, 0.089325, 0.007767, 60288, 16208, 0, 0, 184, 22, 7, 0.010366, 0.002376, 57488, 4000, 0, 0, 32, 144, 4
do_install, 196525, 0.15, 13, 1, 7, 1, 5798708, 2779601, 1899, 376, 0, 2756608, 0, 0.139367, 0.019355999999999998, 64780, 14519, 0, 0, 112, 26, 9, 0.07674399999999999, 0.012223999999999999, 62088, 15710, 1, 0, 5272, 209, 20
do_unpack, 136365, 0.22, 11, 3, 11, 7, 36412758, 66271166, 4804, 11352, 16384, 40673280, 0, 0.11958099999999999, 0.030858999999999998, 62888, 9969, 0, 0, 120, 6, 109, 0.110485, 0.075864, 58980, 2948, 0, 32, 79320, 1959, 834
do_compile, 187997, 6.64, 17, 1, 9443, 655, 689476019, 18850584, 92458, 10493, 491520, 7815168, 0, 0.17425, 0.013403, 64768, 8517, 0, 0, 680, 230, 126, 94.432217, 6.551951, 160116, 3528110, 27, 960, 14584, 5691, 63816
do_fetch, 17346, 1.75, 9, 0, 0, 1, 2019766, 1517997, 1531, 2208, 0, 1515520, 0, 0.09042599999999999, 0.00822, 59160, 8096, 0, 0, 120, 93, 3, 0.008480999999999999, 0.014473, 55348, 917, 0, 0, 2840, 773, 2
do_prepare_recipe_sysroot, 88298, 0.04, 6, 1, 1, 0, 1824721, 1336974, 459, 374, 0, 1372160, 0, 0.068203, 0.018945, 62480, 7925, 0, 0, 144, 2, 4, 0.019402, 0.0, 56384, 617, 0, 0, 2536, 9, 1
do_patch, 140378, 0.05, 12, 1, 0, 0, 643251, 120620, 180, 85, 0, 126976, 4096, 0.121129, 0.015141, 62880, 10138, 0, 0, 120, 6, 57, 0.0067859999999999995, 0.00307, 56800, 944, 0, 0, 128, 14, 5
do_configure, 148162, 8.75, 23, 0, 519, 71, 127022418, 23043580, 62836, 19338, 0, 21757952, 14950400, 0.23904499999999998, 0.00902, 64212, 16593, 0, 0, 312, 238, 47, 5.195017, 0.7103109999999999, 61368, 717076, 20, 0, 42184, 7827, 4028
do_deploy_source_date_epoch, 145449, 0.22, 16, 1, 2, 0, 754544, 159643, 525, 321, 0, 118784, 0, 0.16447599999999998, 0.019125, 64080, 18642, 0, 0, 192, 58, 37, 0.025876999999999997, 0.0018169999999999998, 61276, 4679, 0, 0, 40, 81, 121
do_create_spdx, 180532, 0.16, 20, 2, 2, 0, 1213661, 492895, 609, 284, 0, 208896, 0, 0.203698, 0.027958, 65860, 20873, 0, 0, 304, 35, 8, 0.027697, 0.002044, 62716, 5215, 0, 0, 104, 124, 20
do_populate_lic, 731556, 0.44, 18, 2, 3, 1, 816707, 172115, 585, 260, 8192, 131072, 0, 0.18417, 0.022459, 70808, 18581, 1, 16, 224, 51, 208, 0.030066, 0.012173, 67716, 4953, 0, 0, 32, 101, 79
