Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 674456, 0.01, 9, 0, 0, 0, 580592, 46862, 43, 54, 4096, 53248, 0, 0.091038, 0.007916, 67956, 7056, 0, 8, 104, 1, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 29896, 0.07, 10, 0, 1, 0, 759944, 159055, 502, 305, 0, 118784, 0, 0.107168, 0.007937999999999999, 62244, 18699, 0, 0, 192, 31, 8, 0.011954999999999999, 0.005023, 59432, 4691, 0, 0, 40, 163, 8
do_recipe_qa, 26984, 0.05, 9, 0, 1, 0, 706581, 128656, 398, 222, 0, 106496, 0, 0.094675, 0.003787, 61768, 16524, 0, 0, 176, 25, 14, 0.013179, 0.000372, 58968, 4010, 0, 0, 32, 144, 4
do_install, 484244, 0.20, 13, 2, 11, 1, 5755329, 1826355, 3185, 1746, 0, 1744896, 475136, 0.136414, 0.020059999999999998, 66572, 14943, 0, 0, 216, 73, 22, 0.119933, 0.014348999999999999, 63880, 23019, 1, 0, 3192, 396, 38
do_populate_lic, 734293, 0.52, 19, 1, 2, 1, 1146407, 260279, 608, 271, 36864, 143360, 0, 0.19616, 0.016013, 71056, 18682, 2, 72, 224, 51, 227, 0.027561, 0.014362999999999999, 67968, 5037, 0, 0, 56, 124, 115
do_compile, 481685, 0.62, 12, 0, 420, 29, 31805337, 2451552, 10162, 1667, 0, 1228800, 0, 0.122747, 0.0, 66700, 8602, 0, 0, 152, 112, 15, 4.200659, 0.2986, 63988, 179936, 7, 0, 2248, 774, 1197
do_fetch, 27083, 6.82, 10, 0, 1, 1, 3628086, 3122815, 2719, 4455, 0, 3112960, 0, 0.10812, 0.008649, 60648, 8663, 0, 0, 120, 178, 11, 0.010454999999999999, 0.013744, 56996, 912, 0, 0, 5960, 1750, 5
do_create_runtime_spdx, 784866, 0.43, 13, 5, 2, 0, 1008040, 356287, 449, 249, 0, 135168, 0, 0.13078099999999998, 0.051518999999999995, 71236, 16578, 0, 0, 184, 47, 181, 0.025226, 0.006154, 68428, 4272, 0, 0, 80, 74, 75
do_prepare_recipe_sysroot, 426514, 0.06, 9, 1, 1, 0, 1860508, 1342807, 487, 384, 4096, 1404928, 0, 0.097963, 0.011755, 65656, 8195, 0, 8, 144, 5, 4, 0.013895, 0.0, 59744, 625, 0, 0, 2600, 9, 1
do_patch, 29776, 0.05, 6, 1, 3, 0, 953063, 145101, 679, 154, 0, 167936, 4096, 0.065632, 0.015441999999999999, 61148, 11246, 0, 0, 136, 13, 3, 0.030187, 0.000493, 55240, 9318, 0, 0, 192, 143, 4
do_configure, 427028, 11.62, 18, 4, 345, 93, 81289083, 4342518, 44658, 12181, 36864, 5570560, 2936832, 0.188634, 0.043498999999999996, 66916, 17505, 0, 0, 320, 199, 17, 3.456404, 0.939388, 64224, 667985, 24, 72, 10560, 4843, 4769
do_populate_sysroot, 485588, 0.24, 24, 2, 5, 2, 4500217, 1883586, 2285, 1030, 0, 1290240, 0, 0.24187899999999998, 0.026455, 67092, 31637, 0, 0, 1304, 185, 153, 0.058977999999999996, 0.027825, 64912, 16259, 0, 0, 1216, 291, 125
do_unpack, 29572, 0.05, 5, 1, 3, 0, 11207819, 15033176, 1166, 1190, 0, 7806976, 0, 0.052086, 0.014204999999999999, 61060, 9392, 0, 0, 56, 12, 1, 0.036504, 0.007951999999999999, 57416, 2546, 0, 0, 15192, 248, 4
do_create_spdx, 676009, 0.09, 10, 4, 1, 0, 1253538, 504363, 632, 301, 0, 217088, 0, 0.102879, 0.047481999999999996, 70388, 21000, 0, 0, 320, 34, 8, 0.017627, 0.008849, 67488, 5227, 0, 0, 104, 154, 9
