Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_deploy_source_date_epoch, 687821, 0.31, 17, 2, 1, 1, 578592, 158560, 504, 277, 0, 114688, 0, 0.173683, 0.028273999999999997, 69000, 18589, 0, 0, 184, 50, 60, 0.019315, 0.013654, 66196, 4672, 0, 0, 40, 97, 68
do_collect_spdx_deps, 2640820, 0.28, 13, 1, 0, 0, 346341, 44792, 34, 46, 0, 49152, 0, 0.13031399999999999, 0.010565999999999999, 72548, 5300, 0, 0, 96, 0, 114, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 2753918, 2.63, 30, 5, 361, 19, 1814812, 515311, 2118, 594, 0, 364544, 0, 0.306905, 0.053708, 68680, 24046, 0, 0, 488, 235, 360, 3.610993, 0.198045, 435804, 122656, 0, 0, 224, 1765, 1210
do_recipe_qa, 619488, 0.44, 14, 4, 2, 0, 509735, 123662, 375, 207, 0, 102400, 0, 0.14368, 0.042714999999999996, 67664, 16248, 0, 0, 168, 26, 92, 0.024603, 0.004098, 64860, 3997, 0, 0, 32, 72, 46
do_package_qa, 2754498, 0.88, 17, 5, 3, 3, 839938, 222328, 1009, 262, 0, 159744, 0, 0.174392, 0.051040999999999996, 69012, 18741, 0, 0, 272, 113, 492, 0.031087, 0.033763999999999995, 66808, 10919, 0, 0, 40, 105, 154
do_install, 2497053, 0.92, 21, 4, 6, 1, 871634, 155821, 1383, 276, 20480, 151552, 0, 0.213974, 0.044409, 67196, 14218, 0, 0, 184, 106, 249, 0.060749, 0.018248999999999998, 65120, 11362, 0, 40, 112, 179, 304
do_populate_lic, 770237, 0.13, 14, 3, 2, 1, 626618, 169298, 544, 248, 0, 131072, 0, 0.14368699999999998, 0.034031, 69572, 18435, 0, 0, 216, 31, 59, 0.020654, 0.015902, 66476, 4963, 0, 0, 40, 87, 41
do_packagedata, 2613867, 1.12, 21, 4, 5, 1, 760215, 229271, 915, 311, 0, 200704, 0, 0.21312499999999998, 0.042624999999999996, 73876, 23806, 0, 0, 232, 86, 82, 0.05325, 0.01145, 71076, 6926, 0, 0, 160, 113, 104
do_compile, 2486586, 0.62, 12, 0, 7, 2, 2444210, 141288, 1008, 269, 12288, 102400, 0, 0.12861699999999998, 0.009186, 71840, 8020, 0, 0, 104, 12, 45, 0.073641, 0.025216, 69144, 8999, 0, 24, 96, 75, 96
do_prepare_recipe_sysroot, 2335220, 0.23, 14, 4, 1, 0, 1795287, 1053123, 564, 303, 126976, 1097728, 0, 0.14213699999999999, 0.045985, 70508, 7272, 0, 240, 152, 34, 95, 0.017588, 0.00656, 65504, 1192, 0, 8, 1992, 19, 25
do_unpack, 670962, 0.05, 7, 0, 1, 0, 1844031, 2220206, 477, 414, 0, 1454080, 0, 0.07205, 0.008476, 66812, 10656, 0, 0, 120, 8, 5, 0.014223999999999999, 0.005728, 63236, 1717, 0, 0, 2720, 100, 2
do_fetch, 622030, 1.26, 12, 1, 0, 0, 474544, 188769, 291, 305, 0, 196608, 0, 0.126186, 0.019715999999999997, 65980, 7891, 0, 0, 120, 27, 77, 0.007068, 0.002704, 62728, 898, 0, 0, 264, 89, 21
do_patch, 674499, 0.04, 7, 1, 0, 0, 537964, 118566, 193, 79, 0, 126976, 4096, 0.070597, 0.012457999999999999, 66856, 10593, 0, 0, 120, 6, 5, 0.00282, 0.003292, 61032, 940, 0, 0, 128, 13, 3
do_configure, 2349207, 22.67, 29, 3, 362, 71, 66753182, 7513908, 31020, 11253, 249856, 7774208, 4218880, 0.296834, 0.034693999999999996, 72440, 18610, 0, 432, 336, 217, 133, 3.625628, 0.714758, 69648, 393710, 13, 56, 14848, 3105, 3557
do_create_runtime_spdx, 2754813, 0.83, 21, 2, 2, 1, 982068, 411142, 622, 255, 0, 167936, 0, 0.211093, 0.024834, 75496, 20954, 0, 0, 240, 39, 74, 0.029762, 0.014664, 71984, 5363, 0, 0, 88, 164, 74
do_create_spdx, 2644625, 1.55, 28, 4, 4, 2, 1285997, 555278, 818, 335, 0, 245760, 0, 0.288302, 0.044045999999999995, 75964, 26478, 0, 0, 376, 82, 85, 0.048102, 0.027313999999999998, 72328, 6809, 0, 0, 104, 306, 146
do_package, 2504798, 6.79, 66, 44, 102, 9, 4523239, 2025259, 4930, 924, 0, 1908736, 73728, 0.6684599999999999, 0.44695799999999997, 68348, 38954, 0, 0, 584, 453, 1145, 1.022045, 0.090819, 66228, 35636, 2, 0, 3144, 1062, 1139
