Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_runtime_spdx, 3085641, 1.06, 20, 3, 3, 1, 1109019, 415339, 687, 258, 4096, 167936, 0, 0.206557, 0.037555, 64156, 19375, 1, 8, 240, 66, 189, 0.030173, 0.015585, 60616, 5417, 1, 0, 88, 111, 95
do_collect_spdx_deps, 2992185, 0.52, 16, 0, 0, 0, 390752, 47102, 43, 49, 0, 49152, 0, 0.163177, 0.007588999999999999, 61264, 7531, 0, 0, 96, 0, 97, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 645438, 0.10, 11, 2, 1, 0, 562642, 127406, 401, 210, 0, 102400, 0, 0.115661, 0.020652999999999998, 68592, 16463, 0, 0, 168, 24, 4, 0.013842, 0.005948, 65784, 4042, 0, 0, 32, 108, 18
do_install, 3006618, 1.75, 19, 2, 7, 1, 1269713, 485511, 3439, 401, 45056, 475136, 0, 0.19566999999999998, 0.027951999999999998, 57092, 14504, 3, 48, 208, 927, 379, 0.07058299999999999, 0.014395999999999999, 55004, 12438, 1, 40, 720, 150, 322
do_package_write_rpm, 3084959, 4.43, 35, 3, 314, 18, 5053682, 1070432, 2874, 729, 36864, 704512, 0, 0.359581, 0.031073999999999997, 58812, 24786, 4, 72, 504, 343, 473, 3.140227, 0.180366, 358660, 124260, 0, 0, 872, 1512, 1265
do_packagedata, 3019232, 1.42, 19, 3, 4, 1, 853601, 255450, 924, 318, 0, 212992, 0, 0.19086699999999998, 0.030365, 62820, 24007, 0, 0, 232, 85, 73, 0.044392, 0.014832, 59904, 6960, 0, 0, 184, 116, 129
do_compile, 3004680, 1.99, 10, 1, 157, 25, 19761451, 3027894, 5563, 1257, 217088, 954368, 0, 0.10986, 0.013732, 61984, 6680, 0, 0, 184, 19, 38, 1.579336, 0.255666, 59276, 66619, 0, 424, 1680, 685, 887
do_fetch, 652662, 8.77, 10, 1, 1, 0, 514544, 199743, 288, 337, 0, 192512, 0, 0.106763, 0.012317999999999999, 66684, 8196, 0, 0, 128, 27, 190, 0.010048, 0.0, 63116, 924, 1, 0, 248, 85, 3
do_prepare_recipe_sysroot, 2978466, 2.22, 25, 8, 6, 1, 2464281, 1167251, 1807, 696, 200704, 1241088, 32768, 0.250091, 0.08470799999999999, 61920, 14415, 0, 392, 272, 143, 88, 0.06376899999999999, 0.014159, 59220, 9321, 2, 0, 2152, 234, 188
do_configure, 2982956, 19.18, 28, 4, 160, 19, 22280948, 2966929, 12504, 7139, 151552, 2592768, 704512, 0.28452299999999997, 0.041729999999999996, 62192, 18077, 0, 176, 288, 196, 167, 1.603053, 0.194121, 59272, 160671, 4, 120, 4776, 1844, 1781
do_unpack, 677902, 0.07, 8, 1, 2, 0, 1157686, 1216312, 437, 327, 0, 692224, 0, 0.08027999999999999, 0.019114, 67016, 13070, 0, 0, 64, 12, 7, 0.029698, 0.0045769999999999995, 63440, 3453, 0, 0, 1288, 115, 3
do_patch, 679960, 0.11, 10, 1, 6, 1, 1757937, 722396, 1448, 335, 0, 749568, 4096, 0.104445, 0.012532999999999999, 67564, 12387, 0, 0, 136, 17, 4, 0.063243, 0.018836, 61732, 18840, 0, 0, 1328, 294, 27
do_package, 3008585, 10.14, 73, 58, 109, 13, 10818297, 4575992, 7594, 1337, 32768, 3522560, 782336, 0.738792, 0.580761, 58708, 44182, 1, 64, 720, 512, 1618, 1.093052, 0.133232, 56432, 50633, 0, 0, 6160, 1465, 1155
do_package_qa, 3085311, 2.21, 37, 6, 7, 2, 1649328, 240800, 1527, 273, 0, 159744, 0, 0.37242, 0.060626, 57980, 22946, 0, 0, 272, 98, 832, 0.074545, 0.020048, 55752, 15467, 0, 0, 40, 134, 190
do_deploy_source_date_epoch, 693693, 0.13, 17, 2, 2, 1, 623718, 163481, 484, 286, 0, 114688, 0, 0.174674, 0.020437999999999998, 69264, 18875, 0, 0, 184, 25, 32, 0.020139999999999998, 0.010015999999999999, 66464, 4709, 0, 0, 40, 101, 42
do_populate_lic, 743822, 0.44, 18, 3, 1, 2, 736146, 186080, 576, 255, 0, 135168, 0, 0.18659099999999998, 0.034984999999999995, 69944, 18622, 0, 0, 224, 31, 54, 0.019583, 0.022521, 66860, 5011, 1, 0, 40, 93, 66
do_create_spdx, 3021952, 2.64, 35, 3, 4, 2, 1521012, 781872, 880, 624, 8192, 319488, 0, 0.352409, 0.039155999999999996, 65196, 27170, 0, 16, 512, 87, 193, 0.041136, 0.024576, 61368, 6882, 0, 0, 112, 271, 135
