Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 49410, 0.02, 7, 0, 0, 0, 565994, 45649, 38, 52, 0, 53248, 0, 0.070147, 0.003897, 62064, 6831, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 780716, 0.47, 17, 3, 2, 1, 993226, 354843, 418, 247, 0, 139264, 0, 0.178031, 0.033122, 71048, 16262, 0, 0, 192, 34, 73, 0.021117999999999998, 0.010657, 68240, 4252, 0, 0, 80, 87, 60
do_recipe_qa, 7891, 0.14, 17, 2, 1, 0, 680645, 127403, 386, 220, 0, 106496, 0, 0.175032, 0.023868, 59760, 15971, 0, 0, 176, 25, 250, 0.014650999999999999, 0.0059759999999999995, 56960, 3994, 0, 0, 32, 86, 26
do_install, 189639, 0.35, 16, 1, 1, 0, 1626088, 1025303, 580, 392, 0, 1003520, 0, 0.16603099999999998, 0.019764999999999998, 64816, 14338, 0, 0, 112, 66, 96, 0.019178999999999998, 0.003597, 62124, 2886, 0, 0, 1848, 49, 91
do_compile, 186794, 2.03, 15, 2, 944, 85, 95235689, 4368092, 23631, 2368, 573440, 2158592, 24576, 0.152259, 0.021147, 64448, 8385, 0, 0, 152, 72, 16, 9.441065, 0.851117, 105016, 366498, 19, 1120, 4064, 1208, 3945
do_fetch, 9105, 0.95, 8, 1, 1, 1, 1711184, 1224015, 1188, 1777, 0, 1216512, 0, 0.088143, 0.016026, 58476, 7967, 0, 0, 120, 84, 7, 0.010114, 0.013294, 54716, 902, 0, 0, 2256, 619, 2
do_create_spdx, 49487, 0.08, 8, 3, 1, 0, 1250848, 506563, 637, 307, 0, 217088, 0, 0.08573599999999999, 0.032660999999999996, 64288, 20809, 0, 0, 320, 36, 3, 0.017977, 0.002431, 61384, 5251, 0, 0, 104, 171, 3
do_prepare_recipe_sysroot, 126404, 0.08, 16, 0, 1, 0, 1831240, 1339079, 467, 376, 0, 1380352, 0, 0.165095, 0.008053, 62824, 7896, 0, 0, 160, 2, 104, 0.019081, 0.0, 57204, 616, 0, 0, 2536, 9, 22
do_patch, 13397, 0.10, 8, 1, 7, 0, 1838870, 412035, 1901, 319, 0, 450560, 4096, 0.080422, 0.012062999999999999, 58928, 12225, 0, 0, 136, 21, 3, 0.070903, 0.009278999999999999, 52852, 28578, 0, 0, 744, 458, 14
do_configure, 128583, 10.18, 30, 4, 612, 176, 166835804, 9224476, 84938, 20169, 45056, 12369920, 7659520, 0.308961, 0.040458999999999995, 64092, 16594, 0, 0, 336, 373, 155, 6.122233, 1.7658619999999998, 96276, 1295542, 44, 88, 23824, 7814, 5860
do_unpack, 9511, 0.03, 5, 0, 2, 0, 6007267, 8327990, 782, 881, 0, 4734976, 0, 0.055209999999999995, 0.007887, 58976, 9613, 0, 0, 64, 14, 2, 0.025646, 0.0032679999999999996, 55320, 3039, 0, 0, 9184, 147, 2
do_populate_sysroot, 190008, 1.27, 39, 5, 9, 2, 5398332, 2345592, 1768, 922, 0, 1683456, 0, 0.393568, 0.059630999999999997, 65272, 30428, 0, 0, 1584, 152, 241, 0.09261799999999999, 0.021182, 63036, 13648, 1, 0, 1704, 251, 194
do_populate_lic, 720065, 0.35, 19, 3, 2, 1, 1133397, 259114, 603, 269, 40960, 147456, 0, 0.19938999999999998, 0.03762, 70752, 18586, 2, 80, 224, 50, 81, 0.027660999999999998, 0.017499999999999998, 67668, 5018, 0, 0, 64, 140, 65
do_deploy_source_date_epoch, 14154, 0.08, 10, 1, 1, 0, 734931, 156431, 492, 297, 0, 118784, 0, 0.106971, 0.012341999999999999, 60064, 18375, 0, 0, 192, 32, 3, 0.014019, 0.0027719999999999997, 57264, 4681, 0, 0, 40, 151, 7
