Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 42651, 0.04, 9, 1, 1, 0, 735628, 141741, 393, 225, 0, 106496, 0, 0.09700299999999999, 0.016167, 63136, 16364, 0, 0, 176, 23, 39, 0.011913, 0.001249, 60328, 4019, 0, 0, 32, 132, 14
do_collect_spdx_deps, 618827, 0.04, 17, 3, 0, 0, 592339, 47200, 46, 54, 4096, 53248, 0, 0.17446599999999998, 0.032458, 66988, 7031, 0, 8, 104, 1, 35, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 1414798, 724.26, 56, 12, 454425, 8544, 23555097267, 7540557164, 4744745, 3053030, 465252352, 7576432640, 1917657088, 0.56486, 0.12299299999999999, 75044, 16324, 18, 144, 9848, 2713, 61, 4544.252225, 85.440224, 1805868, 37330394, 11598, 908552, 14787872, 330023, 1176763
do_rust_setup_snapshot, 441503, 6.85, 18, 1, 159, 70, 586297810, 572020031, 38328, 6951, 0, 572153856, 43130880, 0.189742, 0.015489, 66800, 8564, 0, 0, 56, 30, 146, 1.5926369999999999, 0.70667, 64104, 574132, 14, 0, 1117432, 8148, 3208
do_patch, 440796, 2.21, 16, 5, 26, 5, 3884739, 848873, 4305, 640, 0, 880640, 4096, 0.164961, 0.052303999999999996, 65504, 15273, 0, 0, 152, 36, 143, 0.26898099999999997, 0.051977999999999996, 59852, 66978, 1, 0, 1568, 1107, 541
do_compile, 1414788, 0.02, 8, 1, 0, 0, 553126, 34087, 62, 121, 0, 24576, 0, 0.08853899999999999, 0.012072999999999999, 70960, 8947, 0, 0, 48, 2, 1, 0.001782, 0.0, 68268, 377, 0, 0, 0, 1, 0
do_rust_create_wrappers, 1414741, 0.02, 8, 1, 0, 0, 645358, 82332, 363, 423, 0, 73728, 0, 0.086036, 0.016387, 71416, 9105, 0, 0, 80, 19, 1, 0.006252, 0.000534, 68700, 2035, 0, 0, 64, 34, 0
do_fetch, 42880, 77.24, 130, 10, 26, 46, 98843644, 98139803, 89157, 137620, 0, 97959936, 0, 1.303831, 0.10241499999999999, 120252, 25695, 0, 0, 176, 6334, 165, 0.26717399999999997, 0.463503, 58164, 2738, 0, 0, 191152, 59531, 303
do_populate_lic, 707644, 0.36, 19, 3, 2, 1, 1033677, 237264, 576, 271, 0, 143360, 0, 0.195242, 0.037545999999999996, 71316, 19209, 0, 0, 224, 31, 105, 0.024839999999999997, 0.017623, 68296, 5036, 0, 0, 56, 92, 83
do_populate_sysroot, 2726818, 16.95, 113, 38, 675, 68, 1373628983, 787909607, 109528, 33526, 532480, 500715520, 4096, 1.130944, 0.387204, 74244, 45149, 0, 152, 471960, 344, 668, 6.753362, 0.682484, 414836, 249392, 12, 888, 506000, 9505, 4640
do_prepare_recipe_sysroot, 1414693, 0.90, 11, 6, 0, 0, 2151106, 1159523, 457, 311, 839680, 1191936, 0, 0.11673499999999999, 0.064405, 70020, 9698, 0, 1632, 488, 41, 30, 0.0023439999999999997, 0.007331, 65132, 615, 0, 8, 1840, 16, 0
do_configure, 1414769, 0.05, 9, 1, 0, 0, 629716, 83473, 185, 154, 155648, 86016, 0, 0.09915199999999999, 0.016524999999999998, 71404, 9624, 0, 304, 160, 15, 2, 0.0019879999999999997, 0.0023109999999999997, 68500, 997, 0, 0, 8, 13, 1
do_rust_gen_targets, 449876, 0.94, 13, 0, 0, 0, 533472, 24417, 42, 41, 0, 32768, 4096, 0.139517, 0.008206, 65384, 6937, 0, 0, 64, 2, 59, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 767031, 0.19, 20, 5, 1, 1, 1019380, 356121, 395, 249, 0, 139264, 0, 0.20777099999999998, 0.054882999999999994, 71560, 19225, 0, 0, 192, 13, 32, 0.016232, 0.01482, 68804, 4279, 0, 0, 80, 85, 67
do_deploy_source_date_epoch, 448403, 0.27, 22, 1, 1, 1, 785320, 164079, 544, 332, 0, 118784, 0, 0.223053, 0.018902, 66972, 19152, 0, 0, 192, 63, 405, 0.013810999999999999, 0.014797, 64172, 4707, 1, 0, 40, 90, 153
do_create_spdx, 619002, 0.54, 23, 2, 4, 0, 1480371, 533739, 641, 334, 0, 221184, 0, 0.23038, 0.025596999999999998, 69688, 21564, 0, 0, 328, 53, 143, 0.041160999999999996, 0.0043089999999999995, 66740, 5259, 0, 0, 104, 139, 64
do_unpack, 315209, 39.28, 54, 39, 1412, 631, 2721633428, 4823540556, 471145, 687997, 794624, 2743029760, 0, 0.541329, 0.39333999999999997, 64968, 16347, 0, 0, 168, 29, 83, 14.126986, 6.316549, 67896, 64022, 2, 1552, 5357312, 258558, 185046
