Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 673171, 0.14, 4, 2, 9, 2, 4575596, 101279, 1632, 155, 0, 270336, 8192, 0.049728999999999995, 0.02072, 66468, 12502, 0, 0, 64, 32, 29, 0.093719, 0.024288999999999998, 62844, 14729, 0, 0, 464, 38, 13
do_collect_spdx_deps, 3905720, 0.34, 37, 1, 0, 0, 346295, 43867, 32, 45, 0, 49152, 0, 0.37360499999999996, 0.011097, 60600, 6044, 0, 0, 96, 0, 100, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 643244, 0.24, 12, 2, 1, 1, 516766, 124147, 414, 206, 0, 106496, 0, 0.127988, 0.023996999999999997, 68344, 16307, 0, 0, 176, 45, 53, 0.013188, 0.011427, 65544, 4021, 0, 0, 32, 100, 93
do_install, 3924820, 1.31, 30, 2, 14, 1, 1350328, 235551, 1628, 346, 4096, 229376, 4096, 0.30449499999999996, 0.021145, 60568, 15673, 0, 0, 200, 120, 289, 0.14157899999999998, 0.015233, 58472, 23395, 1, 8, 248, 528, 376
do_packagedata, 3928769, 0.65, 19, 3, 4, 2, 797982, 234262, 936, 311, 0, 204800, 0, 0.19839099999999998, 0.033065, 61872, 24188, 0, 0, 232, 94, 86, 0.042127, 0.020026, 59020, 6894, 0, 0, 168, 119, 114
do_compile, 3921563, 4.68, 12, 2, 190, 33, 45042569, 1214799, 9612, 986, 36864, 659456, 122880, 0.12094099999999999, 0.024187999999999998, 60980, 8394, 0, 0, 416, 53, 65, 1.90434, 0.334943, 93400, 147842, 3, 72, 872, 957, 727
do_fetch, 647915, 0.44, 7, 0, 7, 3, 3239674, 202869, 1852, 445, 0, 212992, 12288, 0.07014999999999999, 0.008768, 66368, 9650, 0, 0, 136, 20, 3, 0.072837, 0.035088, 62860, 11526, 0, 0, 280, 110, 51
do_configure, 3898673, 26.30, 42, 4, 373, 48, 92179499, 14208325, 48730, 15132, 163840, 13295616, 7811072, 0.42733699999999997, 0.043931, 61392, 17522, 0, 160, 320, 257, 73, 3.73289, 0.48758399999999996, 58508, 393537, 6, 160, 25648, 6809, 5176
do_package_write_rpm, 3929388, 2.06, 41, 5, 310, 17, 2489012, 570294, 2318, 593, 0, 389120, 0, 0.41456, 0.058115, 62168, 24559, 0, 0, 480, 478, 220, 3.107522, 0.173213, 342344, 100389, 1, 0, 280, 1532, 595
do_create_spdx, 3929371, 0.99, 43, 4, 3, 3, 1372454, 702385, 790, 531, 0, 290816, 0, 0.43848699999999996, 0.049176, 64184, 26006, 0, 0, 456, 66, 148, 0.034463, 0.031263, 60464, 6592, 0, 0, 112, 265, 140
do_package, 3926153, 5.15, 147, 91, 113, 15, 7283679, 2672795, 6504, 1116, 0, 2355200, 278528, 1.471403, 0.9181549999999999, 62044, 43961, 0, 0, 616, 366, 1641, 1.132964, 0.15573299999999998, 59736, 44294, 4, 0, 3984, 1660, 876
do_prepare_recipe_sysroot, 3896813, 1.49, 35, 19, 4, 1, 3058768, 1300008, 1357, 396, 135168, 1400832, 16384, 0.350896, 0.1987, 61572, 9445, 2, 264, 152, 50, 102, 0.044538, 0.017577, 56684, 4896, 0, 0, 2584, 103, 65
do_deploy_source_date_epoch, 692900, 0.20, 15, 5, 2, 1, 579677, 160627, 500, 282, 0, 114688, 0, 0.154836, 0.050322, 68696, 18492, 0, 0, 184, 41, 150, 0.021713, 0.010116, 65888, 4670, 0, 0, 40, 86, 59
do_patch, 678821, 0.05, 7, 1, 0, 0, 1012654, 633606, 319, 205, 0, 647168, 4096, 0.075393, 0.015872, 67000, 10558, 0, 0, 120, 6, 7, 0.008473, 0.003381, 61120, 968, 0, 0, 1144, 13, 3
do_create_runtime_spdx, 3930296, 0.45, 19, 4, 3, 1, 1028340, 410631, 617, 253, 8192, 163840, 0, 0.19358699999999998, 0.046292, 63644, 21511, 1, 16, 232, 44, 43, 0.032374, 0.016038, 60004, 5360, 0, 0, 88, 149, 78
do_package_qa, 3929405, 0.81, 44, 5, 5, 4, 1133751, 237999, 1243, 269, 0, 159744, 0, 0.44613899999999995, 0.057302, 61808, 23370, 0, 0, 272, 110, 766, 0.056093, 0.042248999999999995, 59488, 15407, 2, 0, 40, 175, 145
do_populate_lic, 739073, 1.10, 16, 1, 2, 1, 805529, 241070, 585, 260, 0, 143360, 0, 0.165202, 0.019666, 69676, 18362, 0, 0, 232, 38, 59, 0.027795999999999998, 0.015600999999999999, 66564, 4991, 0, 0, 48, 115, 76
