Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 697206, 0.02, 14, 1, 0, 0, 553528, 44982, 37, 50, 0, 49152, 0, 0.144836, 0.012069, 68828, 7468, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 664999, 0.09, 16, 1, 1, 1, 751126, 155355, 476, 295, 0, 118784, 0, 0.16844199999999998, 0.011751, 68808, 18902, 0, 0, 192, 29, 45, 0.013339, 0.011848, 66004, 4714, 0, 0, 40, 130, 22
do_populate_sysroot, 958565, 1.36, 29, 6, 9, 4, 5048260, 1761741, 2173, 1002, 0, 991232, 0, 0.29631799999999997, 0.06541999999999999, 70252, 31645, 0, 0, 1040, 150, 263, 0.09294, 0.043204, 68080, 16179, 1, 0, 896, 259, 194
do_unpack, 559357, 0.14, 8, 2, 7, 3, 4925823, 1383346, 4071, 1577, 0, 1990656, 12288, 0.08109899999999999, 0.023171, 66580, 16812, 0, 0, 88, 38, 9, 0.078525, 0.038029, 62664, 17002, 0, 0, 3800, 125, 11
do_recipe_qa, 537130, 0.05, 9, 1, 1, 0, 695996, 126105, 391, 218, 0, 106496, 0, 0.09862399999999999, 0.017152, 67540, 16480, 0, 0, 176, 25, 4, 0.013505999999999999, 0.001077, 64728, 4016, 0, 0, 32, 118, 6
do_install, 958222, 0.38, 19, 1, 7, 3, 3942814, 848186, 1072, 541, 0, 835584, 12288, 0.19331299999999998, 0.017183, 69964, 13935, 0, 0, 104, 90, 51, 0.07155199999999999, 0.031839, 67256, 7943, 0, 0, 1528, 55, 200
do_compile, 954011, 6.06, 21, 1, 1107, 82, 91623820, 4207208, 12785, 2343, 446464, 3235840, 258048, 0.211387, 0.012195, 69948, 8688, 0, 0, 136, 88, 40, 11.070959, 0.820807, 246976, 405085, 1, 872, 6184, 639, 3644
do_fetch, 538146, 2.42, 8, 1, 22, 8, 13659316, 11847732, 19975, 4645, 0, 4243456, 12288, 0.08842499999999999, 0.016826999999999998, 66352, 10358, 0, 0, 152, 211, 3, 0.224489, 0.08244699999999999, 62364, 13257, 0, 0, 8136, 6208, 40
do_populate_lic, 711388, 0.48, 22, 1, 3, 1, 902408, 194618, 593, 261, 0, 135168, 0, 0.227423, 0.016846, 70864, 18701, 0, 0, 224, 49, 92, 0.032732, 0.010502, 67844, 5013, 0, 0, 40, 103, 81
do_prepare_recipe_sysroot, 951556, 0.39, 14, 9, 0, 1, 2388830, 1524782, 582, 425, 8192, 1593344, 0, 0.14507499999999998, 0.096716, 69572, 7408, 0, 16, 168, 4, 227, 0.005319, 0.016911, 64684, 633, 0, 0, 2944, 8, 11
do_patch, 563986, 0.44, 15, 1, 11, 2, 1607643, 194905, 1969, 258, 0, 221184, 4096, 0.157547, 0.016583, 66264, 12636, 0, 0, 136, 21, 106, 0.11091799999999999, 0.02887, 60432, 28539, 0, 0, 296, 460, 139
do_create_runtime_spdx, 772779, 0.11, 18, 4, 1, 1, 980329, 353571, 454, 245, 0, 139264, 0, 0.182719, 0.040604, 71084, 18546, 0, 0, 192, 49, 30, 0.013841, 0.014568999999999999, 68284, 4282, 0, 0, 80, 100, 53
do_configure, 951883, 4.05, 22, 2, 66, 16, 14566515, 1612877, 11160, 16018, 53248, 1695744, 925696, 0.224271, 0.021157, 70096, 12506, 0, 0, 144, 39, 112, 0.665337, 0.16229, 67216, 87917, 0, 104, 3168, 3497, 3864
do_generate_toolchain_file, 664792, 0.03, 15, 2, 0, 0, 526108, 40962, 72, 75, 0, 40960, 0, 0.154579, 0.024406999999999998, 68500, 8507, 0, 0, 64, 3, 127, 0.003244, 0.0, 65800, 503, 0, 0, 16, 4, 0
do_create_spdx, 697381, 0.11, 14, 2, 1, 1, 1273708, 504434, 626, 301, 0, 217088, 0, 0.145877, 0.021452, 72064, 21606, 0, 0, 320, 39, 12, 0.018616999999999998, 0.018098, 68448, 5254, 0, 0, 104, 96, 21
