Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 701970, 0.02, 9, 2, 0, 0, 323279, 38950, 20, 39, 0, 49152, 0, 0.09573999999999999, 0.023934999999999998, 66876, 6715, 0, 0, 96, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 622501, 0.01, 6, 1, 0, 0, 261330, 12960, 13, 36, 0, 24576, 0, 0.067856, 0.018848999999999998, 65692, 4382, 0, 0, 48, 0, 57, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 620216, 0.36, 12, 3, 1, 1, 436677, 119352, 364, 200, 0, 102400, 0, 0.122834, 0.031699, 67496, 16040, 0, 0, 168, 29, 192, 0.015595, 0.011927, 64696, 3984, 0, 0, 32, 83, 59
do_install, 692510, 0.17, 14, 3, 1, 1, 417306, 84193, 548, 238, 0, 81920, 0, 0.145676, 0.030649, 59288, 13885, 0, 0, 144, 77, 243, 0.012426999999999999, 0.015118999999999999, 57208, 3392, 0, 0, 16, 110, 104
do_populate_lic, 776154, 0.17, 11, 1, 1, 1, 540743, 164114, 520, 240, 0, 126976, 0, 0.11756599999999999, 0.016795, 69460, 16210, 0, 0, 216, 32, 65, 0.017662999999999998, 0.016364, 66376, 4963, 1, 0, 32, 93, 97
do_packagedata, 1356326, 0.68, 17, 4, 2, 2, 696090, 220129, 820, 303, 0, 192512, 0, 0.17801599999999998, 0.046439, 70536, 22965, 0, 0, 216, 45, 100, 0.029987, 0.027254, 67732, 6857, 0, 0, 160, 107, 107
do_compile, 692117, 0.05, 11, 1, 0, 0, 282112, 20598, 37, 76, 0, 24576, 0, 0.112593, 0.01251, 68616, 7977, 0, 0, 48, 1, 138, 0.003147, 0.0, 65892, 372, 0, 0, 0, 1, 0
do_package_qa, 1364987, 0.83, 20, 3, 3, 1, 611898, 214984, 870, 252, 0, 163840, 0, 0.20255299999999998, 0.036827, 61288, 15769, 0, 0, 264, 112, 323, 0.039469, 0.015488, 59068, 7405, 0, 0, 56, 133, 124
do_prepare_recipe_sysroot, 691580, 0.03, 9, 0, 0, 0, 265742, 64964, 18, 41, 0, 69632, 0, 0.094167, 0.007533, 66848, 6567, 0, 0, 136, 0, 33, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 691890, 0.10, 11, 2, 0, 0, 296136, 66083, 93, 132, 0, 69632, 0, 0.11834299999999999, 0.020402999999999998, 68912, 8526, 0, 0, 128, 12, 145, 0.004454, 0.0, 65964, 601, 0, 0, 8, 7, 12
do_package_write_rpm, 1364883, 1.56, 22, 6, 155, 13, 1234794, 401159, 1595, 456, 0, 286720, 0, 0.221544, 0.06816699999999999, 61236, 20207, 0, 0, 456, 143, 351, 1.5526149999999999, 0.132582, 209820, 78679, 0, 0, 104, 827, 676
do_create_runtime_spdx, 1365046, 0.82, 18, 2, 3, 0, 870865, 391059, 609, 243, 0, 151552, 0, 0.182082, 0.021172, 71760, 18494, 0, 0, 216, 55, 131, 0.037036, 0.006398999999999999, 68236, 5355, 0, 0, 80, 118, 111
do_patch, 674619, 0.04, 6, 1, 0, 0, 932058, 634170, 303, 205, 0, 647168, 4096, 0.063384, 0.011883999999999999, 66584, 9838, 0, 0, 120, 6, 1, 0.007384, 0.002773, 61044, 958, 0, 0, 1144, 13, 2
do_create_spdx, 1359664, 0.77, 19, 2, 2, 3, 1032102, 508488, 646, 282, 4096, 221184, 0, 0.19236199999999998, 0.029921999999999997, 72208, 21593, 0, 8, 328, 56, 151, 0.029321999999999997, 0.030560999999999998, 68584, 6317, 0, 0, 104, 237, 161
do_deploy_source_date_epoch, 689231, 0.45, 18, 1, 2, 0, 493713, 165559, 514, 353, 0, 114688, 0, 0.18925899999999998, 0.018925, 68816, 18538, 0, 0, 184, 70, 44, 0.027937999999999998, 0.007205, 66016, 4648, 0, 0, 40, 125, 104
do_unpack, 671312, 0.02, 4, 0, 0, 0, 288987, 20880, 77, 57, 0, 32768, 0, 0.046408, 0.0042179999999999995, 66464, 7484, 0, 0, 56, 6, 3, 0.0014629999999999999, 0.002928, 62888, 761, 0, 0, 8, 5, 2
do_package, 1346543, 2.83, 36, 31, 69, 7, 2896453, 1871311, 2701, 843, 90112, 1855488, 0, 0.36588299999999996, 0.317098, 61784, 31934, 0, 152, 544, 455, 752, 0.6972039999999999, 0.07950299999999999, 59588, 19699, 0, 24, 3080, 692, 946
