Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1913025, 0.12, 12, 0, 0, 0, 323473, 39863, 22, 40, 0, 53248, 0, 0.121706, 0.008393, 70076, 4778, 0, 0, 104, 0, 35, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 34485, 0.34, 15, 1, 2, 0, 446555, 118826, 369, 201, 0, 102400, 0, 0.151759, 0.013007, 61552, 15443, 0, 0, 168, 32, 50, 0.023001, 0.0031379999999999997, 58744, 3962, 0, 0, 32, 73, 52
do_install, 1580451, 0.16, 14, 2, 0, 1, 385709, 87377, 610, 159, 12288, 90112, 0, 0.145239, 0.028241, 62584, 13447, 0, 0, 144, 451, 56, 0.0051779999999999994, 0.013101, 60504, 2158, 0, 24, 32, 52, 57
do_compile, 1579897, 0.04, 10, 0, 0, 0, 282066, 21236, 41, 80, 0, 24576, 0, 0.10069199999999999, 0.004027, 69844, 5717, 0, 0, 48, 2, 1, 0.0, 0.001754, 67128, 368, 0, 0, 0, 1, 1
do_populate_lic, 726376, 0.46, 11, 5, 2, 1, 630739, 176317, 579, 243, 20480, 131072, 0, 0.118132, 0.050628, 69028, 17858, 0, 40, 224, 48, 101, 0.02691, 0.014579, 65964, 4987, 0, 0, 32, 97, 66
do_fetch, 34695, 0.04, 6, 1, 0, 0, 261518, 13365, 15, 37, 0, 20480, 0, 0.067546, 0.013509, 59704, 4028, 0, 0, 40, 0, 34, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 276987, 0.20, 13, 2, 1, 1, 520000, 152930, 496, 279, 0, 110592, 0, 0.137562, 0.021494, 64780, 18237, 0, 0, 176, 52, 26, 0.013705, 0.015578, 61980, 4670, 0, 0, 40, 88, 69
do_prepare_recipe_sysroot, 1577612, 0.29, 10, 7, 0, 0, 869860, 170850, 379, 78, 253952, 196608, 0, 0.100245, 0.075184, 68256, 6554, 0, 488, 152, 36, 48, 0.008098, 0.007379999999999999, 63068, 1748, 0, 8, 232, 26, 8
do_patch, 268071, 0.04, 6, 1, 0, 0, 932224, 634504, 305, 206, 0, 651264, 4096, 0.065051, 0.017346999999999998, 62932, 7658, 0, 0, 128, 6, 6, 0.007173, 0.008520999999999999, 57500, 955, 0, 0, 1144, 12, 4
do_configure, 1579251, 0.07, 8, 1, 0, 0, 296036, 64263, 80, 112, 12288, 69632, 0, 0.087215, 0.016612, 70068, 6254, 0, 24, 128, 7, 18, 0.001039, 0.00299, 67144, 595, 0, 0, 8, 6, 1
do_populate_sysroot, 1581876, 0.42, 15, 5, 4, 1, 750408, 254371, 1164, 540, 4096, 180224, 0, 0.152226, 0.058547999999999996, 70000, 22032, 0, 8, 304, 235, 73, 0.041227, 0.015878, 67200, 7323, 0, 0, 48, 162, 263
do_create_runtime_spdx, 3003695, 0.97, 13, 1, 2, 0, 769631, 351769, 424, 236, 16384, 139264, 0, 0.134706, 0.019243, 61484, 18280, 0, 32, 192, 56, 39, 0.029442999999999997, 0.004686, 58612, 4537, 0, 0, 80, 118, 64
do_create_spdx, 1913988, 0.45, 19, 2, 2, 1, 1024468, 489713, 575, 276, 0, 208896, 0, 0.195963, 0.022611, 73344, 18890, 0, 0, 304, 40, 200, 0.029752999999999998, 0.01624, 69748, 5517, 1, 0, 104, 108, 88
do_unpack, 35401, 0.01, 2, 0, 0, 0, 297987, 30091, 79, 58, 0, 40960, 0, 0.029733, 0.008494999999999999, 60068, 7255, 0, 0, 56, 6, 2, 0.002359, 0.000985, 56472, 757, 0, 0, 24, 5, 0
