Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1907105, 0.06, 11, 1, 0, 0, 365774, 44982, 37, 47, 0, 53248, 0, 0.11212699999999999, 0.012013, 70940, 5353, 0, 0, 104, 0, 76, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 267401, 0.24, 10, 2, 17, 2, 3415729, 737414, 3311, 491, 0, 794624, 4096, 0.102934, 0.027712999999999998, 63428, 14094, 0, 0, 152, 29, 5, 0.174368, 0.023881, 57756, 47263, 0, 0, 1400, 756, 76
do_create_spdx, 1907910, 3.84, 67, 18, 13, 13, 4262435, 5154232, 2024, 6763, 28672, 1810432, 0, 0.6701539999999999, 0.183883, 75384, 62064, 1, 56, 3360, 150, 3188, 0.138121, 0.130527, 71764, 17490, 1, 0, 176, 1781, 672
do_recipe_qa, 33913, 0.06, 8, 1, 0, 0, 491057, 125606, 396, 209, 0, 102400, 0, 0.082527, 0.012379, 61984, 15933, 0, 0, 168, 25, 6, 0.009386, 0.005365, 59180, 3994, 0, 0, 32, 119, 4
do_packagedata, 1852340, 0.64, 22, 3, 3, 4, 1326303, 753360, 1480, 451, 0, 626688, 0, 0.221542, 0.030039, 72700, 23253, 0, 0, 360, 74, 79, 0.032758999999999996, 0.044527, 69900, 7113, 2, 0, 864, 169, 187
do_install, 1801128, 5.22, 20, 3, 76, 20, 16839519, 10641063, 14941, 1949, 2007040, 10510336, 20480, 0.202016, 0.037877999999999995, 65164, 12418, 0, 0, 280, 540, 304, 0.7652979999999999, 0.204116, 63064, 151650, 7, 3920, 20248, 2687, 3500
do_package, 1821936, 9.85, 173, 99, 372, 160, 156560267, 64655383, 63132, 10148, 28672, 42201088, 18817024, 1.7337500000000001, 0.99623, 69224, 123887, 0, 48, 1456, 1090, 12794, 3.723918, 1.605227, 88188, 431534, 19, 8, 80968, 9456, 11933
do_compile, 1751137, 11.93, 20, 0, 1794, 355, 377954018, 33262550, 188697, 26041, 1638400, 19308544, 2691072, 0.2075, 0.005608, 71280, 6659, 0, 0, 2136, 401, 97, 17.941266, 3.5518229999999997, 68316, 1426460, 94, 3200, 35576, 29000, 18316
do_fetch, 34224, 2.18, 16, 1, 2, 1, 4641325, 4360191, 3484, 6250, 0, 4333568, 0, 0.165052, 0.016928, 63504, 8683, 0, 0, 136, 269, 25, 0.020294, 0.018116999999999998, 56324, 911, 0, 0, 8328, 2187, 8
do_populate_lic, 726125, 0.62, 18, 3, 2, 0, 681092, 173512, 594, 252, 40960, 135168, 0, 0.18403, 0.038339, 69624, 18437, 1, 80, 224, 53, 263, 0.02899, 0.009799, 66540, 4959, 0, 0, 40, 82, 81
do_prepare_recipe_sysroot, 1592404, 1.47, 14, 3, 1, 0, 1867675, 1138281, 574, 326, 139264, 1187840, 0, 0.14094099999999998, 0.034166999999999996, 69356, 7308, 0, 264, 168, 37, 41, 0.01099, 0.007677, 64168, 1200, 6, 8, 2152, 27, 7
do_unpack, 35320, 0.10, 4, 1, 7, 2, 25353177, 40492746, 2899, 3674, 0, 22306816, 0, 0.046098, 0.012572, 60488, 11224, 0, 0, 72, 20, 4, 0.078078, 0.020728, 56644, 4514, 0, 0, 43496, 652, 7
do_configure, 1597115, 79.56, 32, 4, 909, 184, 210485676, 29904884, 96293, 19018, 1875968, 26742784, 14225408, 0.325557, 0.045960999999999995, 71256, 17312, 0, 1432, 376, 419, 379, 9.097968, 1.843083, 68360, 868305, 31, 2232, 51856, 10880, 6290
do_populate_sysroot, 1820752, 0.71, 24, 3, 4, 4, 3263875, 1526378, 1299, 670, 0, 1282048, 159744, 0.244059, 0.038738999999999996, 71672, 25227, 0, 0, 1712, 75, 85, 0.046657, 0.048115, 69392, 11157, 0, 0, 792, 185, 110
do_create_runtime_spdx, 2999394, 1.55, 28, 6, 3, 1, 4592601, 685752, 1863, 322, 1150976, 372736, 0, 0.282954, 0.067749, 64844, 24023, 0, 2248, 632, 113, 136, 0.033243999999999996, 0.010242, 61752, 5473, 0, 0, 96, 131, 82
do_package_write_rpm, 2998691, 21.38, 43, 8, 3081, 146, 77430740, 7937700, 16281, 3103, 1867776, 4984832, 0, 0.432666, 0.083357, 58140, 26197, 5, 440, 640, 1761, 1050, 30.815773, 1.464231, 1921812, 953582, 0, 3208, 9096, 16944, 9978
do_package_qa, 2998915, 4.49, 57, 22, 45, 39, 17235871, 749314, 8525, 625, 10747904, 176128, 0, 0.572435, 0.220167, 58624, 45781, 117, 19520, 280, 557, 4587, 0.455321, 0.391484, 56336, 175672, 5, 1472, 64, 950, 1421
do_deploy_source_date_epoch, 275358, 0.12, 14, 1, 1, 0, 566778, 161702, 475, 287, 0, 114688, 0, 0.146664, 0.01294, 65184, 18763, 0, 0, 184, 31, 30, 0.018448, 0.006828, 62384, 4684, 0, 0, 40, 89, 25
