Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 696225, 0.31, 13, 1, 1, 0, 373339, 63355, 436, 133, 0, 77824, 4096, 0.135189, 0.012289, 59204, 14024, 0, 0, 128, 364, 23, 0.010653, 0.006029, 57124, 2380, 0, 0, 24, 120, 1
do_collect_spdx_deps, 703446, 0.01, 5, 1, 0, 0, 325480, 39578, 22, 40, 0, 49152, 0, 0.059501, 0.011899999999999999, 66948, 6677, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 647766, 0.00, 4, 0, 0, 0, 263532, 13843, 15, 37, 0, 20480, 0, 0.042520999999999996, 0.003865, 66100, 4327, 0, 0, 40, 0, 19, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 641304, 0.16, 12, 1, 1, 1, 435289, 114137, 409, 201, 0, 94208, 0, 0.121239, 0.017318999999999998, 68144, 15975, 0, 0, 160, 50, 294, 0.011959, 0.011555, 65344, 3906, 0, 0, 24, 75, 72
do_create_runtime_spdx, 1368830, 0.70, 16, 2, 3, 1, 864227, 385478, 614, 243, 131072, 147456, 0, 0.16996999999999998, 0.022661999999999998, 71864, 20559, 0, 256, 208, 59, 75, 0.032816, 0.011413, 68340, 5252, 0, 0, 80, 123, 113
do_packagedata, 1357773, 0.59, 15, 4, 4, 1, 685274, 205283, 877, 302, 0, 180224, 0, 0.151252, 0.041594, 70648, 20470, 0, 0, 200, 78, 84, 0.04145, 0.014006999999999999, 67848, 6765, 2, 0, 152, 112, 113
do_compile, 696117, 0.03, 8, 1, 0, 0, 280181, 17521, 41, 80, 0, 20480, 0, 0.088765, 0.016907, 68580, 7983, 0, 0, 40, 2, 47, 0.002688, 0.0, 65864, 379, 0, 0, 0, 1, 1
do_unpack, 672791, 0.01, 4, 0, 0, 0, 289524, 20132, 79, 58, 0, 32768, 0, 0.047181999999999995, 0.0, 66232, 7392, 0, 0, 56, 6, 4, 0.002827, 0.0009379999999999999, 62836, 741, 0, 0, 8, 5, 1
do_prepare_recipe_sysroot, 695549, 0.01, 9, 0, 0, 0, 267943, 65592, 20, 42, 0, 69632, 0, 0.09738, 0.0, 66944, 6650, 0, 0, 136, 0, 16, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 692271, 0.32, 16, 2, 2, 0, 482718, 137560, 457, 275, 0, 106496, 0, 0.169505, 0.027593, 68824, 18174, 0, 0, 168, 38, 77, 0.029646, 0.003859, 66024, 4601, 0, 0, 40, 66, 52
do_patch, 678334, 0.05, 6, 1, 1, 0, 934301, 634808, 305, 206, 0, 647168, 4096, 0.068115, 0.01202, 66696, 9809, 0, 0, 120, 6, 3, 0.010083, 0.001859, 60848, 932, 0, 0, 1144, 11, 3
do_create_spdx, 1361968, 0.67, 17, 3, 4, 1, 1025291, 503228, 645, 283, 4096, 217088, 0, 0.171835, 0.031242, 72184, 21258, 0, 8, 320, 56, 52, 0.040977, 0.01863, 68568, 6179, 2, 0, 104, 322, 193
do_configure, 695792, 0.03, 10, 1, 0, 0, 294116, 59058, 84, 112, 0, 65536, 0, 0.10962799999999999, 0.016241, 68828, 8422, 0, 0, 120, 4, 8, 0.000667, 0.002091, 65948, 605, 0, 0, 8, 5, 4
do_package, 1351064, 3.17, 37, 33, 78, 8, 2870770, 1804640, 2719, 792, 217088, 1826816, 0, 0.373372, 0.335657, 61704, 31745, 0, 408, 536, 356, 759, 0.7843209999999999, 0.081091, 59520, 19643, 1, 16, 3032, 839, 772
do_package_qa, 1368412, 0.76, 15, 3, 2, 1, 548930, 198528, 791, 252, 0, 151552, 0, 0.155164, 0.036749, 61988, 14409, 0, 0, 256, 123, 371, 0.028634, 0.018545, 59768, 6564, 0, 0, 40, 99, 114
do_package_write_rpm, 1368396, 1.61, 19, 5, 150, 13, 1221864, 390795, 1770, 461, 0, 278528, 0, 0.19780399999999998, 0.055901, 61756, 20270, 0, 0, 440, 252, 312, 1.503709, 0.13731, 194556, 78692, 0, 0, 104, 916, 906
do_populate_lic, 737647, 0.45, 15, 3, 2, 1, 537762, 159250, 538, 241, 0, 122880, 0, 0.15442699999999998, 0.031677, 69428, 17865, 0, 0, 208, 40, 37, 0.029195, 0.011262999999999999, 66336, 4865, 0, 0, 32, 82, 56
