Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 2621402, 6.20, 89, 53, 121, 24, 38615805, 18371255, 13669, 2896, 0, 12263424, 5001216, 0.894949, 0.534539, 68388, 41587, 0, 0, 696, 430, 3470, 1.214252, 0.248469, 66260, 58445, 0, 0, 23256, 2300, 1771
do_collect_spdx_deps, 2642416, 0.20, 11, 0, 0, 0, 344549, 42488, 28, 43, 0, 49152, 0, 0.119405, 0.004117, 71892, 5278, 0, 0, 96, 0, 31, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2647012, 1.39, 26, 7, 5, 1, 1850758, 1334763, 813, 1241, 163840, 532480, 0, 0.269623, 0.075336, 75360, 27544, 0, 320, 896, 56, 331, 0.057456, 0.013918, 71828, 6940, 0, 0, 144, 312, 105
do_recipe_qa, 620522, 0.35, 16, 2, 2, 0, 509779, 122339, 442, 204, 0, 102400, 0, 0.169405, 0.028922, 67676, 16239, 0, 0, 168, 61, 324, 0.027191, 0.000828, 64864, 3977, 0, 0, 32, 101, 78
do_patch, 674762, 0.05, 5, 2, 0, 0, 1017489, 632051, 317, 203, 0, 647168, 4096, 0.056768, 0.026490999999999997, 66856, 10570, 0, 0, 120, 6, 45, 0.008048, 0.002822, 61048, 970, 0, 0, 1144, 13, 7
do_install, 2620062, 0.61, 22, 2, 3, 1, 2819339, 2453036, 801, 337, 143360, 2445312, 0, 0.22611799999999999, 0.024666999999999998, 66452, 14595, 0, 0, 184, 120, 250, 0.033257, 0.016676, 64368, 4296, 0, 280, 4592, 279, 178
do_packagedata, 2635096, 1.92, 16, 2, 5, 1, 800577, 252055, 873, 311, 0, 208896, 0, 0.169905, 0.026139, 73492, 21256, 0, 0, 232, 67, 156, 0.052282999999999996, 0.014416, 70688, 6941, 0, 0, 176, 123, 87
do_compile, 2611894, 4.74, 17, 1, 1337, 256, 279938918, 30309353, 51341, 7426, 1425408, 18325504, 6230016, 0.175781, 0.012254, 72332, 6502, 0, 0, 496, 169, 85, 13.371518, 2.567442, 78824, 694417, 15, 2784, 35296, 3688, 6744
do_fetch, 622817, 6.99, 12, 1, 0, 0, 842115, 577437, 934, 1026, 0, 585728, 0, 0.12115899999999999, 0.014686, 65984, 7936, 0, 0, 120, 281, 46, 0.005915, 0.0035199999999999997, 62472, 801, 0, 0, 1024, 280, 4
do_configure, 2409100, 101.64, 36, 3, 1218, 313, 240962581, 27311223, 108813, 24818, 454656, 27217920, 14094336, 0.36791199999999996, 0.038058999999999996, 71972, 17455, 0, 160, 424, 503, 134, 12.182133, 3.131676, 69060, 1591365, 62, 728, 52736, 10410, 12386
do_create_runtime_spdx, 2856232, 1.12, 14, 2, 3, 0, 1296912, 410004, 671, 252, 0, 167936, 0, 0.148605, 0.021852999999999997, 75252, 19162, 0, 0, 240, 47, 56, 0.033928, 0.008813999999999999, 71740, 5388, 0, 0, 88, 125, 60
do_prepare_recipe_sysroot, 2340208, 0.88, 12, 4, 1, 0, 1782155, 1049287, 544, 299, 253952, 1089536, 0, 0.12078599999999999, 0.044288, 70112, 6964, 0, 488, 152, 35, 59, 0.015641, 0.007946, 64944, 1205, 0, 8, 1976, 21, 13
do_deploy_source_date_epoch, 689412, 0.39, 14, 4, 2, 0, 577541, 158700, 481, 280, 0, 114688, 0, 0.145748, 0.046024999999999996, 68664, 18618, 0, 0, 184, 41, 94, 0.024683, 0.009295, 65864, 4663, 0, 0, 40, 96, 92
do_package_write_rpm, 2855235, 5.68, 29, 4, 401, 17, 21804039, 2963897, 3503, 732, 0, 1953792, 0, 0.294547, 0.046956, 68680, 23632, 0, 0, 496, 163, 415, 4.01123, 0.176256, 439552, 124792, 0, 0, 3320, 1809, 1135
do_populate_lic, 776735, 0.30, 10, 4, 2, 1, 788040, 220276, 629, 254, 28672, 143360, 0, 0.101712, 0.043032, 69680, 16368, 0, 56, 224, 65, 50, 0.022858999999999997, 0.013930999999999999, 66584, 4997, 0, 0, 56, 83, 149
do_unpack, 671451, 0.08, 3, 1, 6, 0, 4415079, 7015911, 1108, 1442, 0, 3895296, 0, 0.039953999999999996, 0.010896, 66692, 7565, 0, 0, 56, 6, 28, 0.067686, 0.008270999999999999, 63116, 1794, 0, 0, 7552, 654, 9
do_package_qa, 2855926, 1.54, 25, 6, 7, 3, 4925122, 250393, 2989, 275, 0, 159744, 0, 0.25110299999999997, 0.06297799999999999, 69296, 22660, 0, 0, 272, 88, 1931, 0.072323, 0.035045, 67080, 19747, 0, 0, 40, 163, 156
