Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2628488, 0.08, 14, 2, 0, 0, 343983, 43701, 32, 45, 0, 53248, 0, 0.141794, 0.029085999999999997, 71336, 7075, 0, 0, 104, 0, 67, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 551847, 0.07, 12, 1, 1, 0, 500683, 123198, 380, 206, 0, 102400, 0, 0.120461, 0.012905999999999999, 66644, 16070, 0, 0, 168, 23, 15, 0.013739999999999999, 0.0018039999999999998, 63840, 4023, 0, 0, 32, 143, 9
do_package, 2422014, 4.81, 102, 49, 238, 26, 19700097, 8508720, 11879, 1929, 0, 5660672, 1376256, 1.029598, 0.49276499999999995, 67984, 46081, 0, 0, 696, 450, 3082, 2.382915, 0.262694, 65800, 70354, 1, 0, 10360, 2967, 2123
do_install, 2406667, 4.33, 23, 2, 43, 12, 5093633, 1391854, 7624, 1459, 450560, 1253376, 4096, 0.239691, 0.0295, 65992, 13947, 0, 0, 272, 539, 533, 0.430685, 0.12326999999999999, 63880, 83394, 1, 880, 2176, 1195, 2146
do_create_spdx, 2630635, 1.22, 23, 5, 5, 2, 1529860, 858002, 782, 627, 0, 352256, 0, 0.236504, 0.05543, 75088, 27266, 0, 0, 568, 44, 151, 0.05633, 0.020257, 71464, 7159, 2, 0, 120, 329, 133
do_fetch, 553662, 3.38, 6, 0, 0, 0, 1388455, 1103464, 982, 1619, 0, 1101824, 0, 0.06838799999999999, 0.003799, 64904, 6012, 0, 0, 112, 77, 6, 0.007899999999999999, 0.002214, 61296, 911, 0, 0, 2040, 525, 1
do_populate_sysroot, 2423550, 2.88, 23, 6, 6, 2, 2510098, 1128834, 1442, 657, 0, 888832, 110592, 0.23987499999999998, 0.061786, 71776, 24369, 0, 0, 1136, 146, 108, 0.06444799999999999, 0.027391, 69740, 11038, 0, 0, 600, 167, 205
do_packagedata, 2472029, 0.74, 21, 3, 4, 1, 838899, 307351, 898, 321, 0, 217088, 0, 0.218471, 0.030662, 72416, 23006, 0, 0, 224, 66, 82, 0.048556999999999996, 0.01308, 69616, 6920, 0, 0, 200, 124, 110
do_compile, 2386449, 8.04, 15, 1, 607, 62, 44625238, 6486477, 22064, 5046, 749568, 2195456, 122880, 0.153161, 0.012091, 71656, 6119, 0, 0, 600, 228, 105, 6.073856, 0.624478, 68940, 422430, 15, 1464, 3688, 5602, 5085
do_package_write_rpm, 2758076, 6.79, 22, 4, 498, 29, 12694645, 2798352, 3692, 828, 0, 1851392, 0, 0.223963, 0.046336999999999996, 68216, 24270, 0, 0, 496, 363, 458, 4.983935, 0.295611, 514236, 145247, 0, 0, 3120, 8957, 1594
do_prepare_recipe_sysroot, 2284053, 0.56, 15, 6, 2, 0, 1753382, 1052677, 545, 303, 524288, 1097728, 0, 0.156493, 0.068215, 69972, 6758, 0, 1016, 152, 37, 43, 0.021279, 0.0017779999999999998, 64744, 1202, 0, 8, 1992, 19, 34
do_deploy_source_date_epoch, 635713, 0.11, 8, 2, 1, 0, 570114, 160303, 483, 288, 0, 118784, 0, 0.08578899999999999, 0.026109, 67896, 18574, 0, 0, 192, 32, 9, 0.013585999999999999, 0.005516999999999999, 65088, 4674, 0, 0, 40, 130, 11
do_patch, 575338, 0.18, 10, 2, 1, 0, 1496636, 633175, 423, 205, 0, 647168, 4096, 0.104403, 0.028107999999999998, 65536, 11634, 0, 0, 120, 8, 169, 0.015650999999999998, 0.0018679999999999999, 59760, 949, 0, 0, 1144, 10, 57
do_populate_lic, 771055, 0.12, 13, 3, 2, 1, 655378, 182109, 564, 251, 0, 135168, 0, 0.13744399999999998, 0.035342, 69552, 18319, 0, 0, 224, 31, 35, 0.023041, 0.010052, 66456, 4961, 2, 0, 40, 89, 38
do_configure, 2285817, 29.38, 25, 5, 686, 135, 143733992, 20333990, 68894, 18288, 720896, 18825216, 10481664, 0.257683, 0.056367999999999994, 72064, 17842, 0, 160, 328, 296, 219, 6.866786, 1.354357, 69176, 724195, 12, 1248, 36440, 10077, 8332
do_create_runtime_spdx, 2761906, 0.90, 17, 2, 3, 1, 1150133, 423454, 640, 256, 0, 172032, 0, 0.17607399999999998, 0.02401, 74644, 21096, 0, 0, 248, 35, 45, 0.030007, 0.011618, 71120, 5396, 0, 0, 88, 106, 48
do_unpack, 571170, 0.07, 7, 0, 1, 1, 5023540, 7146990, 536, 740, 0, 4059136, 0, 0.078887, 0.007888, 65172, 7392, 0, 0, 56, 6, 25, 0.019025, 0.013875, 61572, 997, 0, 0, 7872, 117, 80
do_package_qa, 2761614, 4.44, 24, 5, 4, 7, 3046239, 257313, 2407, 283, 0, 159744, 0, 0.24712599999999998, 0.052666, 68300, 24390, 0, 0, 272, 172, 1367, 0.047039, 0.071662, 66096, 22285, 0, 0, 40, 172, 202
