Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1456112, 0.14, 11, 0, 0, 0, 343864, 42902, 30, 44, 368640, 53248, 0, 0.119242, 0.009172, 68992, 7016, 0, 720, 104, 26, 28, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 64895, 0.06, 9, 2, 1, 0, 485320, 122874, 396, 205, 0, 102400, 0, 0.091539, 0.022883999999999998, 62448, 15927, 0, 0, 168, 28, 5, 0.01376, 0.000305, 59640, 3997, 0, 0, 32, 115, 9
do_install, 1981554, 2.83, 19, 4, 26, 10, 3540844, 1008713, 4995, 996, 442368, 909312, 4096, 0.195577, 0.043461, 65096, 14490, 0, 0, 240, 437, 260, 0.264273, 0.10496799999999999, 62988, 50514, 2, 864, 1536, 886, 1166
do_packagedata, 1997730, 1.82, 20, 4, 4, 1, 803805, 289463, 857, 316, 4096, 204800, 0, 0.200228, 0.046480999999999995, 71952, 23150, 0, 0, 224, 52, 125, 0.04391, 0.017758, 69156, 6920, 0, 8, 176, 179, 58
do_compile, 1965068, 5.38, 13, 2, 331, 24, 14632773, 3005165, 6847, 1873, 348160, 839680, 36864, 0.138768, 0.021025, 71244, 6380, 0, 0, 232, 110, 44, 3.317037, 0.243385, 68520, 138675, 12, 680, 1408, 1876, 1854
do_fetch, 65126, 17.63, 6, 0, 0, 0, 1267195, 981795, 874, 1469, 0, 983040, 0, 0.068312, 0.0, 60672, 5801, 0, 0, 112, 79, 54, 0.0061979999999999995, 0.004830999999999999, 57268, 910, 0, 0, 1808, 483, 1
do_prepare_recipe_sysroot, 1880471, 0.34, 12, 4, 1, 0, 1750207, 1051237, 539, 302, 28672, 1097728, 0, 0.12389499999999999, 0.044247999999999996, 69572, 7022, 0, 56, 144, 11, 35, 0.015191, 0.008329999999999999, 64272, 1207, 0, 0, 2000, 17, 4
do_unpack, 404036, 0.07, 8, 2, 1, 0, 4175690, 5755968, 459, 564, 4096, 3207168, 0, 0.083379, 0.029182, 63708, 7384, 0, 0, 64, 6, 113, 0.016902, 0.007545, 60108, 996, 0, 8, 6200, 98, 87
do_deploy_source_date_epoch, 490736, 0.10, 10, 1, 1, 0, 551403, 160012, 474, 284, 0, 118784, 0, 0.108557, 0.016082, 65944, 18462, 0, 0, 192, 31, 49, 0.011998, 0.0065119999999999996, 63144, 4678, 0, 0, 40, 124, 14
do_patch, 407054, 0.05, 10, 2, 0, 0, 1358187, 632702, 391, 204, 0, 647168, 4096, 0.110013, 0.020371999999999998, 63864, 8518, 0, 0, 120, 6, 7, 0.00806, 0.00224, 58156, 962, 0, 0, 1144, 12, 5
do_configure, 1881710, 30.70, 29, 4, 683, 115, 139905305, 19544858, 63883, 17599, 1171456, 18112512, 10235904, 0.29495899999999997, 0.042747, 71520, 18446, 0, 392, 320, 281, 109, 6.838393, 1.1573229999999999, 68752, 680018, 21, 1896, 35056, 8343, 6454
do_populate_sysroot, 1987830, 1.34, 28, 3, 6, 2, 2105607, 908365, 1436, 646, 139264, 696320, 81920, 0.28744, 0.034321, 71388, 24880, 0, 264, 896, 156, 118, 0.063799, 0.023729, 69288, 11040, 1, 8, 464, 201, 197
do_create_runtime_spdx, 2914063, 1.03, 20, 3, 3, 0, 1026860, 411141, 616, 253, 24576, 167936, 0, 0.200228, 0.039175, 62348, 21455, 0, 48, 240, 41, 84, 0.039636, 0.003319, 58724, 5374, 0, 0, 88, 137, 58
do_create_spdx, 2303905, 1.16, 22, 6, 6, 0, 1318920, 629568, 768, 376, 4096, 278528, 0, 0.226512, 0.06292, 74100, 26217, 0, 8, 432, 69, 85, 0.068351, 0.003292, 70484, 6825, 1, 0, 112, 336, 97
do_package_write_rpm, 2913256, 3.69, 22, 4, 381, 17, 9397953, 2292968, 2556, 743, 327680, 1531904, 0, 0.22583, 0.042829, 66616, 24155, 0, 544, 488, 297, 403, 3.819512, 0.1734, 432812, 122531, 2, 96, 2504, 1836, 1198
do_package_qa, 2914009, 1.42, 25, 4, 6, 1, 2007270, 228877, 1487, 264, 0, 159744, 0, 0.251264, 0.040381, 66800, 19004, 0, 0, 272, 165, 730, 0.062787, 0.012950999999999999, 64568, 13231, 0, 0, 40, 138, 163
do_populate_lic, 722090, 0.34, 17, 2, 3, 0, 623832, 168835, 577, 246, 4096, 131072, 0, 0.172041, 0.025176, 69444, 18273, 0, 8, 216, 52, 80, 0.034095, 0.006130999999999999, 66344, 4974, 0, 0, 40, 147, 70
do_package, 1989510, 3.93, 65, 44, 148, 18, 12482705, 5987141, 7680, 1381, 0, 4096000, 638976, 0.657007, 0.448688, 67068, 42632, 0, 0, 632, 376, 1987, 1.486718, 0.18118099999999998, 64932, 44219, 6, 0, 7368, 2011, 1283
