Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 696173, 0.01, 12, 0, 0, 0, 552799, 42687, 31, 47, 0, 49152, 0, 0.126433, 0.007902, 67904, 7066, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 837395, 0.14, 15, 5, 0, 1, 1947587, 1265150, 451, 353, 0, 1306624, 0, 0.151019, 0.056631999999999995, 69324, 7292, 0, 0, 152, 2, 217, 0.001302, 0.012613, 64424, 606, 0, 0, 2400, 9, 9
do_populate_sysroot, 888219, 3.18, 57, 34, 26, 15, 453067643, 411420112, 9980, 2441, 0, 402419712, 0, 0.572473, 0.349844, 71172, 54796, 0, 0, 763984, 235, 26, 0.262374, 0.158614, 69248, 71398, 0, 0, 21992, 524, 50
do_recipe_qa, 535938, 0.05, 8, 2, 1, 0, 694558, 124043, 394, 215, 0, 110592, 0, 0.080163, 0.025505999999999997, 67520, 16514, 0, 0, 184, 27, 2, 0.012076, 0.002742, 64720, 4015, 0, 0, 32, 157, 6
do_install, 887547, 0.25, 9, 1, 3, 18, 398950271, 391281414, 49691, 48200, 0, 391331840, 8192, 0.090962, 0.01516, 70956, 12310, 0, 0, 144, 41, 3, 0.036932, 0.18287399999999998, 68260, 5369, 30, 0, 764176, 49, 5
do_compile, 839843, 63.16, 25, 4, 103899, 5231, 7414377065, 4537528892, 417649, 932230, 1044480, 1868918784, 5423104, 0.25035799999999997, 0.044418, 70952, 7367, 0, 0, 1688, 358, 60, 1038.999011, 52.313379, 796796, 28308544, 42, 2040, 3648544, 164051, 407675
do_fetch, 536022, 37.53, 10, 1, 451, 49, 107123113, 112742872, 132681, 40900, 233472, 39116800, 8192, 0.10703, 0.014594999999999999, 66456, 10230, 0, 24, 168, 256, 15, 4.513371, 0.49206, 62880, 21546, 8, 432, 76232, 51114, 1680
do_patch, 618893, 0.14, 15, 2, 1, 0, 631973, 117866, 173, 80, 0, 126976, 4096, 0.156681, 0.027419, 66764, 10218, 0, 0, 120, 6, 54, 0.010159999999999999, 0.002289, 61116, 953, 0, 0, 128, 12, 10
do_configure, 838309, 1.05, 17, 0, 39, 9, 9302947, 2203367, 8871, 15332, 0, 2342912, 278528, 0.177728, 0.0041329999999999995, 71220, 9782, 0, 0, 136, 84, 147, 0.391154, 0.096853, 68348, 43771, 0, 0, 4440, 543, 641
do_generate_toolchain_file, 663451, 0.06, 15, 2, 0, 0, 525318, 47330, 101, 123, 0, 36864, 0, 0.158865, 0.02444, 68464, 8488, 0, 0, 56, 21, 35, 0.0034939999999999997, 0.000527, 65764, 501, 0, 0, 16, 4, 24
do_deploy_source_date_epoch, 663524, 0.18, 19, 1, 1, 1, 748815, 156929, 461, 322, 0, 118784, 0, 0.19669, 0.012827, 68748, 18871, 0, 0, 192, 33, 87, 0.012249999999999999, 0.018101, 65948, 4699, 0, 0, 40, 107, 60
do_create_runtime_spdx, 767638, 0.14, 15, 3, 2, 0, 979334, 351805, 480, 242, 0, 139264, 0, 0.157162, 0.036268, 71288, 18573, 0, 0, 192, 62, 49, 0.022015999999999997, 0.006833, 68488, 4240, 0, 0, 80, 80, 84
do_create_spdx, 696323, 0.24, 12, 3, 2, 0, 1211622, 488727, 605, 279, 0, 208896, 0, 0.122041, 0.038137, 70652, 21201, 0, 0, 304, 38, 8, 0.022504, 0.007545, 67508, 5230, 0, 0, 104, 106, 28
do_populate_lic, 708138, 0.42, 17, 3, 3, 1, 901209, 192602, 584, 258, 90112, 135168, 0, 0.173592, 0.033871, 70880, 18769, 0, 0, 224, 53, 125, 0.032165, 0.010659, 67796, 4996, 2, 176, 40, 112, 140
do_unpack, 618542, 0.81, 17, 3, 25, 13, 5101195, 23200660, 10244, 7000, 4096, 26603520, 12288, 0.17662, 0.033819999999999996, 66720, 14914, 0, 0, 80, 34, 981, 0.255582, 0.13041, 63004, 23219, 0, 8, 51880, 4349, 5193
