Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 20937, 0.03, 6, 0, 0, 0, 645117, 120915, 182, 86, 0, 126976, 4096, 0.069356, 0.008159, 59836, 9991, 0, 0, 120, 6, 0, 0.0038399999999999997, 0.0013449999999999998, 53780, 946, 0, 0, 128, 13, 0
do_collect_spdx_deps, 48525, 0.02, 7, 0, 0, 0, 566023, 46067, 40, 53, 0, 53248, 0, 0.072362, 0.00402, 61964, 6902, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7884, 0.13, 17, 0, 1, 0, 679712, 128704, 364, 221, 0, 106496, 0, 0.172542, 0.0076679999999999995, 59780, 16064, 0, 0, 176, 19, 73, 0.011155, 0.008868, 56980, 3994, 0, 0, 32, 76, 37
do_install, 336706, 0.16, 15, 2, 8, 2, 3958037, 2511682, 1674, 454, 0, 2502656, 4096, 0.157127, 0.020144, 66248, 14514, 0, 0, 128, 26, 27, 0.08325099999999999, 0.023017, 63556, 22285, 2, 0, 4760, 345, 110
do_compile, 202069, 26.79, 14, 2, 2721, 29, 32982757, 11229819, 6446, 2756, 0, 4018176, 4096, 0.142845, 0.028568999999999997, 64812, 8559, 0, 0, 112, 37, 3, 27.211676, 0.29777899999999996, 378308, 202868, 0, 0, 7736, 2260, 8972
do_prepare_recipe_sysroot, 182722, 0.07, 11, 1, 1, 0, 1829451, 1340848, 471, 378, 0, 1384448, 0, 0.113608, 0.01136, 63532, 7959, 0, 0, 152, 2, 173, 0.015835, 0.003237, 57716, 614, 0, 0, 2552, 10, 25
do_deploy_source_date_epoch, 21023, 0.07, 10, 1, 1, 0, 739190, 157800, 484, 295, 0, 118784, 0, 0.1045, 0.012057, 61000, 18615, 0, 0, 192, 30, 4, 0.013175, 0.0028339999999999997, 58192, 4703, 0, 0, 40, 139, 10
do_fetch, 9038, 10.68, 20, 1, 1, 1, 3725149, 3246937, 4268, 5460, 0, 3235840, 0, 0.204449, 0.016689, 58660, 8318, 0, 0, 112, 1272, 23, 0.011138, 0.012433, 54844, 809, 0, 0, 6208, 1289, 5
do_create_spdx, 48686, 0.08, 11, 0, 1, 0, 1222102, 494473, 616, 286, 0, 212992, 0, 0.115009, 0.003833, 64204, 20802, 0, 0, 312, 34, 13, 0.016613, 0.004667, 61304, 5215, 0, 0, 104, 165, 14
do_configure, 183451, 9.34, 24, 2, 344, 60, 74638699, 10551973, 42352, 13585, 0, 10399744, 5447680, 0.24642, 0.025058999999999998, 65212, 17112, 0, 0, 312, 187, 197, 3.447432, 0.603229, 62316, 548798, 7, 0, 20000, 5398, 2533
do_populate_sysroot, 337919, 0.36, 25, 3, 16, 4, 14165856, 6909882, 2936, 1231, 0, 4530176, 0, 0.25669, 0.03667, 66628, 32448, 0, 0, 3784, 123, 20, 0.167397, 0.048992999999999995, 64460, 18225, 0, 0, 5064, 221, 124
do_create_runtime_spdx, 790906, 0.41, 18, 2, 1, 1, 993575, 355887, 449, 248, 0, 135168, 0, 0.18967499999999998, 0.025533, 70892, 16065, 0, 0, 184, 53, 98, 0.017856999999999998, 0.015552, 68080, 4239, 0, 0, 80, 103, 87
do_populate_lic, 755320, 0.19, 18, 2, 2, 1, 1449924, 173639, 720, 262, 90112, 135168, 0, 0.188159, 0.020451999999999998, 70976, 19077, 0, 176, 232, 50, 200, 0.024553, 0.013512, 67900, 4971, 0, 0, 32, 94, 76
do_unpack, 20828, 0.06, 5, 0, 4, 1, 16244038, 25030605, 1659, 1704, 0, 12611584, 0, 0.053013, 0.008154999999999999, 59772, 7576, 0, 0, 56, 6, 3, 0.042926, 0.014289, 55860, 1052, 0, 0, 24576, 393, 5
