Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 1527352, 0.22, 11, 6, 1, 0, 1752165, 1051796, 541, 303, 131072, 1097728, 0, 0.11751299999999999, 0.06659, 68268, 8575, 0, 88, 144, 23, 106, 0.018258, 0.002482, 63004, 1206, 0, 168, 2000, 16, 26
do_collect_spdx_deps, 1453794, 0.10, 12, 1, 0, 0, 345824, 43461, 32, 45, 311296, 53248, 0, 0.128683, 0.011354, 68872, 6877, 0, 608, 104, 20, 96, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 245207, 0.14, 15, 2, 1, 1, 547273, 161157, 472, 285, 0, 114688, 0, 0.157496, 0.020723, 64284, 18486, 0, 0, 184, 31, 31, 0.01663, 0.011013, 61484, 4690, 0, 0, 40, 91, 23
do_package_qa, 3111150, 2.01, 32, 4, 6, 4, 19663886, 244405, 1340, 273, 18395136, 159744, 0, 0.32711599999999996, 0.041072, 66552, 26772, 10, 35776, 272, 186, 581, 0.062027, 0.047872, 59040, 17683, 0, 152, 40, 153, 207
do_recipe_qa, 27860, 0.05, 6, 1, 0, 0, 463311, 124147, 392, 206, 0, 102400, 0, 0.064784, 0.016196, 61148, 15788, 0, 0, 168, 26, 4, 0.007692999999999999, 0.005536, 58344, 3986, 0, 0, 32, 136, 3
do_install, 1646689, 0.46, 17, 2, 12, 4, 9666786, 8386050, 2487, 560, 49152, 8376320, 4096, 0.17430099999999998, 0.027906999999999998, 63008, 13869, 0, 0, 192, 523, 34, 0.129836, 0.048622, 60928, 32651, 1, 96, 16168, 944, 214
do_package, 1651147, 9.95, 370, 65, 296, 28, 138237488, 67088928, 21536, 5943, 4096, 40185856, 16855040, 3.705111, 0.652195, 65004, 43048, 0, 8, 616, 624, 1498, 2.969187, 0.284843, 62868, 82114, 5, 0, 77872, 3543, 2454
do_fetch, 27909, 0.01, 3, 1, 0, 0, 284793, 43898, 27, 54, 0, 53248, 0, 0.034869, 0.011623, 59340, 4452, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 1665962, 4.51, 19, 2, 4, 1, 775873, 266285, 922, 315, 0, 208896, 0, 0.193692, 0.023243, 71704, 23304, 0, 0, 232, 80, 95, 0.045762, 0.015739, 68904, 6889, 0, 0, 176, 149, 105
do_compile, 1562087, 34.68, 10, 0, 3865, 47, 103845561, 81251573, 9876, 17044, 10371072, 17874944, 4096, 0.108995, 0.0038919999999999996, 70344, 6282, 0, 0, 144, 47, 7, 38.65372, 0.477217, 455964, 343885, 2, 20256, 34768, 5457, 5472
do_populate_sysroot, 1648255, 3.83, 27, 4, 9, 4, 17612905, 12513242, 2334, 1036, 0, 10379264, 1392640, 0.270711, 0.041016, 70852, 24106, 0, 0, 13088, 158, 104, 0.09993199999999999, 0.040836, 68736, 12911, 0, 0, 7184, 237, 191
do_unpack, 28598, 0.06, 4, 0, 4, 1, 16023829, 25026931, 1651, 1696, 0, 12611584, 0, 0.048104999999999995, 0.0, 59444, 7214, 0, 0, 56, 6, 1, 0.045211, 0.013217, 55872, 1036, 0, 0, 24576, 394, 7
do_patch, 238970, 0.04, 6, 1, 0, 0, 1067803, 633261, 329, 205, 0, 651264, 4096, 0.062247, 0.012449, 62356, 8621, 0, 0, 128, 6, 40, 0.007528, 0.0035489999999999996, 56652, 954, 0, 0, 1144, 11, 4
do_package_write_rpm, 3111033, 44.54, 32, 4, 1313, 26, 95289502, 16229749, 5062, 1365, 1765376, 10838016, 0, 0.3232, 0.042526, 56820, 23798, 0, 2328, 496, 479, 413, 13.134038, 0.268793, 464576, 155361, 2, 1120, 20672, 2217, 4197
do_configure, 1528060, 10.69, 29, 4, 363, 75, 107769076, 13411575, 51274, 16288, 143360, 12902400, 7356416, 0.291551, 0.04987, 70952, 19924, 0, 128, 328, 236, 214, 3.6388059999999998, 0.752491, 68040, 506088, 21, 152, 24872, 5403, 3979
do_create_runtime_spdx, 3115402, 1.82, 18, 2, 4, 0, 1032059, 424619, 679, 256, 135168, 172032, 0, 0.183085, 0.022885, 61408, 21056, 0, 264, 248, 71, 70, 0.04768, 0.0, 58068, 5341, 2, 0, 88, 149, 96
do_populate_lic, 748345, 0.26, 16, 4, 2, 1, 1250992, 168904, 735, 247, 634880, 135168, 0, 0.166879, 0.040791999999999995, 69676, 18804, 0, 1240, 224, 56, 111, 0.024773999999999997, 0.013871, 66608, 4961, 0, 0, 40, 114, 104
do_create_spdx, 1704493, 1.23, 22, 5, 4, 2, 1321145, 666543, 767, 473, 0, 278528, 0, 0.22191799999999998, 0.056488, 77912, 25356, 0, 0, 432, 53, 99, 0.049997, 0.02837, 70184, 7127, 1, 0, 112, 355, 142
