Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3414304, 0.42, 22, 1, 0, 0, 353527, 43715, 32, 45, 0, 49152, 0, 0.22707999999999998, 0.012386, 57420, 7413, 0, 0, 96, 0, 50, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 551157, 0.32, 5, 2, 23, 4, 3001029, 251485, 4847, 519, 0, 303104, 4096, 0.05966, 0.021307, 65064, 13400, 0, 0, 152, 41, 4, 0.23512, 0.041961, 59044, 75931, 0, 0, 440, 1229, 100
do_compile_ptest_base, 3508033, 81.09, 94, 18, 13412, 3952, 3299489386, 260336972, 72610102, 215942, 7634944, 133083136, 757760, 0.9436469999999999, 0.18412599999999998, 64888, 11416, 3, 88, 21520, 3685, 129, 134.120144, 39.522042, 113096, 8927961, 354, 14824, 238408, 67889, 93030
do_package, 3650761, 105.99, 2448, 2030, 9470, 7001, 2292777734, 603148167, 1656940, 154207, 7131136, 417947648, 170217472, 24.489964, 20.305043, 81364, 2785989, 2, 12368, 7592, 8249, 109094, 94.702135, 70.013469, 331192, 18090685, 3269, 1560, 808712, 279128, 210371
do_recipe_qa, 498084, 0.07, 7, 2, 1, 0, 504301, 123691, 394, 206, 0, 102400, 0, 0.076789, 0.024249, 66592, 16117, 0, 0, 168, 26, 5, 0.010178999999999999, 0.004709, 63784, 4007, 0, 0, 32, 157, 9
do_install, 3590055, 1.86, 30, 3, 19, 8, 13292699, 5807498, 4097, 478, 8192, 5783552, 0, 0.306146, 0.033096, 59060, 15568, 1, 8, 192, 179, 264, 0.193827, 0.087687, 56976, 27190, 1, 8, 11104, 293, 601
do_packagedata, 3733358, 1.07, 23, 3, 5, 2, 4868570, 2427990, 1491, 558, 28672, 1368064, 0, 0.23851699999999998, 0.038317, 59772, 24235, 7, 56, 240, 73, 69, 0.055417999999999995, 0.021997, 56856, 7610, 0, 0, 2432, 183, 75
do_compile, 3494737, 15.68, 21, 3, 2851, 561, 533087281, 103967621, 145085, 26715, 12705792, 67543040, 21032960, 0.218448, 0.037182, 58816, 8900, 0, 0, 2376, 448, 95, 28.516074, 5.610682, 64800, 1546341, 45, 24816, 129544, 14863, 18607
do_install_ptest_base, 3593856, 60.65, 12, 2, 472, 138, 119811671, 87125703, 102241, 4664, 1089536, 94965760, 1212416, 0.12595599999999998, 0.020153, 59012, 8769, 0, 0, 320, 166, 233, 4.724524, 1.380366, 56920, 861707, 27, 2128, 185160, 12716, 40638
do_unpack, 550692, 0.25, 9, 2, 14, 12, 43101102, 71033206, 6339, 20424, 0, 68091904, 0, 0.094659, 0.026504, 65016, 13575, 0, 0, 152, 26, 15, 0.147176, 0.12142199999999999, 61236, 8120, 0, 0, 132840, 3041, 41
do_fetch, 498512, 17.18, 8, 1, 0, 1, 2767003, 2506988, 1935, 3594, 61440, 2490368, 0, 0.084696, 0.013373, 65236, 6451, 0, 0, 144, 162, 11, 0.001333, 0.017148999999999998, 61256, 921, 1, 120, 4720, 1024, 6
do_configure, 3406064, 145.39, 50, 5, 1944, 393, 253277580, 41741595, 120205, 33636, 4284416, 36765696, 17313792, 0.507586, 0.055373, 58792, 18329, 0, 232, 432, 725, 197, 19.441487, 3.934249, 55680, 2146617, 48, 8136, 71376, 16283, 16985
do_configure_ptest_base, 3494513, 0.12, 8, 1, 0, 0, 311946, 22811, 48, 55, 0, 28672, 0, 0.089057, 0.016191999999999998, 58760, 6291, 0, 0, 56, 2, 39, 0.003279, 0.0, 56020, 368, 0, 0, 0, 1, 1
do_prepare_recipe_sysroot, 3405095, 2.05, 22, 10, 5, 0, 2789372, 1295872, 1259, 393, 1142784, 1388544, 16384, 0.22336499999999998, 0.109403, 57884, 9080, 1, 2224, 160, 97, 73, 0.058323999999999994, 0.005255999999999999, 52996, 4942, 1, 8, 2552, 111, 59
do_deploy_source_date_epoch, 569125, 0.38, 17, 2, 2, 1, 570232, 159615, 496, 285, 0, 114688, 0, 0.17585399999999998, 0.022545, 67568, 18917, 0, 0, 184, 51, 105, 0.021124, 0.010322, 64768, 4667, 0, 0, 40, 121, 68
do_create_runtime_spdx, 3744912, 3.33, 93, 10, 4, 0, 38020527, 428396, 9199, 257, 4427776, 180224, 0, 0.9400259999999999, 0.107668, 127692, 59591, 0, 8648, 264, 276, 190, 0.04711, 0.004667999999999999, 71404, 5386, 3, 0, 88, 140, 23
do_populate_lic, 769751, 0.14, 16, 3, 2, 1, 757581, 221342, 580, 253, 0, 139264, 0, 0.16472499999999998, 0.038307999999999995, 69676, 18425, 0, 0, 216, 36, 50, 0.024378999999999998, 0.012603, 66592, 4984, 4, 0, 56, 109, 63
do_package_write_rpm, 3733629, 44.04, 44, 7, 3987, 138, 637291346, 36645465, 324772, 3261, 319488, 22614016, 0, 0.440362, 0.077471, 67160, 31347, 2, 616, 1088, 234, 495, 39.871353, 1.383941, 640300, 234670, 1, 8, 43080, 74446, 14663
do_create_spdx, 3733614, 32.14, 795, 105, 14, 5, 45511240, 74314233, 6115, 107686, 147456, 24264704, 0, 7.95288, 1.056135, 97232, 101028, 8, 288, 46048, 150, 49045, 0.148022, 0.053894, 69944, 13764, 0, 0, 1344, 767, 352
do_package_qa, 3733664, 47.21, 980, 678, 1399, 1589, 238490743, 17223043, 185816, 9991, 196608, 589824, 0, 9.803541, 6.782535, 72108, 751453, 2, 32, 280, 2065, 84687, 13.992414, 15.892541, 69788, 5470186, 1049, 352, 872, 34541, 26866
