Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 621411, 0.45, 16, 2, 2, 0, 437824, 119883, 366, 200, 0, 102400, 0, 0.16120099999999998, 0.021901, 67500, 16040, 0, 0, 168, 27, 39, 0.025604, 0.0030629999999999998, 64704, 3984, 0, 0, 32, 70, 21
do_collect_spdx_deps, 702118, 0.01, 8, 0, 0, 0, 323835, 38978, 20, 39, 0, 53248, 0, 0.080612, 0.00403, 66876, 6714, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 780068, 0.50, 12, 3, 3, 0, 627377, 191124, 547, 243, 0, 131072, 0, 0.126461, 0.039744, 69488, 16117, 0, 0, 216, 39, 76, 0.039245999999999996, 0.001313, 66404, 5017, 1, 0, 40, 132, 119
do_configure, 691978, 0.11, 13, 3, 0, 0, 297013, 75468, 131, 189, 0, 69632, 0, 0.13182, 0.030757999999999997, 68872, 8521, 0, 0, 128, 32, 62, 0.001139, 0.003064, 65984, 599, 0, 0, 8, 5, 48
do_install, 692820, 0.26, 14, 3, 2, 1, 485034, 101977, 847, 425, 0, 94208, 4096, 0.149996, 0.032926, 59352, 13896, 0, 0, 152, 150, 214, 0.023462999999999998, 0.018411999999999998, 57272, 5637, 1, 0, 32, 195, 142
do_packagedata, 1358432, 0.70, 15, 3, 4, 1, 698279, 220928, 870, 303, 0, 192512, 0, 0.15994999999999998, 0.035988, 70684, 20844, 0, 0, 216, 74, 92, 0.044774999999999995, 0.011498, 67884, 6890, 0, 0, 160, 96, 184
do_compile, 692357, 0.05, 12, 2, 0, 0, 281369, 28017, 3159, 109, 0, 20480, 0, 0.127096, 0.028699, 68156, 7769, 0, 0, 40, 24, 72, 0.0, 0.0030499999999999998, 65456, 364, 0, 0, 0, 1, 24
do_create_runtime_spdx, 1489160, 1.14, 22, 2, 3, 1, 901506, 392411, 654, 243, 0, 151552, 0, 0.222353, 0.025172, 71924, 20677, 0, 0, 216, 62, 122, 0.032750999999999995, 0.013788, 68820, 5362, 0, 0, 80, 104, 83
do_fetch, 633127, 0.00, 3, 0, 0, 0, 261887, 16411, 13, 40, 0, 20480, 0, 0.036862, 0.004095, 65680, 4313, 0, 0, 40, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 1350043, 3.77, 58, 38, 74, 7, 2950551, 1889095, 3029, 856, 90112, 1875968, 0, 0.585943, 0.384161, 61788, 33994, 0, 152, 544, 394, 808, 0.743791, 0.075139, 59604, 23735, 0, 24, 3120, 963, 787
do_unpack, 672015, 0.02, 5, 0, 0, 0, 303023, 24501, 114, 64, 0, 36864, 0, 0.052384, 0.0, 66212, 7860, 0, 0, 56, 8, 2, 0.0030429999999999997, 0.002554, 62572, 1261, 0, 0, 16, 7, 1
do_prepare_recipe_sysroot, 691621, 0.02, 9, 1, 0, 0, 266299, 64992, 18, 41, 0, 69632, 0, 0.094218, 0.013958, 66876, 6596, 0, 0, 136, 0, 165, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 675937, 0.05, 5, 2, 0, 0, 933909, 637761, 303, 209, 0, 651264, 4096, 0.051524999999999994, 0.02378, 66580, 9799, 0, 0, 128, 6, 48, 0.007574999999999999, 0.002729, 61048, 964, 0, 0, 1144, 12, 4
do_package_write_rpm, 1488460, 2.24, 26, 4, 164, 9, 1251789, 404457, 1824, 460, 339968, 294912, 0, 0.261999, 0.046785, 63724, 23458, 0, 496, 464, 321, 335, 1.647469, 0.095353, 263144, 78976, 0, 168, 112, 1001, 634
do_package_qa, 1489091, 1.20, 15, 5, 4, 1, 620209, 215783, 886, 252, 0, 163840, 0, 0.155598, 0.056581, 63968, 16436, 0, 0, 264, 145, 287, 0.040052, 0.015903, 61764, 7423, 0, 0, 56, 136, 98
do_create_spdx, 1360626, 0.87, 18, 4, 3, 2, 1034200, 513332, 672, 287, 4096, 229376, 0, 0.181024, 0.045256, 72168, 21719, 0, 8, 344, 69, 113, 0.03533, 0.022012999999999998, 68532, 6292, 0, 0, 104, 208, 187
do_deploy_source_date_epoch, 690605, 0.45, 15, 3, 2, 0, 494910, 154214, 478, 275, 0, 114688, 0, 0.152786, 0.037265, 68532, 18391, 0, 0, 184, 51, 159, 0.028090999999999998, 0.0063289999999999996, 65732, 4680, 1, 0, 40, 81, 58
