Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 2575620, 6.81, 77, 62, 295, 67, 28603570, 8586602, 21645, 2555, 4096, 6303744, 2088960, 0.7788109999999999, 0.620096, 68404, 62391, 0, 8, 768, 558, 3474, 2.959788, 0.677728, 67960, 206489, 20, 0, 11544, 3231, 3975
do_collect_spdx_deps, 2695359, 0.10, 13, 0, 0, 0, 343548, 41188, 25, 41, 0, 53248, 0, 0.138547, 0.008659, 71500, 5452, 0, 0, 104, 0, 76, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2622811, 1.13, 20, 4, 4, 1, 832408, 269651, 896, 315, 0, 221184, 0, 0.20455299999999998, 0.049243999999999996, 73052, 23968, 0, 0, 224, 64, 102, 0.045881, 0.017017, 70308, 6888, 0, 0, 208, 116, 116
do_unpack, 678861, 0.11, 8, 3, 3, 2, 2971506, 3958966, 1039, 722, 0, 2473984, 0, 0.08762199999999999, 0.030667, 67108, 16272, 0, 0, 152, 30, 58, 0.033893, 0.02088, 63656, 7576, 0, 0, 4680, 213, 14
do_recipe_qa, 646153, 0.09, 8, 3, 1, 0, 514979, 120145, 389, 202, 0, 102400, 0, 0.088225, 0.030687, 67968, 16164, 0, 0, 168, 27, 8, 0.01355, 0.003593, 65168, 3986, 0, 0, 32, 124, 8
do_compile, 2553501, 6.19, 15, 1, 378, 51, 41308472, 5514056, 13647, 3207, 602112, 2105344, 0, 0.15967299999999998, 0.011682999999999999, 72516, 8408, 0, 0, 264, 86, 60, 3.785686, 0.511417, 69812, 136230, 4, 1176, 3848, 1601, 2638
do_install, 2566760, 3.63, 17, 3, 23, 7, 3600744, 1304772, 5616, 893, 32768, 1462272, 176128, 0.174387, 0.033215999999999996, 66124, 12263, 0, 0, 192, 311, 314, 0.234225, 0.074229, 64048, 40824, 0, 64, 2664, 594, 1860
do_fetch, 661526, 7.85, 10, 1, 0, 0, 565597, 312052, 358, 496, 0, 294912, 0, 0.104625, 0.019375, 66284, 8115, 0, 0, 144, 32, 77, 0.009590999999999999, 0.002571, 62888, 922, 0, 0, 432, 151, 4
do_package_write_rpm, 3093230, 5.64, 29, 6, 541, 26, 10049577, 1721944, 6189, 954, 2473984, 1105920, 0, 0.29108, 0.063278, 56628, 23531, 3, 1424, 512, 427, 483, 5.415301, 0.26845399999999997, 538836, 175457, 1, 3408, 1648, 2700, 2156
do_configure, 2540767, 0.20, 13, 2, 0, 0, 316364, 78383, 136, 191, 12288, 69632, 0, 0.131718, 0.02794, 72772, 8701, 0, 24, 128, 35, 70, 0.0053089999999999995, 0.0, 69900, 605, 0, 0, 8, 6, 37
do_prepare_recipe_sysroot, 2536830, 0.40, 18, 5, 1, 0, 887590, 171792, 386, 77, 258048, 188416, 0, 0.180939, 0.056005, 70420, 9011, 0, 496, 144, 40, 49, 0.01651, 0.0, 65296, 1756, 1, 8, 224, 27, 17
do_patch, 680273, 0.24, 7, 3, 19, 2, 2497171, 309152, 3610, 424, 0, 331776, 4096, 0.079284, 0.030202999999999997, 67216, 14772, 0, 0, 152, 33, 48, 0.196157, 0.024377, 61476, 57214, 1, 0, 496, 920, 59
do_create_spdx, 2715539, 1.17, 31, 6, 3, 4, 1801927, 1479558, 923, 1661, 176128, 552960, 0, 0.31032899999999997, 0.062042999999999994, 75264, 26842, 0, 344, 952, 101, 350, 0.038977, 0.043595999999999996, 71644, 7475, 0, 0, 128, 423, 240
do_create_runtime_spdx, 3095599, 1.54, 23, 3, 2, 1, 1411825, 423457, 804, 252, 253952, 172032, 0, 0.238146, 0.031062, 62076, 21841, 1, 496, 256, 89, 86, 0.029219, 0.016517, 58508, 5366, 0, 0, 80, 82, 73
do_package_qa, 3095491, 2.97, 46, 9, 23, 17, 3887508, 434303, 3523, 380, 45056, 159744, 0, 0.460447, 0.09805799999999999, 56696, 31975, 1, 88, 264, 88, 1722, 0.231712, 0.17693599999999998, 54424, 77911, 0, 0, 48, 378, 575
do_populate_lic, 745632, 0.37, 16, 3, 2, 1, 747304, 215198, 535, 252, 0, 143360, 0, 0.163265, 0.034171, 69588, 18236, 0, 0, 224, 23, 88, 0.027645, 0.01325, 66504, 5013, 0, 0, 56, 118, 73
do_deploy_source_date_epoch, 694080, 0.15, 15, 3, 1, 1, 571957, 153084, 470, 280, 0, 110592, 0, 0.152327, 0.036077, 68996, 18687, 0, 0, 176, 31, 9, 0.018382, 0.013167, 66196, 4685, 0, 0, 40, 103, 29
