Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_deploy_source_date_epoch, 565995, 0.28, 14, 2, 2, 0, 539999, 152498, 516, 278, 0, 114688, 0, 0.147275, 0.026434, 66884, 18402, 0, 0, 184, 60, 86, 0.020581, 0.009019, 64076, 4663, 0, 0, 40, 84, 101
do_collect_spdx_deps, 2606415, 0.18, 10, 0, 0, 0, 326871, 39418, 20, 39, 0, 53248, 0, 0.109398, 0.006836999999999999, 71616, 5184, 0, 0, 104, 0, 55, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2607393, 1.79, 32, 5, 6, 2, 1642143, 1183920, 921, 1159, 188416, 458752, 0, 0.324579, 0.056611999999999996, 75344, 29694, 0, 368, 776, 117, 272, 0.066661, 0.026469, 71724, 7689, 0, 0, 120, 397, 187
do_recipe_qa, 495664, 0.09, 10, 1, 0, 0, 477511, 120766, 370, 201, 0, 102400, 0, 0.107496, 0.016522, 66596, 16091, 0, 0, 168, 22, 7, 0.0095, 0.007623, 63796, 4003, 0, 0, 32, 134, 6
do_install, 2012112, 1.82, 25, 4, 8, 4, 1606002, 881251, 2580, 1970, 303104, 778240, 0, 0.25155099999999997, 0.048544, 66136, 14495, 0, 0, 200, 512, 267, 0.08552799999999999, 0.042695, 64052, 16506, 6, 592, 1320, 325, 799
do_package_write_rpm, 2832442, 8.74, 21, 4, 497, 22, 7111797, 1333152, 4228, 821, 323584, 872448, 0, 0.21193299999999998, 0.049198, 68592, 23408, 0, 544, 488, 569, 400, 4.972505, 0.22689299999999998, 645816, 187412, 0, 88, 1216, 1720, 2450
do_packagedata, 2061447, 0.59, 17, 2, 4, 1, 772973, 265029, 4889, 311, 0, 204800, 0, 0.17955, 0.026740999999999997, 72140, 21052, 0, 0, 216, 89, 58, 0.047563999999999995, 0.012258999999999999, 69340, 6935, 0, 0, 184, 151, 133
do_compile, 2009646, 3.10, 18, 3, 278, 59, 40090399, 4774426, 13336, 2956, 790528, 2347008, 487424, 0.184656, 0.03143, 70924, 8266, 0, 0, 464, 175, 68, 2.7848889999999997, 0.5982299999999999, 68232, 157700, 0, 1544, 4120, 1182, 1495
do_fetch, 496060, 0.91, 7, 0, 0, 0, 401013, 267005, 281, 387, 0, 204800, 0, 0.07321699999999999, 0.0040669999999999994, 64768, 6040, 0, 0, 200, 62, 2, 0.0014839999999999999, 0.002281, 61540, 801, 0, 0, 200, 65, 2
do_patch, 528409, 0.73, 7, 3, 75, 9, 11525806, 1766400, 17975, 2106, 0, 1761280, 4096, 0.079179, 0.037506, 65024, 26786, 0, 0, 216, 129, 19, 0.754713, 0.09254699999999999, 58832, 287103, 3, 0, 3224, 4740, 193
do_configure, 2009022, 0.17, 18, 2, 0, 0, 303637, 80322, 132, 190, 45056, 73728, 0, 0.18423399999999998, 0.023028999999999997, 71212, 8704, 0, 88, 136, 36, 68, 0.004933, 0.000641, 68324, 614, 0, 0, 8, 7, 34
do_prepare_recipe_sysroot, 2008257, 0.20, 13, 6, 0, 0, 810988, 166335, 205, 71, 765952, 184320, 0, 0.135349, 0.069725, 69168, 8323, 0, 1488, 152, 38, 300, 0.005379, 0.002724, 64048, 605, 0, 8, 208, 10, 2
do_unpack, 527334, 0.11, 6, 2, 5, 0, 1316546, 938069, 1317, 366, 98304, 696320, 0, 0.069842, 0.02465, 64884, 23092, 0, 0, 152, 70, 9, 0.051557, 0.009486999999999999, 61500, 17031, 3, 192, 1208, 115, 15
do_populate_sysroot, 2069083, 1.02, 21, 5, 7, 2, 2280606, 861153, 1633, 691, 0, 499712, 40960, 0.218504, 0.059254999999999995, 71332, 21534, 0, 0, 584, 167, 223, 0.072091, 0.024047, 69240, 12112, 0, 0, 392, 214, 227
do_package_qa, 2832738, 2.84, 26, 3, 10, 6, 2331670, 294821, 2215, 305, 266240, 155648, 0, 0.264609, 0.033541999999999995, 68676, 25502, 0, 512, 264, 75, 1120, 0.10024999999999999, 0.062598, 66472, 35986, 0, 8, 40, 177, 333
do_create_runtime_spdx, 2832966, 3.01, 16, 2, 2, 1, 1181242, 432623, 700, 252, 0, 176128, 0, 0.165109, 0.026267, 74628, 18850, 0, 0, 264, 59, 66, 0.02376, 0.013432999999999999, 71116, 5364, 0, 0, 80, 96, 71
do_populate_lic, 716510, 0.54, 13, 3, 3, 0, 603442, 166525, 551, 243, 4096, 135168, 0, 0.13883299999999998, 0.034707999999999996, 69248, 18192, 0, 8, 224, 44, 38, 0.034325999999999995, 0.009179999999999999, 66228, 4976, 0, 0, 40, 128, 97
do_package, 2039090, 3.22, 72, 54, 303, 39, 16808749, 5594541, 12040, 1633, 4096, 4042752, 909312, 0.7243419999999999, 0.542288, 67520, 50539, 0, 8, 648, 655, 2232, 3.03179, 0.399217, 65400, 102020, 1, 0, 7248, 3815, 2442
