Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 20414, 0.01, 3, 0, 0, 0, 332102, 40172, 26, 42, 0, 49152, 0, 0.03214, 0.004017, 58376, 4277, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7870, 0.15, 10, 2, 0, 1, 441246, 121289, 363, 210, 0, 106496, 0, 0.103554, 0.023011999999999998, 58292, 14936, 0, 0, 176, 20, 55, 0.009023, 0.010797, 55540, 3996, 0, 0, 32, 71, 56
do_install, 12090, 0.05, 6, 1, 1, 0, 534137, 124716, 594, 401, 0, 94208, 0, 0.063924, 0.011984999999999999, 58900, 12873, 0, 0, 96, 30, 5, 0.011689999999999999, 0.000394, 56204, 3757, 0, 0, 88, 51, 3
do_create_spdx, 20430, 0.08, 7, 1, 1, 0, 927640, 502123, 602, 284, 0, 237568, 0, 0.073847, 0.015545999999999999, 61252, 20398, 0, 0, 360, 41, 8, 0.019014, 0.000908, 58116, 5223, 0, 0, 104, 169, 6
do_compile, 11748, 0.03, 4, 1, 0, 0, 290195, 22015, 57, 82, 0, 20480, 0, 0.042931, 0.017172, 58896, 7618, 0, 0, 40, 2, 5, 0.0, 0.001318, 56204, 374, 0, 0, 0, 1, 0
do_fetch, 8502, 0.00, 5, 0, 0, 0, 270152, 17705, 19, 43, 0, 20480, 0, 0.053696999999999995, 0.0, 56960, 3876, 0, 0, 40, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 11282, 0.07, 7, 0, 1, 0, 498143, 149061, 463, 287, 0, 114688, 0, 0.078257, 0.007825, 58960, 17445, 0, 0, 184, 28, 5, 0.014695, 0.000917, 56160, 4686, 0, 0, 40, 143, 7
do_prepare_recipe_sysroot, 9065, 0.01, 4, 1, 0, 0, 273224, 66511, 20, 44, 0, 69632, 0, 0.049808, 0.016602, 56588, 3917, 0, 0, 136, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 11250, 0.02, 3, 0, 0, 0, 413535, 122063, 168, 83, 0, 126976, 4096, 0.036185999999999996, 0.00402, 57124, 7154, 0, 0, 120, 6, 2, 0.004379, 0.000343, 51476, 938, 0, 0, 128, 13, 1
do_populate_sysroot, 12665, 0.12, 10, 2, 4, 1, 1141450, 332514, 1350, 762, 0, 176128, 0, 0.10328899999999999, 0.027808, 59404, 28064, 0, 0, 304, 67, 14, 0.047277, 0.018406, 57012, 20382, 0, 0, 40, 251, 17
do_configure, 11496, 0.03, 5, 0, 0, 0, 304155, 62825, 84, 114, 0, 69632, 0, 0.058503, 0.0039, 58940, 7858, 0, 0, 128, 4, 2, 0.002044, 0.0, 56024, 611, 0, 0, 8, 6, 0
do_create_runtime_spdx, 787729, 0.48, 10, 2, 2, 0, 758440, 349449, 435, 237, 0, 135168, 0, 0.107004, 0.020576999999999998, 69120, 15236, 0, 0, 184, 51, 42, 0.024794999999999998, 0.0068379999999999995, 66320, 4226, 0, 0, 80, 88, 93
do_populate_lic, 750157, 0.21, 13, 3, 1, 1, 587643, 166269, 587, 250, 8192, 131072, 0, 0.134931, 0.038550999999999995, 69692, 17996, 1, 16, 224, 53, 42, 0.018919, 0.019317, 66608, 4952, 0, 0, 32, 86, 89
do_unpack, 9063, 0.02, 4, 1, 0, 0, 315146, 29635, 120, 67, 0, 36864, 0, 0.049798999999999996, 0.011491999999999999, 56588, 7118, 0, 0, 56, 8, 8, 0.006424999999999999, 0.0, 52944, 1269, 0, 0, 16, 3, 8
