Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 691077, 1.02, 16, 3, 7, 25, 2599122, 1366975, 15756, 2107, 73728, 7487488, 0, 0.16375199999999998, 0.035088999999999995, 59360, 14097, 0, 0, 152, 82, 292, 0.071549, 0.25345799999999996, 57280, 4093, 3, 144, 14472, 512, 11432
do_collect_spdx_deps, 700371, 0.01, 6, 0, 0, 0, 331862, 40141, 24, 41, 0, 49152, 0, 0.066427, 0.007814, 67036, 6683, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 588004, 0.33, 10, 3, 1, 0, 440108, 114667, 382, 202, 0, 98304, 0, 0.107168, 0.033259, 67548, 16100, 0, 0, 160, 35, 97, 0.018861, 0.006303, 64748, 3896, 0, 0, 32, 102, 96
do_packagedata, 1371594, 0.88, 15, 7, 4, 2, 1153937, 487016, 986, 348, 0, 364544, 0, 0.154044, 0.070723, 70532, 23288, 0, 0, 216, 44, 78, 0.040887, 0.024388999999999997, 67732, 6871, 0, 0, 496, 143, 81
do_populate_lic, 785419, 0.53, 11, 2, 2, 1, 543612, 160120, 554, 242, 0, 122880, 0, 0.11580299999999999, 0.027951999999999998, 69608, 15974, 0, 0, 208, 44, 85, 0.028029, 0.01166, 66524, 4836, 0, 0, 32, 96, 81
do_compile, 689939, 0.45, 11, 0, 7, 6, 2850747, 806999, 1012, 1493, 0, 4358144, 0, 0.117819, 0.009063, 68288, 8055, 0, 0, 64, 33, 53, 0.072726, 0.060537999999999995, 65576, 4390, 0, 0, 8448, 57, 72
do_fetch, 590737, 6.39, 7, 1, 0, 0, 271764, 41594, 21, 50, 0, 57344, 0, 0.075205, 0.011874, 65836, 6722, 0, 0, 112, 2, 55, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 1373895, 2.47, 40, 7, 8, 3, 4818824, 3015717, 1438, 716, 8192, 1482752, 0, 0.40224099999999996, 0.072786, 72184, 38198, 0, 16, 2648, 84, 170, 0.08846599999999999, 0.037707, 68616, 9647, 0, 0, 248, 784, 294
do_prepare_recipe_sysroot, 689090, 0.02, 10, 1, 0, 0, 274932, 66532, 24, 44, 0, 73728, 0, 0.10503799999999999, 0.018756, 67012, 6614, 0, 0, 144, 0, 100, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 669892, 0.04, 5, 2, 0, 0, 998067, 630571, 311, 201, 0, 647168, 4096, 0.053043, 0.020401, 66696, 10532, 0, 0, 120, 6, 4, 0.0050609999999999995, 0.004925, 61040, 935, 0, 0, 1144, 13, 1
do_configure, 689421, 0.13, 13, 2, 0, 0, 304439, 58805, 92, 110, 0, 65536, 0, 0.132686, 0.024124, 68568, 10496, 0, 0, 120, 5, 43, 0.003449, 0.003346, 65652, 708, 0, 0, 8, 8, 6
do_create_runtime_spdx, 1377709, 1.01, 28, 6, 3, 1, 5866665, 476830, 1410, 264, 0, 208896, 0, 0.285643, 0.065289, 72744, 25825, 0, 0, 328, 53, 67, 0.033253, 0.013519999999999999, 69012, 5309, 0, 0, 80, 116, 71
do_package_write_rpm, 1374078, 8.23, 28, 6, 995, 101, 13277345, 2808726, 27994, 1383, 0, 1310720, 0, 0.282128, 0.06661299999999999, 61508, 22217, 0, 0, 624, 313, 824, 9.959273, 1.013401, 857784, 364755, 2, 0, 1936, 32262, 7096
do_package, 1346507, 12.77, 301, 89, 1916, 81, 28637973, 10888108, 95802, 3717, 7499776, 10227712, 0, 3.016031, 0.897396, 64416, 47122, 0, 176, 2144, 1898, 28064, 19.168553, 0.812913, 278976, 258655, 5, 14472, 17832, 42715, 20875
do_deploy_source_date_epoch, 683894, 0.10, 12, 1, 1, 0, 488339, 137223, 461, 278, 0, 102400, 0, 0.12056, 0.019445, 68860, 18285, 0, 0, 160, 30, 9, 0.017631, 0.0056689999999999996, 66060, 4568, 0, 0, 40, 153, 10
do_package_qa, 1374126, 5.47, 51, 41, 2, 2, 4882525, 203173, 27951, 264, 0, 151552, 0, 0.5149009999999999, 0.412808, 62036, 15748, 0, 0, 256, 15959, 12401, 0.020869, 0.024564, 59828, 6346, 0, 0, 40, 157, 50
do_unpack, 634690, 0.02, 3, 1, 1, 0, 3395925, 4599836, 429, 416, 0, 2465792, 376832, 0.030618, 0.013122, 65940, 7814, 0, 0, 64, 8, 1, 0.014979, 0.0025659999999999997, 62248, 1691, 0, 0, 4752, 83, 5
