Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1478717, 0.14, 10, 0, 0, 0, 324235, 39258, 20, 39, 0, 49152, 0, 0.102575, 0.0046619999999999995, 69300, 4941, 0, 0, 96, 0, 27, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 3064119, 1.11, 19, 2, 3, 0, 2000171, 392738, 1087, 243, 327680, 151552, 0, 0.19769199999999998, 0.027676, 63296, 19462, 0, 640, 216, 81, 72, 0.032097, 0.00895, 59664, 5370, 0, 0, 80, 95, 108
do_recipe_qa, 643402, 0.19, 14, 2, 1, 0, 492775, 118657, 389, 200, 0, 102400, 0, 0.142167, 0.027642999999999997, 68200, 16191, 0, 0, 168, 40, 31, 0.016812, 0.0071649999999999995, 65400, 3984, 0, 0, 32, 76, 67
do_install, 1466725, 0.77, 15, 4, 3, 0, 516978, 128726, 888, 327, 241664, 135168, 8192, 0.15850699999999998, 0.041712, 61624, 13648, 0, 0, 152, 135, 268, 0.032604, 0.007454, 59544, 4595, 1, 472, 112, 235, 313
do_unpack, 673349, 0.04, 4, 1, 0, 0, 368973, 49061, 262, 92, 0, 65536, 0, 0.043051, 0.019568, 66360, 9843, 0, 0, 72, 15, 15, 0.007644, 0.009588, 62752, 3256, 0, 0, 56, 20, 5
do_packagedata, 1473810, 1.30, 20, 4, 5, 0, 727910, 241899, 858, 306, 0, 192512, 0, 0.205486, 0.043468, 70932, 23635, 0, 0, 224, 69, 69, 0.057697, 0.007411, 68128, 6901, 2, 0, 152, 116, 87
do_compile, 1445960, 0.13, 10, 0, 0, 0, 282830, 20752, 39, 79, 0, 24576, 0, 0.101161, 0.0, 69360, 5946, 0, 0, 48, 2, 20, 0.0, 0.002836, 66664, 370, 0, 0, 0, 1, 1
do_fetch, 647930, 0.01, 4, 0, 0, 0, 262283, 28873, 13, 56, 0, 24576, 0, 0.045471, 0.003789, 66144, 4334, 0, 0, 48, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 1468167, 5.97, 58, 40, 95, 8, 3269351, 1819440, 3688, 843, 12288, 1785856, 0, 0.581622, 0.408219, 63792, 34946, 0, 8, 544, 356, 995, 0.9535699999999999, 0.08048899999999999, 97520, 32538, 1, 16, 2944, 1001, 1033
do_prepare_recipe_sysroot, 1444127, 0.57, 11, 3, 0, 0, 802350, 165428, 201, 70, 49152, 180224, 0, 0.11610699999999999, 0.036032999999999996, 67800, 6165, 0, 96, 144, 14, 62, 0.006895999999999999, 0.0, 62552, 602, 0, 0, 208, 9, 4
do_patch, 678849, 0.05, 6, 1, 0, 0, 938609, 649939, 303, 225, 0, 655360, 4096, 0.06901399999999999, 0.015335999999999999, 66712, 9815, 0, 0, 136, 6, 7, 0.007776, 0.002742, 61120, 962, 0, 0, 1144, 11, 4
do_configure, 1445358, 0.41, 11, 1, 0, 0, 296801, 76290, 133, 192, 12288, 69632, 0, 0.119903, 0.012846, 69764, 6663, 0, 24, 128, 36, 39, 0.005320999999999999, 0.0, 66840, 608, 0, 0, 8, 7, 35
do_create_spdx, 1479710, 1.15, 17, 5, 5, 0, 1144629, 539410, 685, 304, 98304, 233472, 0, 0.17793199999999998, 0.055355999999999995, 72828, 21923, 0, 184, 352, 66, 83, 0.056076, 0.00692, 69196, 6286, 0, 8, 104, 214, 106
do_package_write_rpm, 3062358, 7.29, 28, 4, 136, 12, 1375749, 416665, 1866, 483, 630784, 303104, 0, 0.28159999999999996, 0.044251, 56964, 21162, 0, 896, 464, 310, 346, 1.363815, 0.12294, 270240, 83398, 3, 336, 128, 776, 648
do_populate_lic, 739229, 0.96, 15, 2, 2, 1, 599203, 163466, 527, 240, 0, 126976, 0, 0.153028, 0.020679, 69464, 18107, 0, 0, 216, 30, 177, 0.02336, 0.019847, 66376, 4957, 1, 0, 32, 109, 85
do_package_qa, 3063626, 1.53, 21, 2, 1, 2, 637698, 204644, 833, 246, 16384, 155648, 0, 0.217989, 0.029064999999999997, 56956, 14508, 0, 32, 264, 93, 354, 0.019497, 0.022468, 54624, 6483, 0, 0, 40, 97, 90
do_deploy_source_date_epoch, 692954, 0.18, 16, 2, 1, 1, 552950, 159067, 458, 320, 0, 110592, 0, 0.168737, 0.028808, 68532, 18337, 0, 0, 176, 37, 126, 0.016616, 0.016142, 65732, 4688, 0, 0, 40, 72, 80
