Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 23330, 3.10, 8, 0, 289, 28, 55565237, 2362177, 16614, 2560, 1642496, 1613824, 286720, 0.08601099999999999, 0.003909, 60872, 8302, 0, 0, 152, 97, 8, 2.898093, 0.285804, 58176, 293860, 18, 3208, 3000, 1106, 227
do_collect_spdx_deps, 31683, 0.02, 7, 1, 0, 0, 559429, 41987, 31, 47, 0, 53248, 0, 0.07618899999999999, 0.012029, 61540, 6908, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 716569, 0.47, 18, 2, 2, 1, 837296, 180859, 548, 257, 8192, 135168, 0, 0.18747799999999998, 0.024761, 70700, 18469, 1, 16, 224, 39, 76, 0.0294, 0.012721999999999999, 67616, 4883, 1, 0, 40, 98, 78
do_recipe_qa, 19733, 0.05, 7, 2, 1, 0, 678537, 124027, 390, 215, 0, 106496, 0, 0.072396, 0.025338, 60680, 16320, 0, 0, 176, 27, 1, 0.010974, 0.0026839999999999998, 57876, 3933, 0, 0, 32, 142, 6
do_install, 24384, 0.05, 7, 1, 0, 0, 1160772, 508767, 509, 264, 0, 503808, 0, 0.079016, 0.016635, 61328, 14203, 0, 0, 96, 24, 4, 0.009601, 0.0034549999999999997, 58632, 3305, 0, 0, 888, 51, 1
do_populate_sysroot, 24475, 0.13, 10, 4, 5, 1, 4556254, 1496544, 2237, 915, 0, 1134592, 0, 0.10832699999999999, 0.042557, 61752, 33739, 0, 0, 976, 109, 8, 0.056159, 0.012182, 59568, 19390, 1, 0, 1240, 284, 10
do_unpack, 21563, 0.08, 6, 1, 5, 1, 8880504, 12929482, 1832, 1441, 8192, 7372800, 0, 0.062367, 0.014391999999999999, 59928, 19664, 0, 0, 112, 56, 45, 0.051689, 0.014157999999999999, 56264, 13673, 0, 16, 14288, 287, 12
do_fetch, 19915, 1.93, 9, 0, 0, 0, 1938185, 1510161, 1495, 2159, 0, 1462272, 0, 0.095163, 0.003806, 59568, 8306, 0, 0, 160, 96, 7, 0.005056, 0.007359999999999999, 56004, 908, 0, 0, 2696, 902, 6
do_prepare_recipe_sysroot, 21664, 0.02, 5, 1, 0, 0, 500564, 68186, 27, 49, 0, 69632, 0, 0.056103, 0.012013999999999999, 59960, 6737, 0, 0, 136, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 21624, 0.86, 7, 4, 75, 26, 11627010, 3318446, 15014, 2050, 0, 3284992, 4096, 0.074123, 0.046814999999999996, 59984, 25394, 0, 0, 176, 109, 25, 0.7530749999999999, 0.261314, 54200, 238638, 0, 0, 6240, 3870, 192
do_configure, 23322, 0.03, 7, 1, 0, 0, 531294, 64333, 88, 119, 0, 69632, 0, 0.075213, 0.011281999999999999, 61144, 8593, 0, 0, 128, 4, 6, 0.002252, 0.0, 58228, 596, 0, 0, 8, 6, 0
do_create_runtime_spdx, 774073, 0.13, 12, 3, 1, 1, 984893, 349965, 412, 242, 0, 139264, 0, 0.125054, 0.032271999999999995, 70928, 16257, 0, 0, 192, 32, 42, 0.01261, 0.014131999999999999, 68128, 4157, 0, 0, 80, 77, 32
do_deploy_source_date_epoch, 23270, 0.07, 11, 0, 1, 0, 728172, 149507, 493, 295, 0, 114688, 0, 0.113938, 0.008138, 61148, 18533, 0, 0, 184, 35, 3, 0.010518, 0.005442, 58348, 4616, 0, 0, 40, 153, 7
do_create_spdx, 31690, 0.08, 9, 2, 1, 0, 1250415, 588521, 658, 466, 0, 237568, 0, 0.092475, 0.024124, 63424, 20658, 0, 0, 360, 40, 7, 0.019372, 0.002304, 60520, 5090, 0, 0, 104, 163, 13
