Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 181470, 0.04, 13, 2, 0, 0, 566863, 47601, 42, 54, 0, 49152, 0, 0.131706, 0.023946, 63576, 6957, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 734017, 0.44, 18, 2, 3, 0, 1166570, 270967, 650, 292, 106496, 147456, 0, 0.182194, 0.021689, 71100, 18566, 11, 208, 224, 48, 132, 0.037961, 0.0042829999999999995, 68024, 5048, 2, 0, 64, 102, 60
do_create_runtime_spdx, 784471, 0.38, 16, 5, 2, 0, 995445, 358256, 451, 249, 0, 135168, 0, 0.162378, 0.051484999999999996, 71264, 16270, 0, 0, 184, 52, 55, 0.027842, 0.003799, 68448, 4272, 0, 0, 80, 81, 95
do_recipe_qa, 18114, 0.05, 9, 1, 0, 0, 687075, 131046, 395, 222, 0, 106496, 0, 0.090335, 0.019638, 60432, 16293, 0, 0, 176, 24, 3, 0.008891999999999999, 0.0046689999999999995, 57632, 4010, 0, 0, 32, 128, 5
do_install, 295396, 0.16, 12, 2, 17, 3, 9702298, 211963, 6966, 553, 0, 192512, 65536, 0.128219, 0.02068, 65268, 14311, 0, 0, 152, 44, 11, 0.17252199999999998, 0.034988, 62576, 36139, 4, 0, 224, 530, 247
do_compile, 290199, 0.41, 10, 1, 118, 20, 16898142, 504843, 8410, 1168, 0, 385024, 57344, 0.108222, 0.012024, 65160, 8367, 0, 0, 264, 41, 4, 1.185074, 0.20554599999999998, 62460, 163965, 2, 0, 488, 1646, 760
do_fetch, 18163, 6.88, 17, 1, 2, 4, 8946385, 8474600, 8124, 11967, 0, 8437760, 0, 0.17852099999999999, 0.012454, 66468, 9414, 0, 0, 136, 517, 17, 0.02728, 0.041447, 55424, 898, 0, 0, 16344, 5512, 17
do_prepare_recipe_sysroot, 189824, 0.14, 12, 1, 0, 0, 1304865, 826760, 336, 251, 0, 856064, 0, 0.12326, 0.012326, 63976, 8089, 0, 0, 136, 2, 42, 0.006685, 0.00737, 58344, 612, 0, 0, 1536, 22, 8
do_patch, 151728, 0.22, 9, 2, 13, 2, 2413090, 403204, 3046, 399, 0, 405504, 4096, 0.09458799999999999, 0.020562, 63060, 13873, 0, 0, 152, 29, 10, 0.138288, 0.028428, 57408, 47749, 1, 0, 640, 757, 68
do_deploy_source_date_epoch, 153634, 0.14, 17, 2, 1, 1, 760353, 161041, 563, 296, 0, 118784, 0, 0.173005, 0.021625, 64260, 18742, 0, 0, 192, 70, 65, 0.013873, 0.013332, 61436, 4687, 0, 0, 40, 115, 78
do_configure, 189996, 18.81, 37, 6, 1305, 259, 302066263, 47407447, 152443, 46077, 286720, 46030848, 27148288, 0.377523, 0.061551999999999996, 65276, 16523, 0, 0, 400, 670, 124, 13.050942, 2.593202, 62584, 2020867, 115, 560, 89504, 14417, 5889
do_populate_sysroot, 298608, 0.21, 17, 4, 4, 2, 1452369, 469307, 1433, 878, 0, 311296, 0, 0.17995, 0.049076999999999996, 65788, 29969, 0, 0, 456, 86, 23, 0.04307, 0.025904999999999997, 63580, 11828, 0, 0, 152, 175, 37
do_create_spdx, 182497, 0.29, 20, 3, 2, 1, 1239135, 530590, 655, 329, 0, 225280, 0, 0.209832, 0.032914, 65856, 20910, 0, 0, 336, 58, 75, 0.024406999999999998, 0.013776, 62956, 5214, 0, 0, 104, 79, 91
do_unpack, 145378, 0.68, 16, 3, 48, 15, 88028560, 151479840, 15728, 20352, 40960, 81842176, 0, 0.163126, 0.037644, 63008, 15004, 0, 0, 152, 26, 64, 0.48543, 0.150834, 59548, 7687, 2, 80, 159696, 8304, 2923
