Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 1528046, 109.98, 37, 6, 1627, 328, 365678302, 52984772, 159876, 49296, 3309568, 49700864, 29196288, 0.37387899999999996, 0.06984499999999999, 70876, 19417, 0, 312, 464, 713, 190, 16.279734, 3.285633, 67964, 1835158, 72, 6152, 96608, 20051, 17946
do_collect_spdx_deps, 1453362, 0.23, 10, 1, 0, 0, 346658, 44594, 34, 46, 606208, 53248, 0, 0.108583, 0.018097, 69516, 7206, 0, 1184, 104, 25, 32, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 240440, 0.12, 14, 2, 1, 0, 549510, 163783, 478, 287, 0, 118784, 0, 0.148523, 0.020055999999999997, 64236, 18606, 0, 0, 192, 28, 12, 0.017009, 0.008239, 61432, 4695, 0, 0, 40, 131, 13
do_recipe_qa, 26907, 0.06, 8, 0, 1, 0, 464612, 126518, 395, 207, 0, 102400, 0, 0.084544, 0.008454, 60980, 15804, 0, 0, 168, 29, 3, 0.013491999999999999, 0.0021019999999999997, 58168, 3989, 0, 0, 32, 115, 13
do_install, 1786540, 3.37, 16, 2, 53, 17, 20300901, 9770732, 12021, 855, 9572352, 9801728, 9576448, 0.16941399999999998, 0.020659999999999998, 64848, 11804, 0, 0, 232, 231, 259, 0.535723, 0.171593, 62752, 90220, 7, 18696, 18912, 1619, 2407
do_compile, 1776686, 2.33, 11, 0, 163, 29, 19001649, 1293330, 9233, 1596, 163840, 569344, 57344, 0.11792499999999999, 0.00737, 70884, 6136, 0, 0, 352, 82, 122, 1.633191, 0.29284899999999997, 68184, 162227, 6, 320, 760, 2111, 1429
do_packagedata, 1817468, 0.79, 17, 4, 5, 0, 809755, 295804, 907, 319, 0, 204800, 0, 0.17835399999999998, 0.041742, 72348, 23669, 0, 0, 224, 77, 122, 0.057782999999999994, 0.002315, 69548, 6919, 0, 0, 176, 120, 106
do_fetch, 26964, 0.01, 4, 1, 0, 0, 285629, 78943, 29, 87, 0, 65536, 0, 0.044654, 0.012178, 59152, 4486, 0, 0, 128, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 1806732, 2.61, 69, 42, 138, 18, 6304601, 2733325, 6609, 1119, 32768, 2318336, 225280, 0.697803, 0.420182, 66608, 39592, 0, 56, 624, 340, 2169, 1.388239, 0.18284999999999998, 64404, 43711, 0, 8, 3904, 1766, 1298
do_populate_lic, 729523, 0.53, 15, 3, 3, 0, 898982, 266061, 649, 277, 106496, 143360, 0, 0.159471, 0.038895, 69520, 18420, 11, 208, 216, 62, 38, 0.038023, 0.0047929999999999995, 66420, 5019, 0, 0, 64, 92, 343
do_prepare_recipe_sysroot, 1527309, 0.27, 13, 7, 1, 0, 1844210, 1141472, 571, 327, 36864, 1196032, 0, 0.13007, 0.071328, 68236, 8603, 0, 72, 160, 19, 29, 0.016864999999999998, 0.005422, 63244, 1204, 0, 0, 2176, 20, 25
do_package_write_rpm, 3042141, 3.20, 24, 3, 297, 10, 2526058, 673600, 2220, 627, 802816, 458752, 0, 0.247753, 0.031532, 57172, 23742, 0, 1056, 496, 302, 403, 2.970053, 0.10894699999999999, 331432, 100548, 1, 512, 400, 1413, 1100
do_patch, 234422, 0.21, 8, 2, 15, 3, 4005269, 405890, 3289, 393, 0, 409600, 4096, 0.086211, 0.025862999999999997, 63920, 12946, 0, 0, 160, 29, 7, 0.15201499999999998, 0.030292999999999997, 56652, 47346, 0, 0, 640, 760, 53
do_populate_sysroot, 1802899, 0.69, 24, 4, 5, 2, 1337902, 500965, 1247, 604, 0, 380928, 32768, 0.247751, 0.042581999999999995, 71452, 24658, 0, 0, 544, 127, 279, 0.054171, 0.022588, 69336, 10443, 1, 0, 200, 178, 162
do_create_runtime_spdx, 3042424, 0.99, 13, 3, 3, 0, 1027632, 412752, 599, 254, 40960, 163840, 0, 0.134162, 0.030293999999999998, 62340, 21103, 0, 80, 232, 35, 53, 0.038838, 0.005101, 58764, 5381, 0, 0, 88, 93, 63
do_create_spdx, 1820031, 0.72, 21, 6, 4, 1, 1329717, 688472, 743, 459, 147456, 290816, 0, 0.211833, 0.060018999999999996, 74228, 25881, 0, 288, 456, 53, 326, 0.048436, 0.017225999999999998, 70600, 6577, 0, 0, 112, 289, 159
do_package_qa, 3042225, 1.83, 22, 3, 5, 2, 1134221, 235274, 1380, 266, 135168, 159744, 0, 0.221911, 0.036985, 56604, 21033, 5, 256, 272, 93, 758, 0.054535, 0.022409, 54316, 13128, 0, 8, 40, 145, 136
do_unpack, 165298, 0.72, 10, 2, 50, 18, 87808352, 151481606, 16115, 20256, 32768, 81846272, 0, 0.101962, 0.021242, 61844, 12552, 0, 0, 160, 25, 48, 0.501996, 0.189765, 58328, 7693, 0, 64, 159696, 8794, 6460
