Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1452443, 0.14, 13, 1, 0, 0, 343731, 43568, 32, 45, 118784, 53248, 0, 0.133443, 0.013344, 69476, 5178, 0, 232, 104, 27, 32, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 1601034, 0.74, 20, 2, 2, 1, 1208778, 531430, 706, 292, 12288, 229376, 0, 0.204457, 0.029207999999999998, 73828, 24517, 0, 24, 344, 46, 25, 0.024166, 0.016061, 70196, 6306, 0, 0, 104, 394, 53
do_recipe_qa, 29487, 0.05, 7, 1, 1, 0, 462710, 124273, 386, 206, 0, 102400, 0, 0.075123, 0.019769, 61380, 15846, 0, 0, 168, 24, 4, 0.012516999999999999, 0.001008, 58580, 3993, 0, 0, 32, 114, 8
do_fetch, 29536, 13.30, 3, 1, 0, 0, 443672, 164387, 307, 301, 0, 167936, 0, 0.037734, 0.015092999999999999, 59520, 5845, 0, 0, 120, 31, 5, 0.008638, 0.0, 56184, 899, 0, 0, 208, 79, 0
do_install, 1539543, 0.23, 16, 4, 4, 1, 751044, 195159, 1145, 256, 16384, 192512, 0, 0.16680899999999999, 0.041701999999999996, 62448, 13839, 0, 0, 184, 114, 315, 0.042319999999999997, 0.018368, 60372, 8593, 0, 32, 192, 116, 232
do_unpack, 31814, 0.01, 4, 0, 0, 0, 812946, 765370, 185, 124, 0, 417792, 0, 0.042572, 0.0077399999999999995, 60100, 8102, 0, 0, 56, 8, 51, 0.007346999999999999, 0.0, 56540, 1456, 0, 0, 760, 22, 2
do_packagedata, 1557551, 0.44, 18, 3, 3, 2, 730129, 228698, 855, 311, 0, 200704, 0, 0.18728, 0.035862, 71648, 21125, 0, 0, 224, 51, 96, 0.034761, 0.023674999999999998, 68840, 6915, 0, 0, 168, 168, 50
do_compile, 1538835, 0.06, 13, 1, 0, 0, 337747, 38300, 102, 123, 0, 36864, 0, 0.135852, 0.011644, 69852, 8102, 0, 0, 72, 2, 66, 0.001104, 0.003009, 67160, 546, 0, 0, 0, 3, 3
do_populate_sysroot, 1540422, 0.47, 23, 3, 3, 2, 1027803, 398539, 1127, 553, 0, 221184, 0, 0.231656, 0.035337, 70100, 22355, 0, 0, 352, 189, 95, 0.037451, 0.02052, 67284, 7410, 0, 0, 80, 134, 223
do_configure, 1527850, 5.45, 23, 3, 105, 13, 17131236, 1908317, 16955, 5106, 385024, 1601536, 344064, 0.238639, 0.039120999999999996, 70844, 16767, 0, 552, 280, 185, 161, 1.058361, 0.137231, 67928, 112341, 4, 200, 2848, 2169, 1951
do_prepare_recipe_sysroot, 1527373, 0.22, 12, 5, 1, 0, 1750152, 1052271, 541, 303, 28672, 1097728, 0, 0.128156, 0.050484999999999995, 68268, 8621, 0, 56, 144, 16, 108, 0.015534999999999998, 0.004676, 63100, 1199, 0, 0, 2000, 14, 54
do_patch, 247191, 0.08, 7, 1, 4, 1, 1383290, 709292, 862, 274, 0, 741376, 4096, 0.07386899999999999, 0.016415, 62976, 9649, 0, 0, 136, 13, 48, 0.044456999999999997, 0.011477, 56816, 9450, 0, 0, 1312, 144, 9
do_package, 1549871, 1.19, 58, 37, 137, 14, 3920489, 2072147, 3289, 863, 0, 1884160, 0, 0.580371, 0.376241, 64604, 32600, 0, 0, 568, 1116, 398, 1.374325, 0.14088299999999998, 62416, 25310, 3, 0, 3112, 2303, 965
do_populate_lic, 715543, 0.43, 17, 2, 2, 1, 624907, 170373, 573, 247, 8192, 131072, 0, 0.178915, 0.021299, 69452, 18346, 1, 16, 216, 51, 138, 0.026539999999999998, 0.015191999999999999, 66352, 4968, 1, 0, 40, 103, 102
do_create_runtime_spdx, 2822383, 0.92, 13, 2, 3, 0, 949509, 397847, 637, 250, 4096, 159744, 0, 0.133798, 0.025086999999999998, 74612, 18830, 0, 8, 224, 59, 194, 0.035754, 0.008352, 71096, 5358, 0, 0, 88, 109, 85
do_package_write_rpm, 2821901, 4.32, 24, 5, 204, 14, 1947406, 478364, 1776, 498, 200704, 339968, 0, 0.24904199999999999, 0.059295, 68416, 23631, 0, 304, 464, 233, 324, 2.041126, 0.147902, 195636, 81180, 0, 88, 200, 1176, 967
do_package_qa, 2822220, 1.05, 22, 4, 3, 1, 726415, 209809, 929, 253, 282624, 159744, 0, 0.22405599999999998, 0.040736999999999995, 68216, 16508, 0, 552, 272, 212, 369, 0.030827, 0.017231, 66000, 6462, 0, 0, 40, 83, 117
do_deploy_source_date_epoch, 249227, 0.22, 12, 4, 2, 0, 545538, 162251, 494, 288, 0, 114688, 0, 0.126854, 0.049971999999999996, 64340, 18443, 0, 0, 184, 42, 136, 0.020935, 0.006253, 61540, 4681, 0, 0, 40, 94, 52
