Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 745164, 0.30, 15, 3, 2, 1, 597098, 191488, 542, 244, 0, 135168, 0, 0.15950799999999998, 0.034179999999999995, 69436, 18159, 0, 0, 216, 37, 57, 0.023132999999999997, 0.016742, 66352, 4971, 0, 0, 48, 136, 59
do_collect_spdx_deps, 1479368, 0.29, 15, 1, 0, 0, 323236, 39184, 20, 39, 0, 49152, 0, 0.15614799999999998, 0.011425, 69148, 5093, 0, 0, 96, 0, 30, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 3451133, 2.87, 30, 3, 236, 18, 6361460, 1032294, 2297, 568, 1916928, 700416, 0, 0.30868599999999996, 0.034770999999999996, 58044, 23307, 1, 2184, 472, 373, 319, 2.364011, 0.182399, 267936, 101021, 0, 1560, 896, 1608, 948
do_recipe_qa, 645749, 0.12, 9, 1, 1, 0, 437361, 119148, 365, 200, 0, 102400, 0, 0.094953, 0.015191999999999999, 67848, 16083, 0, 0, 168, 25, 8, 0.010961, 0.007339999999999999, 65048, 3975, 0, 0, 32, 120, 10
do_install, 1478522, 0.46, 18, 2, 1, 0, 811458, 520274, 454, 173, 0, 528384, 0, 0.190072, 0.023759, 61808, 13866, 0, 0, 152, 83, 291, 0.01453, 0.005931, 59700, 2172, 0, 0, 880, 17, 84
do_create_spdx, 1487215, 1.87, 21, 6, 5, 1, 1868942, 634709, 724, 431, 831488, 274432, 0, 0.218892, 0.06129, 73584, 25626, 0, 1624, 424, 79, 107, 0.053866, 0.01611, 70668, 6565, 1, 0, 112, 242, 135
do_packagedata, 1485696, 1.23, 19, 2, 5, 0, 711468, 223128, 887, 303, 0, 192512, 0, 0.192771, 0.020953, 70564, 23273, 0, 0, 216, 83, 113, 0.056297, 0.006336, 67756, 6885, 0, 0, 160, 121, 172
do_package_qa, 3451144, 1.06, 29, 5, 3, 3, 1973823, 217721, 1230, 259, 1277952, 155648, 0, 0.299074, 0.056581, 58124, 21189, 22, 2400, 264, 199, 634, 0.035639, 0.034304999999999995, 55848, 11064, 0, 96, 40, 323, 182
do_compile, 1465826, 17.08, 9, 1, 367, 21, 13824971, 5214100, 3687, 1406, 1060864, 2269184, 561152, 0.09257599999999999, 0.013715, 70028, 5965, 0, 0, 104, 47, 53, 3.678176, 0.212498, 70184, 60906, 0, 2072, 4328, 978, 1830
do_deploy_source_date_epoch, 693750, 0.14, 15, 4, 2, 0, 493046, 152628, 458, 279, 0, 110592, 0, 0.15162, 0.040678, 68868, 18563, 0, 0, 176, 28, 33, 0.026441, 0.004677, 66064, 4654, 0, 0, 40, 110, 29
do_fetch, 660008, 0.30, 9, 0, 0, 0, 387122, 147399, 259, 272, 0, 151552, 0, 0.09622, 0.008017999999999999, 66148, 8128, 0, 0, 120, 59, 32, 0.0041199999999999995, 0.002417, 62436, 811, 0, 0, 176, 60, 4
do_unpack, 673717, 0.03, 4, 1, 0, 0, 1972138, 2373187, 309, 223, 0, 1634304, 0, 0.045101999999999996, 0.0123, 66720, 9163, 0, 0, 64, 12, 4, 0.009171, 0.005415, 63100, 2513, 0, 0, 3128, 37, 1
do_prepare_recipe_sysroot, 1444725, 0.38, 10, 4, 0, 0, 801330, 165244, 201, 69, 49152, 176128, 0, 0.107445, 0.042977999999999995, 67688, 6256, 0, 96, 144, 14, 33, 0.006774, 0.0, 62444, 597, 0, 0, 200, 10, 1
do_patch, 680243, 0.16, 7, 2, 10, 1, 4004015, 1398034, 2178, 554, 0, 1462272, 4096, 0.07046899999999999, 0.029016, 67292, 12864, 0, 0, 136, 21, 7, 0.103489, 0.018789999999999998, 61476, 28543, 1, 0, 2720, 472, 41
do_create_runtime_spdx, 3536058, 0.87, 14, 3, 3, 1, 1891155, 403040, 1613, 245, 208896, 159744, 0, 0.145527, 0.038113999999999995, 60072, 19056, 4, 408, 232, 53, 104, 0.034455, 0.010775, 56424, 5337, 0, 0, 80, 133, 57
do_configure, 1445532, 0.42, 11, 1, 1, 0, 393264, 102429, 191, 615, 16384, 65536, 0, 0.110437, 0.015776, 69548, 6488, 0, 24, 120, 6, 148, 0.016982999999999998, 0.0, 66672, 2366, 0, 8, 8, 41, 9
do_package, 1479595, 5.32, 72, 45, 100, 11, 12211437, 5471332, 5803, 1208, 86016, 3878912, 1028096, 0.728914, 0.45894599999999997, 63816, 36965, 0, 168, 576, 352, 1393, 1.002966, 0.11571999999999999, 61628, 32803, 2, 0, 7000, 1192, 829
