Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 41437, 0.05, 6, 1, 0, 0, 494256, 125360, 399, 209, 0, 102400, 0, 0.067007, 0.015766, 61872, 15852, 0, 0, 168, 28, 4, 0.009814, 0.0039629999999999995, 59064, 3988, 0, 0, 32, 130, 13
do_collect_spdx_deps, 2734431, 0.13, 15, 1, 0, 0, 361985, 46075, 39, 48, 0, 49152, 0, 0.15791, 0.019257, 72648, 5335, 0, 0, 96, 0, 106, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 2826152, 11.63, 24, 5, 64, 27, 38022398, 32089370, 27957, 2465, 9678848, 32776192, 8192, 0.247245, 0.052981, 68012, 14140, 0, 0, 328, 1267, 300, 0.6442669999999999, 0.270092, 65900, 114375, 0, 18904, 63688, 4208, 3108
do_packagedata, 2861870, 1.15, 20, 3, 4, 1, 980209, 347099, 959, 328, 4096, 270336, 0, 0.205064, 0.031702, 74044, 23626, 0, 8, 240, 90, 81, 0.049094, 0.011693, 71220, 6962, 0, 0, 288, 133, 110
do_compile, 2729273, 64.42, 33, 4, 11425, 1063, 1141296496, 262716765, 223049, 76096, 16400384, 75644928, 6770688, 0.33126099999999997, 0.042589999999999996, 74028, 7275, 0, 0, 6080, 1323, 24, 114.254711, 10.63208, 250028, 5476230, 76, 32032, 141664, 60270, 86058
do_unpack, 308184, 0.36, 9, 1, 24, 9, 55093576, 97993364, 9354, 14894, 20480, 58171392, 0, 0.095825, 0.015969999999999998, 63508, 8731, 0, 0, 128, 8, 11, 0.246881, 0.09181399999999999, 59660, 3548, 0, 40, 113488, 4808, 2503
do_configure, 2660201, 44.07, 31, 4, 696, 100, 117451377, 21496252, 60220, 19290, 3633152, 19038208, 10534912, 0.314911, 0.048789, 73172, 20715, 0, 408, 352, 379, 107, 6.968989, 1.003012, 70296, 709613, 50, 6688, 36832, 8362, 5733
do_fetch, 41486, 0.01, 3, 1, 0, 0, 300951, 45697, 34, 57, 0, 53248, 0, 0.03759, 0.01253, 60092, 4573, 0, 0, 104, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 2863869, 36.53, 27, 8, 2394, 40, 257964467, 29119464, 14397, 2003, 0, 19349504, 0, 0.27106199999999997, 0.087809, 69152, 21406, 0, 0, 552, 407, 559, 23.948505, 0.40431, 558536, 189693, 0, 0, 37240, 6079, 8342
do_prepare_recipe_sysroot, 2651880, 9.20, 20, 14, 2, 1, 3341184, 2090512, 956, 572, 811008, 2195456, 0, 0.204099, 0.14882199999999998, 72436, 10105, 0, 1568, 192, 74, 96, 0.024072999999999997, 0.011158, 67548, 1243, 0, 16, 4096, 31, 56
do_patch, 311432, 0.04, 10, 2, 0, 0, 983364, 120440, 269, 83, 0, 126976, 4096, 0.10302, 0.024707, 63512, 11847, 0, 0, 120, 6, 6, 0.004229999999999999, 0.004007999999999999, 57468, 938, 0, 0, 128, 13, 2
do_package_qa, 2863958, 3.20, 44, 13, 11, 9, 51764511, 319855, 11157, 316, 0, 159744, 0, 0.445905, 0.138533, 76460, 28673, 0, 0, 272, 143, 8287, 0.113324, 0.095431, 73532, 39697, 2, 0, 40, 269, 343
do_populate_lic, 716452, 0.48, 17, 4, 3, 1, 815926, 231876, 565, 257, 32768, 139264, 0, 0.170521, 0.04263, 69496, 18392, 1, 64, 216, 34, 71, 0.033784999999999996, 0.011406999999999999, 66456, 4981, 0, 0, 56, 86, 104
do_populate_sysroot, 2839126, 7.60, 33, 6, 28, 4, 70879536, 43008324, 9866, 2657, 8192, 30134272, 3309568, 0.335476, 0.062901, 73808, 29859, 0, 16, 41640, 165, 163, 0.284112, 0.047875999999999995, 72024, 26259, 0, 0, 17216, 425, 443
do_create_runtime_spdx, 2867737, 1.08, 21, 4, 3, 0, 2691644, 413741, 829, 257, 0, 167936, 0, 0.215195, 0.046951, 75760, 23489, 0, 0, 240, 34, 77, 0.036501, 0.005722, 72244, 5386, 0, 0, 88, 113, 60
do_package, 2841010, 19.64, 151, 54, 505, 70, 412580788, 195984499, 79982, 17977, 49152, 116043776, 48488448, 1.5129839999999999, 0.54184, 70388, 59829, 0, 88, 1336, 1275, 13396, 5.058075, 0.704259, 431012, 274599, 1, 8, 225312, 14341, 10922
do_create_spdx, 2863348, 3.59, 56, 7, 4, 3, 2909449, 2163960, 1020, 1594, 12288, 909312, 0, 0.563044, 0.072513, 81276, 30905, 0, 24, 1576, 86, 733, 0.042658, 0.032799999999999996, 72536, 7128, 1, 0, 200, 292, 164
do_deploy_source_date_epoch, 315110, 0.25, 13, 2, 2, 0, 562587, 161482, 494, 285, 0, 114688, 0, 0.13781, 0.020266, 65676, 18733, 0, 0, 184, 45, 32, 0.020007, 0.007717, 62876, 4683, 0, 0, 40, 96, 69
