Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 825406, 0.16, 11, 1, 3, 1, 937642, 141777, 719, 148, 0, 159744, 4096, 0.11807799999999999, 0.012215, 69084, 9949, 0, 0, 128, 13, 451, 0.035604, 0.017802, 62984, 9410, 0, 0, 184, 144, 107
do_recipe_qa, 792928, 0.45, 15, 2, 2, 0, 722712, 132620, 439, 228, 0, 106496, 0, 0.15504199999999999, 0.022688999999999997, 70540, 14434, 0, 0, 176, 53, 118, 0.021595, 0.007937999999999999, 67740, 4037, 0, 0, 32, 68, 75
do_install, 3957096, 0.46, 19, 0, 26, 3, 9877216, 775692, 954, 209, 0, 761856, 0, 0.19433, 0.007930999999999999, 60052, 13902, 0, 0, 72, 24, 53, 0.26506799999999997, 0.035819, 57352, 7541, 0, 0, 1416, 11, 63
do_deploy_source_date_epoch, 827346, 0.34, 21, 2, 1, 1, 776087, 179637, 3348, 413, 0, 118784, 0, 0.21890199999999999, 0.026959, 70964, 17263, 0, 0, 192, 82, 240, 0.015215, 0.01758, 68164, 4663, 0, 0, 40, 78, 196
do_write_config, 793928, 0.08, 14, 2, 0, 0, 545934, 51203, 107, 102, 0, 36864, 0, 0.148089, 0.027278999999999998, 70208, 6796, 0, 0, 56, 11, 80, 0.003833, 0.000504, 67500, 569, 0, 0, 16, 5, 10
do_compile, 3951747, 3.01, 10, 1, 863, 82, 100360579, 5429245, 19130, 2572, 2478080, 2801664, 417792, 0.101045, 0.012629999999999999, 60012, 8911, 0, 0, 280, 55, 5, 8.638455, 0.820325, 120828, 353241, 20, 4840, 5192, 1382, 1760
do_fetch, 794138, 10.28, 14, 1, 237, 12, 30734947, 30245394, 27440, 8863, 0, 10608640, 12288, 0.147857, 0.018482, 68700, 8601, 0, 0, 160, 201, 106, 2.373392, 0.124093, 68432, 36334, 1, 0, 20560, 10647, 163
do_prepare_recipe_sysroot, 3950469, 0.17, 13, 8, 1, 0, 3259921, 1752388, 845, 496, 360448, 1839104, 0, 0.130713, 0.08318099999999999, 61348, 8701, 2, 704, 160, 26, 2, 0.011618, 0.00316, 56452, 638, 0, 0, 3432, 10, 1
do_populate_sysroot, 3957862, 0.96, 27, 6, 8, 4, 5504978, 2484682, 2197, 1000, 8192, 1757184, 0, 0.27541499999999997, 0.067855, 60880, 31838, 0, 8, 1704, 235, 151, 0.08639, 0.049789, 58352, 16308, 0, 8, 1728, 230, 299
do_configure, 3950598, 1.85, 13, 1, 107, 20, 31993000, 5332827, 13143, 4015, 217088, 6275072, 786432, 0.136383, 0.016045, 60424, 12910, 0, 8, 168, 9, 13, 1.076427, 0.205389, 57492, 197286, 1, 416, 12088, 980, 106
do_populate_lic, 827353, 0.31, 14, 2, 2, 1, 827617, 177540, 585, 268, 0, 126976, 0, 0.14793499999999998, 0.027250999999999997, 71252, 16867, 0, 0, 216, 45, 254, 0.024347999999999998, 0.013429, 68168, 4982, 0, 0, 32, 97, 188
do_unpack, 823671, 0.28, 7, 2, 16, 8, 4884372, 79627941, 2061, 5493, 0, 80699392, 8192, 0.07292499999999999, 0.029169999999999998, 69068, 14086, 0, 0, 72, 33, 7, 0.16363, 0.083692, 108256, 43637, 0, 0, 157544, 53, 22
