Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1454280, 0.10, 13, 0, 0, 0, 332042, 40238, 23, 40, 0, 49152, 0, 0.13350299999999998, 0.003926, 69320, 7027, 0, 0, 96, 0, 65, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 58700, 0.20, 5, 0, 13, 5, 4750669, 24276718, 3207, 1071, 0, 24535040, 12288, 0.05216, 0.008693, 60900, 12349, 0, 0, 80, 31, 11, 0.130415, 0.055726, 63848, 32491, 0, 0, 47840, 62, 12
do_recipe_qa, 33614, 0.06, 6, 2, 1, 0, 455057, 119944, 391, 201, 0, 102400, 0, 0.061007, 0.024402, 62044, 15858, 0, 0, 168, 26, 5, 0.010783, 0.002979, 59244, 3995, 0, 0, 32, 128, 9
do_install, 1445344, 1.30, 21, 4, 2, 7, 24652976, 24271959, 4574, 3535, 23302144, 24322048, 0, 0.216808, 0.040907, 61588, 14232, 0, 0, 184, 248, 333, 0.02332, 0.075296, 59492, 3630, 0, 45512, 47320, 1120, 410
do_deploy_source_date_epoch, 282949, 0.11, 12, 1, 1, 0, 529772, 155281, 465, 282, 0, 114688, 0, 0.128972, 0.016121, 64968, 18617, 0, 0, 184, 30, 13, 0.017424, 0.006303, 62168, 4672, 0, 0, 40, 123, 14
do_packagedata, 1452248, 1.07, 20, 4, 4, 1, 726833, 229071, 879, 305, 0, 188416, 0, 0.20976399999999998, 0.040339, 70748, 23776, 0, 0, 216, 75, 48, 0.046797, 0.014277999999999999, 67948, 6890, 2, 0, 152, 101, 110
do_compile, 1444978, 0.16, 12, 1, 0, 0, 374174, 44947, 174, 233, 0, 24576, 0, 0.127279, 0.012317, 69716, 6090, 0, 0, 48, 47, 55, 0.009984, 0.0, 67012, 1320, 1, 0, 0, 7, 44
do_patch, 266656, 0.06, 9, 1, 0, 0, 1256636, 631417, 364, 202, 0, 651264, 4096, 0.099965, 0.012495, 63060, 11785, 0, 0, 128, 6, 3, 0.0071189999999999995, 0.005422, 57500, 964, 0, 0, 1144, 11, 6
do_fetch, 33738, 67.85, 8, 0, 650, 73, 138155492, 135790694, 62463, 50245, 0, 45461504, 8192, 0.08846799999999999, 0.006804999999999999, 60264, 10874, 0, 0, 168, 257, 17, 6.505533, 0.739567, 86168, 87276, 0, 0, 88624, 63486, 758
do_package_qa, 2964858, 1.23, 22, 5, 3, 0, 25056100, 206265, 1621, 248, 24256512, 155648, 0, 0.22347, 0.053633, 65804, 19951, 59, 47376, 264, 199, 1088, 0.037580999999999996, 0.008137, 59188, 6437, 0, 0, 40, 95, 74
do_generate_toolchain_file, 283897, 0.06, 9, 3, 0, 0, 314301, 50668, 58, 66, 0, 45056, 0, 0.099796, 0.031934, 64692, 8060, 0, 0, 64, 2, 3, 0.000292, 0.0022819999999999997, 61972, 511, 0, 0, 24, 4, 1
do_prepare_recipe_sysroot, 1441117, 4.05, 15, 9, 1, 0, 1693867, 847448, 411, 245, 221184, 892928, 0, 0.153802, 0.093091, 68820, 8946, 0, 416, 144, 62, 100, 0.012594, 0.0, 63932, 609, 0, 16, 1600, 24, 6
do_configure, 1443928, 1.38, 11, 2, 13, 4, 4589181, 663797, 2496, 1213, 1093632, 536576, 188416, 0.114384, 0.022876, 70000, 8801, 0, 24, 136, 76, 96, 0.13438, 0.041127, 67076, 16208, 0, 2112, 912, 474, 535
do_populate_lic, 710745, 0.48, 14, 4, 2, 1, 638740, 179396, 541, 243, 8192, 131072, 0, 0.142652, 0.040757, 69436, 18411, 1, 16, 216, 33, 215, 0.029179, 0.014469, 66352, 4971, 0, 0, 40, 82, 94
do_populate_sysroot, 1446366, 2.87, 24, 3, 31, 6, 73528008, 25923283, 11798, 3221, 8192, 1679360, 0, 0.246103, 0.032813, 70112, 24442, 0, 0, 328, 127, 72, 0.310052, 0.067304, 67988, 23353, 1, 16, 2952, 294, 280
do_create_runtime_spdx, 2977696, 0.87, 14, 4, 3, 0, 2403968, 393685, 935, 244, 49152, 151552, 0, 0.145359, 0.040881999999999995, 63676, 22911, 0, 96, 216, 54, 73, 0.034124999999999996, 0.0077339999999999996, 60544, 5371, 0, 0, 80, 85, 61
do_package_write_rpm, 2964307, 24.03, 22, 7, 1218, 15, 145666717, 3982185, 3659, 653, 737280, 2658304, 0, 0.227403, 0.07159, 57288, 23619, 14, 1272, 472, 411, 407, 12.185029, 0.152504, 268044, 105860, 0, 168, 4720, 1711, 3207
do_create_spdx, 1454560, 1.11, 27, 4, 5, 1, 1276571, 594570, 708, 294, 12288, 266240, 0, 0.279584, 0.040519, 76136, 24590, 0, 24, 408, 68, 56, 0.052333, 0.01294, 69192, 6312, 0, 0, 112, 262, 91
do_package, 1447854, 6.08, 72, 30, 186, 25, 238009348, 75093464, 27059, 8119, 0, 26783744, 0, 0.72737, 0.30069999999999997, 63476, 37055, 0, 0, 584, 492, 2008, 1.8600059999999998, 0.258913, 210996, 74834, 0, 0, 51728, 5754, 2397
