Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 3150113, 15.24, 21, 2, 70, 14, 16901144, 2089891, 9905, 2931, 4169728, 1826816, 1060864, 0.216267, 0.029682999999999998, 58440, 11637, 10, 192, 144, 62, 126, 0.701661, 0.146982, 55120, 82041, 41, 7952, 3424, 1711, 1532
do_collect_spdx_deps, 3211075, 0.47, 17, 0, 0, 0, 335294, 42194, 27, 42, 0, 49152, 0, 0.17181, 0.003436, 57632, 5480, 0, 0, 96, 0, 85, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 711485, 0.48, 13, 4, 3, 1, 683576, 189873, 564, 246, 16384, 131072, 0, 0.13552999999999998, 0.043848, 69452, 18351, 1, 32, 216, 47, 44, 0.032358, 0.011637999999999999, 66360, 4981, 0, 0, 40, 87, 71
do_recipe_qa, 35932, 0.06, 7, 1, 1, 0, 460650, 121068, 389, 203, 0, 102400, 0, 0.073124, 0.015394, 62092, 15994, 0, 0, 168, 26, 6, 0.011941, 0.002152, 59292, 4003, 0, 0, 32, 121, 7
do_install, 3172609, 0.91, 25, 3, 1, 2, 4521307, 4017554, 1178, 822, 0, 4001792, 0, 0.251044, 0.032392, 54724, 14169, 0, 0, 160, 135, 348, 0.016302, 0.028558, 52640, 3732, 0, 0, 7656, 34, 136
do_prepare_recipe_sysroot, 3147079, 7.49, 17, 16, 1, 0, 2332012, 1072044, 652, 307, 2625536, 1130496, 0, 0.173037, 0.169013, 60516, 8560, 7, 4728, 168, 101, 139, 0.018468, 0.004516, 55628, 1242, 0, 400, 2040, 36, 16
do_create_spdx, 3220301, 2.50, 24, 5, 5, 1, 1401968, 696804, 816, 461, 438272, 299008, 0, 0.24941, 0.054557999999999995, 61816, 23928, 0, 856, 472, 96, 171, 0.052204999999999994, 0.013574, 58108, 6620, 0, 0, 112, 238, 168
do_packagedata, 3216630, 1.18, 16, 3, 5, 0, 840131, 298812, 878, 316, 12288, 200704, 0, 0.16028399999999998, 0.030529999999999998, 59348, 21295, 3, 24, 216, 65, 92, 0.054527, 0.00597, 56492, 6910, 0, 0, 176, 126, 75
do_compile, 3155917, 37.82, 16, 1, 1225, 74, 115306121, 41909507, 11371, 9413, 3760128, 11640832, 372736, 0.16099, 0.013052999999999999, 57776, 8554, 0, 0, 256, 111, 45, 12.252724, 0.747352, 183164, 284937, 6, 7344, 22480, 5033, 7328
do_fetch, 36104, 55.52, 8, 1, 837, 73, 143388665, 175536822, 138730, 64541, 0, 60063744, 8192, 0.086199, 0.018147, 60252, 11048, 0, 0, 176, 382, 15, 8.372048, 0.736552, 56684, 28970, 0, 0, 117136, 84356, 2668
do_deploy_source_date_epoch, 298451, 0.11, 12, 2, 1, 1, 532861, 155826, 466, 281, 0, 114688, 0, 0.120894, 0.021588, 64832, 18455, 0, 0, 184, 29, 6, 0.01239, 0.012144, 62024, 4673, 1, 0, 40, 94, 30
do_create_runtime_spdx, 3488119, 0.92, 14, 4, 3, 1, 1252828, 406561, 733, 248, 57344, 155648, 0, 0.147413, 0.040202999999999996, 61932, 19135, 1, 104, 224, 61, 50, 0.034374, 0.013404, 58224, 5366, 0, 8, 80, 173, 99
do_unpack, 52767, 0.14, 5, 0, 9, 3, 4750985, 6946943, 4169, 1831, 0, 7499776, 12288, 0.054729, 0.007297, 60572, 12143, 0, 0, 72, 31, 3, 0.090837, 0.032221, 56976, 18573, 1, 0, 14576, 260, 6
do_package_qa, 3478054, 1.29, 32, 6, 3, 3, 6871075, 228431, 1526, 262, 0, 155648, 0, 0.321061, 0.068493, 62260, 21069, 0, 0, 264, 392, 662, 0.037488, 0.039261, 59896, 13038, 2, 0, 40, 105, 136
do_patch, 273570, 0.06, 9, 1, 0, 0, 1207875, 632625, 355, 204, 0, 651264, 4096, 0.09822099999999999, 0.011786, 63104, 11785, 0, 0, 128, 6, 5, 0.005666, 0.006284, 57516, 959, 0, 0, 1144, 13, 0
do_generate_toolchain_file, 298514, 0.05, 12, 0, 0, 0, 317338, 51621, 63, 68, 0, 45056, 0, 0.127769, 0.007743, 64524, 7996, 0, 0, 64, 2, 6, 0.0025199999999999997, 0.0, 61828, 512, 0, 0, 24, 3, 2
do_populate_sysroot, 3173108, 3.27, 31, 6, 5, 3, 8615416, 5894644, 1461, 676, 12288, 5304320, 532480, 0.316833, 0.06172, 58444, 24658, 1, 24, 7944, 157, 493, 0.059167, 0.031839, 56212, 10701, 0, 0, 2416, 189, 185
do_package_write_rpm, 3477971, 6.25, 28, 6, 546, 17, 34264753, 3765698, 3099, 762, 294912, 2510848, 0, 0.28601099999999996, 0.066605, 59168, 24283, 0, 488, 488, 365, 342, 5.465573, 0.170229, 278684, 104564, 2, 88, 4416, 1594, 1546
do_package, 3195904, 6.75, 70, 29, 148, 17, 56136361, 28602729, 12092, 2965, 491520, 18653184, 8347648, 0.708513, 0.292402, 56488, 43046, 0, 960, 632, 433, 2008, 1.482379, 0.172185, 54168, 50087, 2, 0, 35800, 1450, 2462
