Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 281608, 0.06, 9, 1, 1, 1, 1790180, 1976051, 424, 472, 0, 1441792, 0, 0.091916, 0.019149, 63272, 8670, 0, 0, 128, 8, 14, 0.012211999999999999, 0.016011, 59736, 1719, 0, 0, 2688, 39, 9
do_create_spdx, 1351141, 1.37, 19, 4, 3, 1, 1167112, 558905, 623, 295, 659456, 241664, 0, 0.19899999999999998, 0.046574, 72948, 22403, 2, 1264, 360, 62, 51, 0.036323, 0.011876, 69332, 5723, 2, 24, 112, 182, 123
do_collect_spdx_deps, 935163, 0.06, 9, 1, 0, 0, 348817, 46419, 37, 50, 24576, 53248, 0, 0.09702799999999999, 0.012128, 67972, 4896, 0, 48, 104, 6, 27, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 719138, 0.56, 17, 2, 3, 1, 583749, 170393, 551, 254, 24576, 131072, 0, 0.17462, 0.027163, 69440, 18196, 1, 48, 216, 35, 93, 0.032136, 0.010197, 66356, 4901, 1, 0, 40, 90, 97
do_recipe_qa, 36710, 0.05, 6, 1, 1, 0, 457071, 121475, 402, 211, 0, 98304, 0, 0.06423999999999999, 0.015115, 62112, 15989, 0, 0, 160, 27, 5, 0.014029999999999999, 0.0, 59312, 3956, 0, 0, 32, 151, 4
do_install, 1122344, 0.79, 18, 3, 27, 4, 9534943, 675179, 1694, 344, 614400, 724992, 0, 0.186295, 0.035643999999999995, 60368, 13534, 0, 0, 176, 164, 230, 0.270019, 0.049108, 58292, 11220, 0, 1200, 1240, 393, 239
do_package_qa, 1364472, 0.68, 19, 4, 3, 1, 1306964, 201587, 1499, 247, 0, 155648, 0, 0.19539299999999998, 0.042476, 61652, 14528, 0, 0, 264, 206, 834, 0.035664999999999995, 0.013155, 59420, 6567, 0, 0, 40, 195, 122
do_packagedata, 1348509, 0.80, 14, 6, 4, 1, 701297, 206078, 803, 305, 106496, 155648, 0, 0.148723, 0.064312, 71028, 22954, 0, 208, 216, 67, 129, 0.042193999999999995, 0.015319999999999999, 68228, 6819, 1, 0, 88, 151, 100
do_compile, 1121493, 0.64, 11, 1, 27, 3, 8923556, 31618, 909, 128, 0, 20480, 0, 0.11924399999999999, 0.011179, 70584, 6428, 0, 0, 40, 21, 37, 0.276042, 0.034047, 67876, 7277, 0, 0, 0, 17, 70
do_fetch, 36767, 1.23, 4, 0, 0, 0, 436891, 152643, 325, 253, 0, 159744, 0, 0.050112, 0.004176, 60008, 5716, 0, 0, 120, 38, 5, 0.004748, 0.001673, 56604, 899, 0, 0, 192, 64, 1
do_prepare_recipe_sysroot, 1120264, 0.55, 19, 10, 1, 0, 1958036, 1104380, 521, 324, 20480, 1175552, 0, 0.192854, 0.107141, 69404, 6906, 0, 40, 144, 14, 25, 0.011082, 0.006763, 64516, 619, 0, 0, 2152, 8, 47
do_populate_sysroot, 1122904, 0.41, 21, 3, 4, 2, 2570653, 968810, 1174, 588, 0, 233472, 0, 0.217861, 0.034399, 70864, 22292, 0, 0, 256, 51, 68, 0.044655, 0.027875, 68112, 7547, 1, 0, 200, 179, 67
do_patch, 282855, 0.04, 10, 1, 0, 0, 496678, 121899, 193, 85, 0, 126976, 4096, 0.10112199999999999, 0.012133999999999999, 63280, 8645, 0, 0, 120, 6, 5, 0.005594, 0.002084, 57544, 918, 0, 0, 128, 12, 6
do_package, 1346479, 1.97, 39, 12, 71, 5, 7271909, 2777426, 5762, 762, 7888896, 1576960, 0, 0.395476, 0.125299, 62156, 27040, 0, 32, 616, 631, 1672, 0.715739, 0.057755, 297196, 23901, 280, 15376, 2464, 5174, 773
do_write_config, 40040, 0.03, 5, 0, 0, 0, 328728, 38864, 118, 98, 0, 36864, 0, 0.054178, 0.008335, 61812, 8056, 0, 0, 48, 6, 3, 0.001103, 0.001823, 59084, 751, 0, 0, 24, 9, 3
do_configure, 1120567, 1.96, 14, 2, 97, 7, 8550127, 4507788, 1002, 614, 28672, 4861952, 0, 0.141818, 0.022392, 70980, 8887, 0, 0, 136, 26, 58, 0.979309, 0.07384399999999999, 68084, 10285, 0, 56, 9360, 39, 166
do_create_runtime_spdx, 1364587, 0.63, 14, 3, 2, 1, 920135, 378112, 573, 250, 0, 139264, 0, 0.14543499999999998, 0.032722999999999995, 72456, 18427, 0, 0, 192, 43, 41, 0.029353999999999998, 0.014381, 68948, 5280, 0, 0, 80, 133, 85
do_package_write_rpm, 1364380, 2.09, 22, 4, 163, 8, 4921853, 644076, 2605, 449, 0, 438272, 0, 0.22236599999999998, 0.049414, 61644, 20426, 0, 0, 456, 222, 457, 1.633575, 0.08011299999999999, 278388, 43099, 4, 0, 400, 1617, 974
do_deploy_source_date_epoch, 295330, 0.10, 11, 2, 1, 1, 505772, 147303, 470, 285, 0, 106496, 0, 0.118487, 0.021942, 64784, 18241, 0, 0, 168, 29, 8, 0.010006, 0.013649999999999999, 61968, 4588, 0, 0, 40, 123, 16
