Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_write_rpm, 3803510, 5.86, 32, 6, 605, 31, 31568513, 3504784, 9783, 894, 4243456, 2269184, 0, 0.328966, 0.066576, 60032, 24531, 0, 3592, 504, 467, 484, 6.053852, 0.314477, 452356, 154700, 2, 4696, 3928, 3979, 2633
do_collect_spdx_deps, 3175667, 0.32, 18, 1, 0, 0, 356000, 47802, 39, 51, 0, 49152, 0, 0.180755, 0.014459999999999999, 56932, 5800, 0, 0, 96, 4, 83, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure_ptest_base, 3133761, 0.26, 14, 0, 0, 0, 314016, 26063, 54, 61, 0, 20480, 0, 0.1456, 0.004412, 60548, 6584, 0, 0, 40, 1, 51, 0.002927, 0.0, 57816, 367, 0, 0, 0, 1, 0
do_install, 3140788, 3.11, 23, 2, 26, 3, 10397451, 1441751, 1598, 285, 16384, 1495040, 0, 0.235955, 0.023594999999999998, 56808, 15289, 2, 16, 184, 165, 315, 0.261067, 0.035275, 54720, 11267, 0, 16, 2736, 222, 409
do_compile_ptest_base, 3140084, 0.16, 12, 0, 0, 0, 314004, 37341, 2064, 133, 0, 20480, 0, 0.120956, 0.008638999999999999, 60544, 6550, 0, 0, 40, 27, 37, 0.003279, 0.0, 57812, 369, 0, 0, 0, 1, 26
do_fetch, 32005, 3.07, 5, 0, 0, 0, 294970, 57965, 34, 72, 0, 57344, 0, 0.058096999999999996, 0.008298999999999999, 60488, 6666, 0, 0, 112, 1, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 31889, 0.06, 9, 0, 0, 0, 476784, 126737, 408, 212, 0, 102400, 0, 0.092059, 0.008369, 62132, 16369, 0, 0, 168, 28, 19, 0.009741999999999999, 0.004853, 59324, 4038, 0, 0, 32, 163, 12
do_configure, 3124184, 13.62, 13, 2, 177, 32, 28747910, 5891935, 9757, 3105, 1011712, 6377472, 495616, 0.13741399999999998, 0.020207, 60936, 9693, 0, 24, 168, 70, 70, 1.774459, 0.320193, 58004, 120122, 40, 1952, 12288, 1295, 1606
do_packagedata, 3190045, 1.20, 19, 3, 3, 1, 913645, 313700, 949, 332, 12288, 241664, 0, 0.19730899999999998, 0.032119999999999996, 58904, 23534, 1, 24, 216, 81, 94, 0.039305, 0.017095, 56040, 6952, 0, 0, 256, 110, 132
do_compile, 3134496, 8.53, 12, 1, 742, 89, 133261880, 13771502, 34114, 7489, 1536000, 6868992, 614400, 0.128409, 0.016568, 60536, 6764, 0, 0, 544, 81, 48, 7.429203, 0.890953, 57820, 318735, 18, 3000, 12872, 2784, 4295
