Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_runtime_spdx, 1371335, 0.56, 15, 2, 3, 0, 858718, 384227, 585, 243, 0, 143360, 0, 0.15490099999999998, 0.029304999999999998, 71564, 20548, 0, 0, 200, 53, 48, 0.035981, 0.008787999999999999, 68048, 5272, 0, 0, 80, 126, 100
do_collect_spdx_deps, 703715, 0.01, 6, 2, 0, 0, 327614, 40526, 24, 41, 0, 49152, 0, 0.060371999999999995, 0.022639, 66612, 6571, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 645677, 0.12, 9, 2, 1, 0, 438965, 115786, 378, 202, 0, 102400, 0, 0.092044, 0.020919, 68132, 15865, 0, 0, 168, 26, 35, 0.012314, 0.0070149999999999995, 65332, 3948, 0, 0, 32, 141, 7
do_install, 696095, 0.13, 16, 0, 1, 1, 427203, 81694, 573, 167, 0, 94208, 0, 0.161774, 0.008296, 59200, 13795, 0, 0, 128, 420, 8, 0.012541, 0.0138, 57116, 3107, 0, 0, 56, 173, 6
do_packagedata, 1359487, 0.78, 13, 4, 4, 0, 668385, 189027, 780, 293, 0, 143360, 0, 0.13988499999999998, 0.043962999999999995, 70564, 20418, 0, 0, 192, 51, 43, 0.048183, 0.009655, 67756, 6791, 1, 0, 88, 135, 103
do_fetch, 654676, 0.61, 6, 1, 0, 0, 356512, 85108, 168, 168, 0, 94208, 0, 0.062493, 0.011717, 66104, 5671, 0, 0, 120, 12, 36, 0.002384, 0.005938, 62600, 908, 0, 0, 64, 28, 8
do_package_qa, 1371056, 0.56, 14, 3, 3, 1, 572118, 196578, 843, 244, 0, 151552, 0, 0.14044199999999998, 0.036113, 61284, 14262, 0, 0, 256, 121, 344, 0.033782, 0.015972999999999998, 59060, 6606, 0, 0, 40, 224, 108
do_prepare_recipe_sysroot, 695780, 0.01, 8, 0, 0, 0, 270077, 66311, 22, 43, 0, 69632, 0, 0.087044, 0.0, 66952, 6606, 0, 0, 136, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 680116, 0.05, 6, 2, 0, 0, 498574, 116052, 184, 74, 0, 126976, 4096, 0.060447, 0.024179, 67020, 10432, 0, 0, 120, 6, 5, 0.005082, 0.001974, 61216, 900, 0, 0, 128, 11, 5
do_package_write_rpm, 1370968, 2.12, 22, 3, 218, 10, 1317981, 393090, 1990, 471, 0, 286720, 0, 0.223186, 0.033063999999999996, 61312, 22472, 0, 0, 440, 324, 366, 2.187318, 0.104943, 186552, 59750, 2, 0, 120, 1275, 1017
do_populate_lic, 744419, 0.43, 13, 3, 3, 0, 540172, 161334, 536, 242, 0, 122880, 0, 0.131429, 0.035844, 69416, 17921, 0, 0, 208, 38, 55, 0.031488999999999996, 0.009757, 66332, 4900, 0, 0, 32, 79, 62
do_deploy_source_date_epoch, 693744, 0.13, 14, 4, 1, 1, 485320, 140009, 465, 282, 0, 106496, 0, 0.14715699999999998, 0.041506, 68824, 18216, 0, 0, 168, 30, 28, 0.018636, 0.010251999999999999, 66024, 4612, 0, 0, 40, 99, 34
do_unpack, 673658, 0.03, 3, 1, 1, 0, 1049978, 869133, 337, 257, 0, 802816, 0, 0.039271, 0.015708, 66724, 8423, 0, 0, 120, 8, 31, 0.010916, 0.002128, 63436, 1515, 0, 0, 1448, 32, 1
do_package, 1352197, 2.59, 47, 35, 118, 13, 3073202, 1842150, 2984, 783, 118784, 1830912, 0, 0.47241099999999997, 0.351473, 61892, 26580, 0, 176, 504, 328, 935, 1.181718, 0.132465, 59672, 22595, 0, 56, 3072, 1327, 861
do_create_spdx, 1363144, 0.76, 15, 3, 3, 1, 1019732, 501916, 608, 278, 8192, 212992, 0, 0.154407, 0.036763, 72020, 20536, 0, 16, 312, 51, 49, 0.039989, 0.015205999999999999, 68468, 5938, 0, 0, 104, 210, 123
