Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2714691, 0.11, 13, 1, 0, 0, 346315, 44897, 34, 46, 0, 49152, 0, 0.134728, 0.019246, 73492, 5457, 0, 0, 96, 0, 58, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 646698, 0.10, 11, 1, 1, 0, 519921, 123948, 396, 207, 0, 102400, 0, 0.11148, 0.019906999999999998, 68012, 16115, 0, 0, 168, 24, 8, 0.012587, 0.006677, 65212, 3988, 0, 0, 32, 136, 10
do_install, 2760327, 0.43, 18, 3, 3, 3, 1098196, 294079, 3114, 366, 0, 270336, 0, 0.18448599999999998, 0.032797, 68332, 15180, 0, 0, 184, 1267, 87, 0.034332999999999995, 0.030372999999999997, 66252, 10800, 1, 0, 344, 241, 213
do_package_qa, 2884322, 1.31, 24, 5, 3, 3, 1088794, 223254, 1040, 262, 0, 159744, 0, 0.243661, 0.056228999999999994, 67888, 19220, 0, 0, 272, 206, 396, 0.033257999999999996, 0.035759, 65664, 10886, 0, 0, 40, 106, 96
do_packagedata, 2778993, 0.29, 14, 1, 4, 1, 767508, 230390, 826, 311, 0, 196608, 0, 0.14704699999999998, 0.015080999999999999, 74468, 21147, 0, 0, 224, 35, 184, 0.041062, 0.01053, 71656, 6898, 0, 0, 160, 120, 73
do_compile, 2756409, 1.93, 11, 2, 85, 11, 7781507, 1372583, 2300, 633, 114688, 442368, 0, 0.113213, 0.021911999999999997, 73448, 8223, 0, 0, 120, 18, 35, 0.8556509999999999, 0.115073, 70752, 27914, 0, 224, 744, 233, 391
do_fetch, 666448, 1.23, 5, 0, 0, 0, 498842, 213189, 335, 371, 0, 217088, 0, 0.056569999999999995, 0.007541999999999999, 66344, 7903, 0, 0, 112, 27, 7, 0.006493, 0.0, 62900, 902, 0, 0, 312, 98, 0
do_populate_lic, 778867, 0.47, 12, 2, 4, 0, 623394, 169496, 591, 248, 0, 131072, 0, 0.124113, 0.028024999999999998, 69792, 16271, 0, 0, 216, 57, 57, 0.041277, 0.0, 66696, 4977, 0, 0, 40, 110, 85
do_patch, 681206, 0.05, 7, 2, 0, 0, 560702, 119248, 197, 81, 0, 126976, 4096, 0.079735, 0.02392, 67224, 10684, 0, 0, 120, 6, 3, 0.0041519999999999994, 0.00233, 61476, 938, 0, 0, 128, 13, 0
do_prepare_recipe_sysroot, 2695995, 0.92, 21, 6, 2, 0, 1826530, 1055580, 590, 304, 139264, 1101824, 0, 0.214451, 0.062384999999999996, 71584, 7543, 0, 264, 160, 39, 95, 0.022174, 0.0, 66700, 1195, 0, 8, 1992, 21, 10
do_create_runtime_spdx, 2885069, 0.81, 20, 3, 3, 0, 995678, 411584, 646, 255, 36864, 167936, 0, 0.20287999999999998, 0.035114, 63812, 20931, 8, 72, 240, 61, 79, 0.036733, 0.008675, 60240, 5398, 0, 0, 88, 119, 107
do_configure, 2699563, 36.39, 34, 4, 370, 70, 71092131, 8027845, 37146, 11977, 118784, 8343552, 4407296, 0.340677, 0.041638, 73860, 17884, 0, 168, 344, 271, 92, 3.709337, 0.7086399999999999, 70952, 421656, 8, 64, 15952, 3238, 3413
do_create_spdx, 2780581, 1.38, 24, 3, 4, 2, 1341607, 600298, 805, 395, 0, 262144, 0, 0.24948399999999998, 0.03167, 77428, 23893, 0, 0, 400, 72, 264, 0.04532, 0.022269999999999998, 73808, 6836, 0, 0, 112, 276, 170
do_unpack, 673972, 0.05, 5, 2, 1, 0, 1970547, 2416857, 495, 448, 4096, 1585152, 0, 0.058365999999999994, 0.020845, 66972, 10696, 0, 8, 120, 9, 3, 0.017353999999999998, 0.0022329999999999997, 63440, 1733, 0, 0, 2976, 106, 2
do_package_write_rpm, 2883757, 3.84, 29, 3, 336, 16, 3054851, 734161, 2142, 615, 131072, 503808, 0, 0.29427, 0.035136, 67528, 24272, 0, 248, 488, 226, 356, 3.368273, 0.169242, 415116, 121792, 0, 8, 496, 1376, 1234
do_package, 2762322, 11.98, 81, 44, 94, 12, 6526371, 2995646, 5259, 1038, 8192, 2543616, 372736, 0.819977, 0.44622, 69244, 39778, 0, 16, 584, 303, 1363, 0.941089, 0.120935, 67116, 34245, 0, 0, 4384, 1475, 972
do_deploy_source_date_epoch, 694644, 0.12, 17, 4, 1, 1, 578949, 160977, 462, 289, 0, 114688, 0, 0.170353, 0.04056, 69048, 18693, 0, 0, 184, 26, 22, 0.015231, 0.012138, 66244, 4666, 0, 0, 40, 91, 22
