Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 709147, 0.56, 21, 2, 2, 1, 842953, 178632, 568, 265, 20480, 139264, 0, 0.21032399999999998, 0.027777999999999997, 70872, 18641, 1, 40, 232, 40, 113, 0.029833, 0.010216, 67776, 4994, 0, 0, 40, 73, 105
do_collect_spdx_deps, 430224, 0.04, 13, 0, 0, 0, 565412, 47494, 42, 54, 0, 53248, 0, 0.13777, 0.007871999999999999, 65780, 7208, 0, 0, 104, 0, 79, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 43902, 0.05, 8, 1, 1, 0, 701050, 130223, 401, 222, 0, 110592, 0, 0.081866, 0.013644, 63096, 16700, 0, 0, 184, 24, 2, 0.011212999999999999, 0.002156, 60296, 4016, 0, 0, 32, 154, 13
do_install, 939694, 1.67, 18, 0, 31, 2, 3142181, 2238563, 2814, 518, 909312, 2420736, 0, 0.18179199999999998, 0.004227, 70988, 11904, 0, 0, 128, 44, 98, 0.31068599999999996, 0.02224, 68296, 15893, 1, 1776, 4600, 192, 149
do_compile, 939335, 0.34, 16, 1, 1, 0, 660892, 68113, 292, 285, 8192, 40960, 0, 0.163082, 0.016725999999999998, 71092, 6891, 0, 16, 80, 54, 49, 0.012964999999999999, 0.002231, 68384, 1984, 0, 0, 0, 27, 61
do_fetch, 44049, 0.02, 5, 1, 0, 0, 504385, 54653, 37, 71, 0, 53248, 0, 0.059058, 0.011811, 61964, 6958, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 431788, 0.20, 18, 2, 2, 0, 1251649, 504764, 610, 299, 0, 217088, 0, 0.180081, 0.023488, 67756, 21399, 0, 0, 320, 39, 95, 0.023887, 0.007737, 64604, 5227, 3, 0, 104, 104, 60
do_create_runtime_spdx, 768525, 0.11, 16, 3, 1, 0, 993964, 357767, 427, 249, 0, 139264, 0, 0.169532, 0.035483, 71204, 18340, 0, 0, 192, 30, 36, 0.019267, 0.008865, 68404, 4259, 0, 0, 80, 82, 28
do_prepare_recipe_sysroot, 935284, 0.24, 21, 6, 2, 0, 2605082, 1752337, 644, 489, 8192, 1830912, 0, 0.21445699999999998, 0.06727999999999999, 69500, 7186, 0, 16, 144, 6, 240, 0.020236, 0.005037, 64612, 632, 0, 0, 3432, 10, 21
do_patch, 321200, 0.12, 10, 2, 7, 1, 1234982, 133854, 1313, 185, 0, 159744, 4096, 0.100508, 0.020939, 64924, 11981, 0, 0, 136, 17, 6, 0.073555, 0.016235, 59272, 19041, 1, 0, 176, 294, 23
do_unpack, 318375, 0.09, 16, 1, 1, 1, 2409274, 2805954, 617, 525, 0, 1814528, 0, 0.163026, 0.017159999999999998, 65224, 12339, 0, 0, 136, 12, 7, 0.015619, 0.017261, 61504, 2830, 1, 0, 3408, 140, 14
do_configure, 935510, 10.37, 27, 5, 124, 23, 16487523, 2062301, 14733, 5427, 36864, 1724416, 389120, 0.275456, 0.05266, 71272, 19152, 0, 16, 304, 165, 85, 1.242203, 0.23685699999999998, 68580, 118767, 2, 56, 3064, 1977, 1994
do_populate_sysroot, 940497, 1.24, 26, 3, 7, 1, 5355863, 1548197, 2044, 983, 0, 368640, 0, 0.26333, 0.036461, 71180, 26575, 0, 0, 408, 152, 146, 0.074816, 0.018559, 68420, 9910, 1, 0, 312, 264, 176
do_deploy_source_date_epoch, 334839, 0.42, 23, 2, 2, 0, 759957, 166842, 512, 329, 0, 122880, 0, 0.231963, 0.024853, 66172, 18851, 0, 0, 200, 52, 56, 0.026395, 0.005038, 63408, 4710, 0, 0, 40, 111, 74
