Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 1369043, 0.98, 17, 5, 2, 2, 670749, 204813, 1896, 251, 0, 155648, 0, 0.172289, 0.051685999999999996, 62056, 14154, 0, 0, 264, 146, 1411, 0.023167999999999998, 0.021315999999999998, 59852, 6407, 2, 0, 40, 86, 171
do_collect_spdx_deps, 703454, 0.01, 6, 0, 0, 0, 346110, 42612, 30, 44, 0, 49152, 0, 0.06586499999999999, 0.007748, 67100, 6779, 0, 0, 96, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 643489, 0.16, 12, 1, 1, 0, 458710, 120003, 436, 205, 0, 98304, 0, 0.12472, 0.018341, 68316, 16129, 0, 0, 160, 58, 115, 0.017842, 0.006359999999999999, 65508, 3944, 0, 0, 32, 81, 85
do_patch, 679377, 0.05, 7, 1, 1, 0, 1012617, 633619, 317, 204, 0, 647168, 4096, 0.07159499999999999, 0.011304, 66928, 10613, 0, 0, 120, 6, 6, 0.012211999999999999, 0.0, 60876, 937, 0, 0, 1144, 10, 3
do_install, 700576, 0.28, 15, 2, 10, 5, 1348257, 166977, 3315, 639, 0, 106496, 0, 0.159553, 0.023348999999999998, 59456, 14062, 0, 0, 184, 772, 12, 0.102473, 0.059046999999999995, 57372, 30392, 0, 0, 24, 1052, 66
do_packagedata, 1357978, 0.82, 17, 2, 3, 2, 746977, 235603, 869, 310, 4096, 192512, 0, 0.17188799999999999, 0.024555, 70840, 20763, 0, 8, 216, 67, 60, 0.03841, 0.020042, 68040, 6832, 1, 0, 160, 99, 135
do_compile, 700217, 0.02, 7, 1, 0, 0, 331854, 35020, 101, 125, 0, 32768, 0, 0.073431, 0.011594, 68760, 8245, 0, 0, 64, 4, 4, 0.0020859999999999997, 0.001132, 66064, 544, 0, 0, 0, 3, 0
do_fetch, 647938, 0.42, 7, 0, 7, 3, 3193516, 146876, 1751, 332, 0, 380928, 8192, 0.073696, 0.008669999999999999, 66332, 9590, 0, 0, 128, 15, 4, 0.071904, 0.036015, 62868, 12416, 0, 0, 616, 87, 76
do_package_write_rpm, 1369005, 1.65, 26, 3, 156, 16, 1463296, 503341, 2462, 487, 0, 319488, 0, 0.26240199999999997, 0.034526, 61332, 22821, 0, 0, 472, 201, 453, 1.5618910000000001, 0.161455, 182036, 77693, 0, 0, 152, 1929, 865
do_prepare_recipe_sysroot, 695598, 0.05, 8, 0, 0, 0, 1082849, 819840, 318, 239, 421888, 847872, 0, 0.087045, 0.008704, 67104, 7656, 0, 8, 136, 3, 55, 0.009448, 0.005281999999999999, 61800, 590, 0, 816, 1520, 19, 2
do_configure, 695901, 2.07, 20, 2, 80, 14, 16050129, 1625601, 8283, 4406, 0, 1503232, 348160, 0.20646299999999998, 0.023372999999999998, 69140, 16886, 0, 0, 248, 65, 13, 0.8033359999999999, 0.14974099999999999, 66292, 105654, 0, 0, 2688, 986, 167
do_create_runtime_spdx, 1369221, 0.71, 14, 4, 3, 1, 903594, 393078, 640, 248, 0, 151552, 0, 0.146598, 0.040721, 71736, 20728, 0, 0, 216, 62, 229, 0.03215, 0.010373, 68288, 5292, 0, 0, 80, 101, 123
do_create_spdx, 1362089, 0.86, 18, 4, 4, 2, 1092050, 516718, 663, 285, 4096, 225280, 0, 0.18498599999999998, 0.040214, 72336, 21671, 0, 8, 336, 50, 70, 0.041409, 0.021543, 68720, 6201, 0, 0, 104, 294, 120
do_populate_lic, 739304, 0.99, 13, 3, 2, 1, 686359, 213897, 576, 250, 0, 126976, 0, 0.13919099999999998, 0.03275, 69624, 18021, 0, 0, 208, 45, 80, 0.029301999999999998, 0.012522, 66540, 4943, 1, 0, 40, 101, 94
do_package, 1351119, 3.12, 58, 41, 131, 10, 3629176, 2178764, 7077, 852, 126976, 1937408, 0, 0.584257, 0.418454, 62212, 32195, 0, 224, 648, 415, 3657, 1.317394, 0.10805899999999999, 60064, 23748, 0, 24, 3136, 2275, 2026
do_unpack, 673371, 0.14, 5, 2, 8, 3, 4573476, 86545, 1608, 142, 0, 233472, 8192, 0.053418, 0.020545, 66536, 12505, 0, 0, 72, 31, 19, 0.084593, 0.033049999999999996, 62908, 14595, 0, 0, 384, 37, 13
do_deploy_source_date_epoch, 692966, 0.24, 17, 1, 1, 1, 509339, 150661, 523, 300, 0, 110592, 0, 0.17953, 0.012525, 68648, 18200, 0, 0, 176, 63, 342, 0.016222, 0.017855, 65848, 4628, 0, 0, 40, 85, 91
