Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2651302, 3.04, 19, 2, 0, 0, 346522, 45522, 34, 46, 0, 49152, 0, 0.195962, 0.023514999999999998, 72724, 7377, 0, 0, 96, 1, 49, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 647284, 0.10, 11, 2, 1, 0, 521317, 124451, 390, 207, 0, 102400, 0, 0.11069799999999999, 0.028699, 68024, 16134, 0, 0, 168, 24, 3, 0.018386, 0.0023439999999999997, 65224, 4009, 1, 0, 32, 150, 8
do_install, 2654183, 0.54, 19, 3, 5, 1, 880491, 225927, 1263, 319, 0, 208896, 0, 0.19608699999999998, 0.036016, 67524, 14624, 0, 0, 184, 468, 107, 0.054029999999999995, 0.015236, 65440, 9668, 0, 0, 224, 159, 243
do_configure, 2590951, 32.96, 30, 3, 380, 72, 67837197, 7921794, 33974, 12385, 135168, 8167424, 4448256, 0.307213, 0.035447, 73792, 18833, 0, 176, 344, 268, 154, 3.809777, 0.720629, 70992, 420611, 20, 88, 15608, 5185, 5484
do_packagedata, 2683611, 2.82, 20, 1, 4, 1, 770554, 233121, 899, 311, 0, 200704, 0, 0.20743299999999998, 0.016269, 74044, 23812, 0, 0, 232, 80, 125, 0.041171, 0.019049, 71244, 6908, 1, 0, 160, 154, 135
do_compile, 2647290, 2.08, 13, 0, 47, 3, 5211903, 854830, 1569, 531, 53248, 294912, 0, 0.136244, 0.007568999999999999, 73036, 8370, 0, 0, 104, 52, 80, 0.475914, 0.03798, 70320, 16250, 0, 104, 472, 197, 307
do_fetch, 667329, 2.75, 5, 1, 0, 0, 479045, 196678, 319, 310, 0, 200704, 0, 0.050538, 0.012634, 66416, 8124, 0, 0, 120, 26, 4, 0.0045579999999999996, 0.001615, 62900, 903, 0, 0, 272, 104, 2
do_prepare_recipe_sysroot, 2587952, 0.60, 17, 8, 1, 0, 1807806, 1056090, 580, 306, 135168, 1110016, 0, 0.173098, 0.086549, 71956, 7356, 0, 256, 168, 36, 61, 0.017112, 0.006417, 66948, 1207, 0, 8, 2000, 20, 15
do_populate_lic, 779239, 0.46, 14, 3, 3, 0, 623998, 170047, 581, 248, 0, 131072, 0, 0.147841, 0.030326, 69804, 16288, 0, 0, 216, 52, 113, 0.032871, 0.007135, 66700, 4976, 0, 0, 40, 78, 94
do_patch, 681345, 0.08, 8, 1, 3, 0, 821281, 129797, 686, 136, 0, 155648, 4096, 0.085076, 0.015467999999999999, 67244, 11722, 0, 0, 128, 13, 7, 0.031786, 0.008737, 61476, 9394, 0, 0, 176, 143, 9
do_package_write_rpm, 2889785, 3.09, 27, 6, 339, 17, 2507399, 648120, 2341, 629, 32768, 442368, 0, 0.27197, 0.067992, 67628, 24469, 0, 64, 488, 283, 416, 3.3918049999999997, 0.176535, 340392, 121656, 0, 0, 376, 1460, 1175
do_package_qa, 2890548, 1.65, 31, 4, 4, 1, 1002551, 224090, 1028, 262, 0, 159744, 0, 0.31627299999999997, 0.046386, 67464, 21308, 0, 0, 272, 98, 459, 0.048773, 0.018276, 65216, 10994, 0, 0, 40, 131, 128
do_create_runtime_spdx, 2891789, 1.14, 14, 3, 3, 0, 995497, 412389, 647, 255, 4096, 167936, 0, 0.14895999999999998, 0.03943, 64072, 19076, 1, 8, 240, 56, 67, 0.038076, 0.004338, 60404, 5383, 0, 0, 88, 109, 85
do_deploy_source_date_epoch, 694735, 0.11, 15, 2, 1, 0, 579727, 161301, 475, 286, 0, 114688, 0, 0.15689, 0.020173, 69056, 18636, 0, 0, 184, 32, 26, 0.018407, 0.008512, 66248, 4675, 0, 0, 40, 91, 35
do_create_spdx, 2706789, 0.44, 16, 4, 3, 1, 1431970, 615473, 817, 400, 4096, 270336, 0, 0.160245, 0.045784, 76928, 26320, 0, 8, 416, 51, 7, 0.034179, 0.016967, 73308, 6891, 0, 0, 112, 646, 36
do_package, 2654794, 9.38, 68, 44, 86, 13, 5594463, 2593002, 5015, 1004, 4096, 2277376, 245760, 0.689547, 0.445493, 69036, 39780, 0, 8, 584, 575, 1206, 0.8621, 0.131983, 66840, 34304, 2, 0, 3864, 1131, 858
do_unpack, 674229, 0.06, 6, 1, 1, 0, 1883995, 2268898, 528, 415, 0, 1462272, 0, 0.066366, 0.019518999999999998, 66680, 11374, 0, 0, 120, 10, 3, 0.015033999999999999, 0.006928999999999999, 63104, 2222, 0, 0, 2736, 114, 7
